# Time,Input,Reference,Mix,Output
0.0,5.0,0.0,0.0,0.0
4.84e-07,5.67871854254309,0.04997916927067833,0.28381763527830084,0.00028381763527830084
9.68e-07,6.235846989255878,0.09983341664682815,0.622545910624251,0.0009060797282672735
1.4520000000000002e-06,6.5786924882487705,0.14943813247359924,0.983107519561992,0.0018882811681009983
1.936e-06,6.665314133865566,0.19866933079506122,1.3241934985139352,0.0032105863854468325
2.42e-06,6.51401555501695,0.24740395925452294,1.6115932389567422,0.004818969038018128
2.9040000000000005e-06,6.198179964366159,0.2955202066613396,1.8316874239936618,0.006645837492973771
3.3880000000000004e-06,5.827737252215513,0.3428978074554514,1.9983183262111566,0.008637509981691953
3.872e-06,5.5218209908301255,0.3894183423086505,2.1502983767741775,0.01077917084848444
4.356e-06,5.379324765996461,0.43496553411123023,2.3398208699994196,0.013108212547635376
4.84e-06,5.454575515958108,0.479425538604203,2.6150628045955147,0.015710167139683255
5.324e-06,5.744082334200721,0.5226872289306592,3.0023584780129275,0.0186968154505565
5.808000000000001e-06,6.18760103886672,0.5646424733950355,3.4937823549673963,0.02217190099007334
6.292000000000001e-06,6.683243485470626,0.6051864057360397,4.04460810363077,0.026194337192714037
6.776000000000001e-06,7.112916048272123,0.6442176872376911,4.582266326133725,0.030750409181655048
7.260000000000001e-06,7.371837500851341,0.6816387600233342,5.024930173173823,0.03574458894564722
7.744e-06,7.394883356708637,0.7173560908995228,5.304764617426449,0.04101360897412802
8.228000000000002e-06,7.17327737189066,0.7512804051402927,5.389142730137709,0.0463617380952916
8.712e-06,6.757512082849297,0.7833269096274834,5.2933410566287185,0.05160871741382502
9.196000000000001e-06,6.245750943645579,0.8134155047893739,5.080390656614177,0.056637499353025374
9.68e-06,5.760519611072461,0.8414709848078965,4.8473101101343445,0.0614281719638067
1.0164000000000001e-05,5.41936280500957,0.867423225594017,4.70088116498564,0.06606762495682852
1.0648e-05,5.30662347662741,0.8912073600614354,4.72930189944515,0.07073085923131685
1.1132000000000001e-05,5.453230204015881,0.9127639402605211,4.977511888165221,0.07563764026025076
1.1616000000000002e-05,5.829422949516097,0.9320390859672264,5.433250037583356,0.08099525265757386
1.2100000000000001e-05,6.352185204028401,0.9489846193555862,6.028126057921079,0.08694238346283736
1.2584000000000002e-05,6.9055560798009505,0.9635581854171931,6.6539050855496695,0.09350934616492419
1.3068000000000001e-05,7.368848898426945,0.9757233578266591,7.1899579904904165,0.1006057948092497
1.3552000000000002e-05,7.64587349673563,0.9854497299884603,7.534623972884051,0.1080398129873245
1.4036e-05,7.688019947892982,0.9927129910375885,7.631997277629487,0.11556377045196667
1.4520000000000002e-05,7.505570064265763,0.9974949866040544,7.4867685107105695,0.12293497519222528
1.5004e-05,7.164490308907764,0.999783764189357,7.1629410895379735,0.12997498130657104
1.5488e-05,6.769518491843193,0.9995736030415051,6.766631989747797,0.13661163831501227
1.5972000000000002e-05,6.437715396295404,0.9968650284539189,6.41753334170625,0.1428925600184035
1.6456000000000003e-05,6.268988804594685,0.9916648104524686,6.216735594637036,0.14896640305302214
1.694e-05,6.320839187639111,0.9839859468739369,6.219616933086956,0.15503705358305606
1.7424e-05,6.593541946909291,0.9738476308781951,6.421105204093615,0.16130312173356662
1.7908000000000002e-05,7.0294238353868,0.9612752029752999,6.7572108241608575,0.1678990294359939
1.8392000000000003e-05,7.526437221053525,0.9463000876874144,7.1222682022567705,0.17485339860881471
1.8876e-05,7.962730972414639,0.9289597150038693,7.397056294786786,0.1820756015049927
1.936e-05,8.226219227690681,0.9092974268256817,7.480079976243083,0.1893736058797308
1.9844000000000002e-05,8.241919809885436,0.8873623686333753,7.313569484586279,0.19649780175843734
2.0328000000000003e-05,7.990373825877944,0.8632093666488737,6.897365529523838,0.20319866948620274
2.0812000000000003e-05,7.5126351336282475,0.8368987907984975,6.287315259043789,0.20928278607576034
2.1296e-05,6.900600094794661,0.8084964038195901,5.579110360838606,0.21465261365052318
2.178e-05,6.275031123936214,0.7780731968879212,4.882433527172256,0.2193203945640449
2.2264000000000002e-05,5.756634977228392,0.74570521217672,4.292752707118026,0.22339382687659887
2.2748000000000003e-05,5.437252390328972,0.7114733527908443,3.8684601881173863,0.22703889323783963
2.3232000000000004e-05,5.358184608484187,0.6754631805511506,3.619256417626951,0.23043111076222875
2.3716e-05,5.500932309777916,0.6377647021345036,3.50830045600758,0.2337089801074741
2.4200000000000002e-05,5.792581982665451,0.5984721441039564,3.4666989590637396,0.23694197008643036
2.4684000000000003e-05,6.124488445008229,0.5576837173914166,3.415527483132966,0.24012055559947693
2.5168000000000004e-05,6.379647959579703,0.5155013718214638,3.2887172749013396,0.2431691523187788
2.5652e-05,6.462031014877278,0.47203054128988264,3.050275997784531,0.24597625916424457
2.6136000000000002e-05,6.320667573838918,0.4273798802338298,2.7013261507051283,0.24843160905578543
2.6620000000000003e-05,5.96256691248441,0.3816609920523317,2.275679202997208,0.25045885664972684
2.7104000000000003e-05,5.4512932240440195,0.33498815015590466,1.8261186330799237,0.25203451642615704
2.7588000000000004e-05,4.891536121665954,0.287478012342544,1.406209081558285,0.2531886909912892
2.8072e-05,4.4034504767306455,0.23924932921398243,1.053522572784798,0.2539890248730827
2.8556000000000002e-05,4.09305134399054,0.19042264736102704,0.7794096727072884,0.25451444552091695
2.9040000000000003e-05,4.025921933026655,0.14112000805986677,0.568138135637116,0.2548280692110331
2.9524000000000004e-05,4.210687403889175,0.09146464223243675,0.38512901694935125,0.2549583701587715
