Frequency (Hz),Input Amplitude (two-sided),Reference Amplitude (two-sided),Mix Amplitude (two-sided),Output Amplitude (two-sided)
-1011226.8174418961,0.0002933555592734551,7.36931222988353e-05,0.0006034716922744367,8.538164959396059e-05
-1010893.5192159758,0.00029336084555102476,7.369437552722782e-05,0.0006034821762061514,8.538309795291591e-05
-1010560.2209900556,0.0002933662120953994,7.369564778030852e-05,0.0006034928193003543,8.538456829859443e-05
-1010226.9227641354,0.00029337165890959166,7.369693905973575e-05,0.0006035036215752286,8.538606063289589e-05
-1009893.6245382152,0.00029337718600848774,7.369824936721798e-05,0.0006035145830427367,8.538757495774775e-05
-1009560.326312295,0.00029338279339247327,7.369957870448001e-05,0.000603525703721547,8.538911127508565e-05
-1009227.0280863747,0.00029338848107940933,7.370092707314669e-05,0.0006035369836191292,8.539066958688817e-05
-1008893.7298604546,0.00029339424906783243,7.37022944750501e-05,0.0006035484227585924,8.539224989518674e-05
-1008560.4316345344,0.0002934000973710102,7.370368091184222e-05,0.000603560021150475,8.53938522019732e-05
-1008227.1334086142,0.000293406025994588,7.370508638545058e-05,0.0006035717788117609,8.539547650934647e-05
-1007893.835182694,0.00029341203494765794,7.370651089759856e-05,0.0006035836957585142,8.539712281937585e-05
-1007560.5369567738,0.000293418124240947,7.370795445014585e-05,0.0006035957720067164,8.539879113418313e-05
-1007227.2387308535,0.0002934242938815195,7.370941704502663e-05,0.0006036080075726071,8.540048145592317e-05
-1006893.9405049334,0.0002934305438780126,7.371089868405791e-05,0.0006036204024726159,8.540219378676386e-05
-1006560.6422790132,0.0002934368742405103,7.3712399369142e-05,0.0006036329567235862,8.540392812891588e-05
-1006227.344053093,0.00029344328497756797,7.371391910230599e-05,0.0006036456703432117,8.54056844846065e-05
-1005894.0458271728,0.0002934497760989468,7.371545788547436e-05,0.0006036585433474327,8.540746285610939e-05
-1005560.7476012525,0.0002934563476123247,7.371701572059387e-05,0.0006036715757527962,8.540926324569092e-05
-1005227.4493753323,0.0002934629995289186,7.371859260967435e-05,0.0006036847675789038,8.541108565569391e-05
-1004894.1511494122,0.00029346973185667225,7.372018855484434e-05,0.000603698118841799,8.541293008845906e-05
-1004560.852923492,0.00029347654460672466,7.372180355809575e-05,0.0006037116295603096,8.541479654634966e-05
-1004227.5546975718,0.00029348343778859236,7.372343762154268e-05,0.0006037252997539494,8.541668503178493e-05
-1003894.2564716516,0.000293490411411549,7.372509074730793e-05,0.0006037391294379937,8.541859554718135e-05
-1003560.9582457313,0.0002934974654860022,7.37267629375598e-05,0.0006037531186335956,8.542052809501606e-05
-1003227.6600198111,0.00029350460002195523,7.372845419443099e-05,0.0006037672673605207,8.542248267777302e-05
-1002894.361793891,0.0002935118150289411,7.373016451999783e-05,0.0006037815756330382,8.542445929795668e-05
-1002561.0635679708,0.0002935191105177984,7.37318939165894e-05,0.0006037960434753058,8.542645795812867e-05
-1002227.7653420506,0.00029352648650009803,7.373364238650354e-05,0.000603810670906965,8.542847866086037e-05
-1001894.4671161303,0.00029353394298598255,7.37354099319054e-05,0.0006038254579415999,8.543052140875244e-05
-1001561.1688902101,0.00029354147998564376,7.373719655501338e-05,0.0006038404046074678,8.543258620442863e-05
-1001227.8706642899,0.00029354909750929403,7.37390022583047e-05,0.0006038555109266596,8.543467305057854e-05
-1000894.5724383697,0.000293556795568497,7.374082704405934e-05,0.0006038707769012619,8.543678194985997e-05
-1000561.2742124496,0.00029356457417565874,7.374267091463461e-05,0.0006038862025577168,8.543891290498806e-05
-1000227.9759865293,0.0002935724333398756,7.374453387238536e-05,0.0006039017879348056,8.54410659187417e-05
-999894.6777606091,0.000293580373072124,7.374641591980883e-05,0.0006039175330454686,8.544324099387824e-05
-999561.3795346889,0.00029358839338585965,7.374831705916378e-05,0.0006039334379012144,8.544543813318614e-05
-999228.0813087687,0.00029359649429206314,7.375023729308086e-05,0.0006039495025320315,8.544765733952564e-05
-998894.7830828485,0.0002936046758015487,7.375217662401928e-05,0.0006039657269583982,8.54498986157373e-05
-998561.4848569283,0.0002936129379267399,7.375413505443091e-05,0.0006039821111985282,8.545216196471103e-05
