Frequency (Hz),Input Real,Input Imag,Output Real,Output Imag
0.0,31055.495332715953,-1.3289369604763124e-12,5299.510977538877,-1.9281798380177406e-13
333.29822592020304,60.51971663949445,-0.7147539269134681,-445.0677346529046,448.4949879285207
666.5964518404061,60.59298879871324,-1.4312630938657696,-178.0387966008688,355.94575082598635
999.894677760609,60.71551184913385,-2.151297219564387,-89.94723899960952,266.1781628996741
1333.1929036808122,60.88789521670091,-2.8766552316346994,-53.80916549654974,208.44190054055073
1666.4911296010152,61.11100271996347,-3.6091805074201995,-35.970766525243334,170.161636494319
1999.789355521218,61.38596348998889,-4.350776899934042,-25.965757197852888,143.33076848943588
2333.087581441421,61.71418644810718,-5.103425847208403,-19.82457827025794,123.60166853954998
2666.3858073616243,62.09737869270145,-5.869204897255814,-15.796900964630654,108.52660508393062
2999.6840332818274,62.537568251296015,-6.650308025649311,-13.018992105437867,96.64839834675864
3332.9822592020305,63.03713177766565,-7.449068181346355,-11.026281869239597,87.05325170421459
3666.2804851222336,63.598827921556385,-8.267982571407686,-9.551392958744358,79.1418757794922
3999.578711042436,64.22583727805548,-9.109741290852,-8.431827182728167,72.50602892591888
4332.87693696264,64.92181004398545,-9.977260025072614,-7.564316431695886,66.85849429457937
4666.175162882842,65.69092278225901,-10.873717706326048,-6.880746894802954,61.991544040497764
4999.473388803046,66.53794603772165,-11.802600201517183,-6.334761507283349,57.751313339123655
5332.771614723249,67.4683249808069,-12.767751358747196,-5.893958998915336,54.02143683374553
5666.069840643451,68.48827580663293,-13.77343306091068,-5.535172299101977,50.71227933227746
5999.368066563655,69.60490132509253,-14.82439634882567,-5.241513659403466,47.75365671739058
6332.666292483857,70.82633009388255,-15.925966214317492,-5.00047101849873,45.08979779903676
6665.964518404061,72.16188464264471,-17.084143367503213,-4.802650307788658,42.67578208849289
6999.262744324264,73.62228591149959,-18.305727210708774,-4.640926220171986,40.47497183330043
7332.560970244467,75.21990311980697,-19.59846548588773,-4.509858110954763,38.45712733946872
7665.85919616467,76.96906108797612,-20.97123771936762,-4.405282252885765,36.59700012523828
7999.157422084872,78.88642083860502,-22.434281834036753,-4.324024226475833,34.873265200025045
8332.455648005076,80.9914545126985,-23.999476376636828,-4.26369520845447,33.2676968375261
8665.75387392528,83.30704285531289,-25.680695073146083,-4.222548531302323,31.76452046303141
8999.052099845481,85.86023365221132,-27.49425640994647,-4.199381095751205,30.349892000214233
9332.350325765685,88.68321389887537,-29.459499448823593,-4.1934697792627045,29.01146844035568
9665.648551685888,91.81456925715128,-31.599529361868015,-4.204536977660714,27.738041463960982
9998.946777606092,95.30093480047303,-33.94219416736547,-4.232742558013527,26.519210812472483
10332.245003526294,99.1991864425139,-36.52138097850167,-4.27870232028722,25.345076365316892
10665.543229446497,103.57939141198604,-39.37876084163592,-4.343536043986974,24.205927650755736
10998.8414553667,108.52884311403653,-42.56617447290738,-4.428951885998568,23.091906449045577
11332.139681286902,114.15767550066062,-46.14895155641611,-4.5373790770014395,21.992611221017654
11665.437907207106,120.6068284857565,-50.21061964964133,-4.672168800651475,20.896599245158846
11998.73613312731,128.05959897778155,-54.859732434256024,-4.837896061027975,19.790719592970472
12332.034359047513,136.75881312140194,-60.240020517820426,-5.0408174110308925,18.659169739456043
12665.332584967715,147.03309264356304,-66.54591755589689,-5.289578788577615,17.482095453045616
12998.630810887918,159.33837774336266,-74.04710420499245,-5.596341210632642,16.233416084205306
13331.929036808122,174.32615290358086,-83.12883565734009,-5.978636339665028,14.877286655249069
13665.227262728324,192.9608148257374,-94.36131616893616,-6.462563952102915,13.362044497306231
13998.525488648527,216.7331117051885,-108.62585959912789,-7.088611619357181,11.6092320642515
14331.82371456873,248.07589259289233,-127.36063177655551,-7.922995259838114,9.49224516250574
14665.121940488934,291.2478611422509,-153.0830218148614,-9.081770124319037,6.790975950573189
14998.420166409136,354.44190974315393,-190.63584084830464,-10.788355904051715,3.0836380922250246
15331.71839232934,455.6921693304811,-250.6788732628129,-13.534713240479235,-2.5562786893733835
15665.016618249543,643.9918598963005,-362.1712586443108,-18.657559515229593,-12.643361400448866
15998.314844169745,1115.674296586803,-641.1622117153945,-31.513916919948834,-37.25059500143135
16331.613070089948,4446.333879972901,-2610.039379997407,-122.3808750251248,-208.50622267032088
16664.911296010152,-2166.8311107685136,1298.7029685253715,58.076405597156885,130.3685138154633
16998.209521930356,-859.859166083193,525.9983509264309,22.425394194789366,62.957071362518796
17331.50774785056,-532.0259438547107,332.0484551424535,13.490058544970994,45.788682950120794
17664.805973770763,-382.92699377436816,243.7485050160313,9.43076693110629,37.80208256122711
17998.104199690963,-297.7401519314467,193.22908791940364,7.114547016658274,33.106216899812274
18331.402425611166,-242.64766499344773,160.50104519436684,5.618691501232143,29.96558404753591
18664.70065153137,-204.11256228648023,137.56282759670862,4.573865368321638,27.685125721446
18997.998877451573,-175.6576761912436,120.58581185912827,3.803361118720117,25.931991020341606
19331.297103371777,-153.79420822031304,107.50774916572024,3.212006665046423,24.526669413828838
19664.59532929198,-136.47654046727715,97.11943184121452,2.744003801918815,23.36371968533997
19997.893555212184,-122.42595022475865,88.66495308467145,2.3644753357083665,22.377073646497603
20331.191781132384,-110.80203144635712,81.64748997288491,2.0504996125122874,21.523177374034365
20664.490007052587,-101.02971868940722,75.7270602988691,1.7863907207858523,20.77211503950086
20997.78823297279,-92.70223370332097,70.66315592742268,1.5610502371094856,20.10262774849415
21331.086458892994,-85.5237269023233,66.28083908920543,1.3664020063511542,19.499168886513573
21664.384684813198,-79.2738813967745,62.449820354078994,1.1964261079288194,18.950086280406072
21997.6829107334,-73.78525710984624,59.071067045333756,1.0465403551711088,18.44645803818003
