frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
5.499908701515554554e+01,4.251153095099272777e-02,4.201774273553042505e-02,-1.469750760865293771e+00,-1.615933165578764319e+00,-1.461824047134707982e-01,-8.375634829155188754e+00
5.999900401653331983e+01,4.392345292768305709e-02,4.317183694320674003e-02,-1.639513015204068669e+00,-1.800778550087345220e+00,-1.612655348832764957e-01,-9.239834529731496104e+00
6.499892101791110122e+01,4.534545252147906269e-02,4.431525832347833760e-02,-1.817928919992437109e+00,-1.994696278338397022e+00,-1.767673583459599684e-01,-1.012802358890013465e+01
6.999883801928888261e+01,4.674395671148010717e-02,4.541898002094198195e-02,-2.005560131695999448e+00,-2.198255190641546175e+00,-1.926950589455463381e-01,-1.104061361060442437e+01
7.499875502066664978e+01,4.808193955623277227e-02,4.645228196439087076e-02,-2.202996208821144997e+00,-2.412040409598678270e+00,-2.090442007775332178e-01,-1.197735043623805495e+01
7.999867202204443117e+01,4.931968418820695255e-02,4.738359157146477402e-02,-2.410872093357137480e+00,-2.636667039486583874e+00,-2.257949461294459781e-01,-1.293709744860103683e+01
8.499858902342221256e+01,5.041603739368894638e-02,4.818165989034049052e-02,-2.629887001102655830e+00,-2.872793945513231861e+00,-2.429069444105760867e-01,-1.391754272914491253e+01
8.999850602479997974e+01,5.133026524302219257e-02,4.881711210099849707e-02,-2.860824589502818593e+00,-3.121137108602283661e+00,-2.603125190994650118e-01,-1.491480869881797844e+01
9.499842302617776113e+01,5.202460898151520241e-02,4.926438992338834366e-02,-3.104573747141290863e+00,-3.382481573711249467e+00,-2.779078265699595485e-01,-1.592294555611232454e+01
9.999834002755554252e+01,5.246761114093403261e-02,4.950406671534136188e-02,-3.362148258117532151e+00,-3.657690177395009901e+00,-2.955419192774786930e-01,-1.693330464379559430e+01
1.049982570289333097e+02,5.263821849011873083e-02,4.952545691034402481e-02,-3.634701561487160948e+00,-3.947705922346045337e+00,-3.130043608588852222e-01,-1.793382884640394082e+01
1.099981740303110911e+02,5.253054765010903293e-02,4.932935067159221337e-02,-3.923529336671105927e+00,-4.253542967703484834e+00,-3.300136310323795730e-01,-1.890838823994292284e+01
1.149980910316888725e+02,5.215898421826343362e-02,4.893057178668230867e-02,-4.230047216457409220e+00,-4.576258824781620049e+00,-3.462116083242114395e-01,-1.983646397541363626e+01
1.199980080330666397e+02,5.156292691282222951e-02,4.835987542017697316e-02,-4.555723746419110043e+00,-4.916898132994717230e+00,-3.611743865756078531e-01,-2.069376801900878604e+01
1.249979250344444210e+02,5.080993944622437530e-02,4.766448381429181508e-02,-4.901942257017910087e+00,-5.276398105736225475e+00,-3.744558487183161088e-01,-2.145473974554874985e+01
1.299978420358222024e+02,4.999536350121384920e-02,4.690635998065941642e-02,-5.269767275396574746e+00,-5.655450831461954486e+00,-3.856835560653811834e-01,-2.209803999014360443e+01
1.349977590371999838e+02,4.923583835773567147e-02,4.615728499530520612e-02,-5.659616643857947160e+00,-6.054332760721111484e+00,-3.947161168631648231e-01,-2.261556760205192518e+01
1.399976760385777652e+02,4.865437213329767280e-02,4.549017823254716125e-02,-6.070906080707278107e+00,-6.472739261116262632e+00,-4.018331804089852466e-01,-2.302334530575384974e+01
1.449975930399555182e+02,4.835670760906519289e-02,4.496713318830602296e-02,-6.501829175113938319e+00,-6.909694334866822274e+00,-4.078651597528852313e-01,-2.336895226426941008e+01
1.499975100413332996e+02,4.840324242990822617e-02,4.462630421003793701e-02,-6.949489245978782925e+00,-7.363618083526391800e+00,-4.141288375476099848e-01,-2.372783456613694852e+01
1.549974270427110810e+02,4.878586895553544550e-02,4.447140896238052643e-02,-7.410495405901033728e+00,-7.832596582767733295e+00,-4.221011768667000674e-01,-2.418461596196701180e+01
1.599973440440888623e+02,4.942044946978615960e-02,4.446800828520704879e-02,-7.881866795023070971e+00,-8.314808577988550553e+00,-4.329417829654810812e-01,-2.480573693879094321e+01
1.649972610454666437e+02,5.016044519749938979e-02,4.454907761579519898e-02,-8.361868021945374707e+00,-8.808973648703060988e+00,-4.471056267576872800e-01,-2.561726540976692945e+01
1.699971780468444251e+02,5.082862973694680930e-02,4.462929401449460681e-02,-8.850451592540947487e+00,-9.314667972725080958e+00,-4.642163801841343584e-01,-2.659763936539135898e+01
1.749970950482222065e+02,5.125816409776495081e-02,4.462464435442005384e-02,-9.349242777748564492e+00,-9.832418983264195944e+00,-4.831762055156305080e-01,-2.768395733719131613e+01
1.799970120495999595e+02,5.133394278593141069e-02,4.447267664585835556e-02,-9.861198769426181343e+00,-1.036357836796933718e+01,-5.023795985431557254e-01,-2.878423070999946276e+01
1.849969290509777409e+02,5.102697932853270113e-02,4.414882109280679479e-02,-1.039006892684990646e+01,-1.091001996510173377e+01,-5.199510382518273133e-01,-2.979100004527492729e+01
1.899968460523555223e+02,5.041476867367286618e-02,4.367478403412735494e-02,-1.093965544117680366e+01,-1.147370864308617655e+01,-5.340532019093727767e-01,-3.059899450485505668e+01
1.949967630537333037e+02,4.967795911392663966e-02,4.311561966017841280e-02,-1.151278995874979394e+01,-1.205618235396682181e+01,-5.433923952170285343e-01,-3.113409086544055526e+01
1.999966800551110850e+02,4.906153097526872592e-02,4.256338107195917209e-02,-1.211008391921923177e+01,-1.265803325709591931e+01,-5.479493378766883138e-01,-3.139518444732217972e+01
2.049965970564888664e+02,4.879562193818641480e-02,4.210868601937425154e-02,-1.272898433038200139e+01,-1.327857179257684095e+01,-5.495874621948387828e-01,-3.148904205706995185e+01
2.099965140578666194e+02,4.899578834749791778e-02,4.180767377215965225e-02,-1.336412436435552209e+01,-1.391592206819407451e+01,-5.517977038385527555e-01,-3.161567957495881842e+01
2.149964310592444008e+02,4.959366475396446983e-02,4.165787696890737440e-02,-1.400946631290070954e+01,-1.456767344909620654e+01,-5.582071361954978883e-01,-3.198291299808636268e+01
2.199963480606221822e+02,5.034846537213059914e-02,4.159643592246129590e-02,-1.466117491893714053e+01,-1.523187826052195248e+01,-5.707033415848123958e-01,-3.269889282682271414e+01
2.249962650619999636e+02,5.094216965833839317e-02,4.152463437472508206e-02,-1.531937290103674698e+01,-1.590790491203982882e+01,-5.885320110030821672e-01,-3.372040033882353782e+01
2.299961820633777450e+02,5.111247451947092957e-02,4.134935215646370205e-02,-1.598801974688860206e+01,-1.659671958339899334e+01,-6.086998365103909459e-01,-3.487593162234861666e+01
2.349960990647555263e+02,5.076926640628761506e-02,4.102384207380010972e-02,-1.667343775560109620e+01,-1.730049157607682631e+01,-6.270538204757308831e-01,-3.592753744081338141e+01
2.399960160661332793e+02,5.005443883948981765e-02,4.057040021825325526e-02,-1.738204981013224071e+01,-1.802168688887698167e+01,-6.396370787447409612e-01,-3.664850503215075150e+01
2.449959330675110607e+02,4.931116138183715136e-02,4.007325370888085297e-02,-1.811748058326010380e+01,-1.876194444368649172e+01,-6.444638604263887016e-01,-3.692505925114022602e+01
2.499958500688888421e+02,4.893800965772542727e-02,3.963999327503654052e-02,-1.887778335485160852e+01,-1.952116683681162357e+01,-6.433834819600147137e-01,-3.686315812474018117e+01
2.549957670702666235e+02,4.916193608056722980e-02,3.934532890149331635e-02,-1.965521332219451267e+01,-2.029739244799848663e+01,-6.421791258039732941e-01,-3.679415359996841062e+01
2.599956840716444049e+02,4.986933071242757864e-02,3.918692560644679301e-02,-2.044051265074396539e+01,-2.108778814882655084e+01,-6.472754980825855542e-01,-3.708615422236036352e+01
2.649956010730221578e+02,5.064747903152100328e-02,3.908375228245103417e-02,-2.122904757102068274e+01,-2.189032619333030638e+01,-6.612786223096227545e-01,-3.788847414056698426e+01
2.699955180743999676e+02,5.102609490050249996e-02,3.892297354267201803e-02,-2.202365422310690946e+01,-2.270504863237257354e+01,-6.813944092656626372e-01,-3.904102383473238547e+01
2.749954350757777206e+02,5.075920481965730258e-02,3.862857228690292494e-02,-2.283287741234559931e+01,-2.353407352706927114e+01,-7.011961147236737135e-01,-4.017557798463758445e+01
2.799953520771555304e+02,4.999386105692252974e-02,3.821011780211566039e-02,-2.366650573044362105e+01,-2.438034275674352003e+01,-7.138370262998990912e-01,-4.089984886715336643e+01
2.849952690785332834e+02,4.922811000410531879e-02,3.775999584328196962e-02,-2.452976793966385571e+01,-2.524577146168800468e+01,-7.160035220241496301e-01,-4.102397992848605668e+01
2.899951860799110364e+02,4.901408054403992576e-02,3.739442987783259814e-02,-2.541835115165702419e+01,-2.612984256728921650e+01,-7.114914156321920924e-01,-4.076545527551289183e+01
2.949951030812888462e+02,4.953296214081217425e-02,3.717094294144962507e-02,-2.631979222769353299e+01,-2.702977495373865935e+01,-7.099827260451262445e-01,-4.067901372957868489e+01
2.999950200826665991e+02,5.040351728816181570e-02,3.704252207368669003e-02,-2.722328904287228468e+01,-2.794251913713705804e+01,-7.192300942647730233e-01,-4.120884890016785107e+01
3.049949370840444089e+02,5.095706761928168321e-02,3.689077338029986969e-02,-2.812868879401396782e+01,-2.886714882802529658e+01,-7.384600340113286476e-01,-4.231064328793635809e+01
3.099948540854221619e+02,5.075070868110280464e-02,3.661738920452495966e-02,-2.904629006510185718e+01,-2.980563863288275783e+01,-7.593485677808994305e-01,-4.350746811314925822e+01
3.149947710867999717e+02,4.992505420916146242e-02,3.622338080172216035e-02,-2.998960887615260873e+01,-3.076137398106683207e+01,-7.717651049142241204e-01,-4.421888328705622939e+01
3.199946880881777247e+02,4.915734497681560622e-02,3.581185549421381231e-02,-3.096534197470884209e+01,-3.173644394341860675e+01,-7.711019687097653286e-01,-4.418088838129841633e+01
3.249946050895554777e+02,4.913987323298696364e-02,3.550400100783688423e-02,-3.196568117687565191e+01,-3.272972971721382152e+01,-7.640485403381717111e-01,-4.377675670450827283e+01
3.299945220909332875e+02,4.991196622821494205e-02,3.533097033561945211e-02,-3.297338012908443972e+01,-3.373768348142487383e+01,-7.643033523404383356e-01,-4.379135635680742666e+01
3.349944390923110404e+02,5.076229428281529149e-02,3.520154759957846990e-02,-3.397883102609613815e+01,-3.475755891467014180e+01,-7.787278885740058776e-01,-4.461782140442437594e+01
3.399943560936888503e+02,5.088783844758457131e-02,3.498540602320235338e-02,-3.498927089320868333e+01,-3.579007099233945866e+01,-8.008000991307794303e-01,-4.588246591385160400e+01
3.449942730950666032e+02,5.014697582092082773e-02,3.463767147787356199e-02,-3.602195410193149883e+01,-3.683879762617438303e+01,-8.168435242428837562e-01,-4.680168646170938018e+01
3.499941900964444130e+02,4.925062337736622886e-02,3.424577732737275892e-02,-3.708925141157862981e+01,-3.790678881992000981e+01,-8.175374083413805559e-01,-4.684144309202449108e+01
3.549941070978221660e+02,4.913953412518384800e-02,3.394582535420796049e-02,-3.818483643009558648e+01,-3.899340406882824084e+01,-8.085676387326506953e-01,-4.632751315023955385e+01
3.599940240991999190e+02,4.995832569343129637e-02,3.378052681876708013e-02,-3.928742391144525214e+01,-4.009473350692755389e+01,-8.073095954822960829e-01,-4.625543258154931436e+01
3.649939411005777288e+02,5.081922680551111821e-02,3.364909828954653487e-02,-4.038505422482349871e+01,-4.120776339426203094e+01,-8.227091694385324505e-01,-4.713776317554123807e+01
3.699938581019554817e+02,5.076910189886329333e-02,3.341550891672066814e-02,-4.148845862681361751e+01,-4.233379226795069172e+01,-8.453336411370787618e-01,-4.843404991758112033e+01
3.749937751033332916e+02,4.983902635552638766e-02,3.306116818540905111e-02,-4.261939732519059021e+01,-4.347709311510214292e+01,-8.576957899115538186e-01,-4.914234886807136604e+01
3.799936921047110445e+02,4.909264413383854220e-02,3.271025750432419305e-02,-4.378795380530445414e+01,-4.464011813154193220e+01,-8.521643262374754002e-01,-4.882541934501674064e+01
3.849936091060887975e+02,4.945578943027299085e-02,3.248743834853123902e-02,-4.497771822772799055e+01,-4.582042276905164613e+01,-8.427045413236569082e-01,-4.828341359435341928e+01
