# Time,m_true,EnvelopeFactor(1+mu*m),Carrier,RF_in,RLC_out,RF_amp,Rectified,Envelope,m_hat,m_hat_norm
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.0005,0.0031415874858795635,1.0025132699887036,0.03141075907812829,0.031489702796241754,5.935669138103944e-05,0.0002967834569051972,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.001,0.006283143965558951,1.0050265151724471,0.06279051952931337,0.0631061370284133,0.0001781127134476271,0.0008905635672381356,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.0015,0.009424638433144006,1.0075397107465152,0.09410831331851433,0.09481786277977834,0.00035616694258724734,0.0017808347129362368,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.002,0.012566039883352607,1.0100528319066822,0.12533323356430426,0.12659318749364715,0.0005932744307611887,0.0029663721538059438,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.0025,0.015707317311820675,1.0125658538494566,0.15643446504023087,0.15840019766494434,0.0008890466082551001,0.004445233041275501,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.003,0.018848439715408175,1.0150787517723265,0.18738131458572463,0.190206790915135,0.001242951750625616,0.006214758753128081,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.0035,0.021989376092505106,1.0175915008740042,0.21814324139654254,0.22198070841822792,0.0016543157093431818,0.008271578546715909,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.004,0.02513009544333748,1.02010407635467,0.2486898871648548,0.2536895676450513,0.0021223229051955486,0.010611614525977742,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.0045000000000000005,0.028270566770273255,1.0226164534162185,0.2789911060392293,0.2853008953925048,0.0026460175830819634,0.013230087915409817,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.005,0.03141075907812829,1.0251286072625025,0.3090169943749474,0.3167821610640344,0.0032243053263955445,0.016121526631977724,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.0055,0.034550641374472266,1.0276405130995778,0.33873792024529137,0.3481008101671551,0.0038559548287613868,0.019279774143806935,0.0,0.0,-0.22506354229142045,-0.9848638474592997
0.006,0.03769018266993454,1.0301521461359475,0.368124552684678,0.3792242979934567,0.004539599920471222,0.02269799960235611,0.002697999602356109,6.744999005890273e-06,-0.22505679729241457,-0.984834331769622
0.006500000000000001,0.04082935197851,1.032663481582808,0.3971478906347806,0.4101201234461808,0.005273741846532698,0.02636870923266349,0.006368709232663489,2.264990959003427e-05,-0.22504089238183042,-0.9847647328853606
0.007,0.0439681183178649,1.035174494654292,0.42577929156507266,0.4407558629801365,0.006056751792833129,0.030283758964165644,0.010283758964165644,4.830268222647329e-05,-0.22501523960919398,-0.9846524779723724
0.0075,0.04710645070964266,1.0376851605677142,0.45399049973954675,0.4710992046184484,0.006886873656504619,0.034434368282523095,0.014434368282523095,8.426784622721485e-05,-0.22497927444519322,-0.9844950966860403
0.008,0.050244318179769556,1.0401954545438157,0.4817536741017153,0.501117982010387,0.0077622270561703705,0.03881113528085185,0.018811135280851852,0.00013108501481377642,-0.22493245727660668,-0.9842902277129857
0.0085,0.053381689758760474,1.0427053518070084,0.5090414157503713,0.5307802084943286,0.008680810577351473,0.04340405288675736,0.02340405288675736,0.0001892674344936354,-0.22487427485692682,-0.9840356251189049
0.009000000000000001,0.056518534482024534,1.0452148275856197,0.5358267949789967,0.5600541111297271,0.009640505247920013,0.048202526239600064,0.028202526239600064,0.0002593005815064015,-0.22480424170991406,-0.9837291644904332
0.0095,0.0596548213901707,1.0477238571121366,0.5620833778521306,0.5889081646618527,0.010639078238098796,0.053195391190493976,0.03319539119049397,0.0003416408080288704,-0.22472190148339158,-0.9833688488592655
0.01,0.06279051952931337,1.0502324156234506,0.5877852522924731,0.6173111253829634,0.011674186779130624,0.05837093389565312,0.03837093389565312,0.000436714040747931,-0.2246268282506725,-0.9829528143971186
0.0105,0.06592559795137785,1.0527404783611023,0.6129070536529765,0.6452320648535282,0.012743382294371898,0.06371691147185948,0.04371691147185948,0.0005449145343257098,-0.22451862775709475,-0.9824793358704897
0.011,0.06906002571440578,1.0552480205715247,0.6374239897486896,0.6726404034471085,0.013844114736206498,0.06922057368103249,0.049220573681032484,0.0006666036821924768,-0.22439693860922796,-0.9819468318445514
0.0115,0.0721937718828606,1.0577550175062884,0.6613118653236518,0.6995059436825356,0.014973737121827329,0.07486868560913665,0.054868685609136644,0.0008021088870098372,-0.2242614334044106,-0.9813538696259332
0.012,0.07532680552793272,1.0602614444223462,0.6845471059286887,0.7257989033070883,0.01612951026059498,0.08064755130297489,0.06064755130297489,0.0009517224930497498,-0.2241118197983707,-0.9806991699345637
0.0125,0.07845909572784494,1.062767276582276,0.7071067811865476,0.7514899480944865,0.017308607665356152,0.08654303832678076,0.06654303832678075,0.0011157007826340772,-0.22394784150878638,-0.9799816112951876
0.013000000000000001,0.08159061156815756,1.065272489254526,0.7289686274214116,0.7765502243216622,0.0185081206397896,0.092540603198948,0.07254060319894799,0.001294263038674862,-0.2237692792527456,-0.9792002341396302
0.0135,0.08472132214207344,1.0677770577136587,0.7501110696304595,0.8009513908884575,0.019725063533544366,0.09862531766772183,0.07862531766772182,0.0014875906752474795,-0.22357595161617297,-0.9783542446113547
0.014,0.08785119655074317,1.0702809572405945,0.7705132427757893,0.8246656510446263,0.02095637915664519,0.10478189578322596,0.08478189578322595,0.0016958264380174256,-0.223367715853403,-0.9774430180643439
