Zeit;Kanal B;A-0,180
(s);(V);(mV)

0,00345000;-11,61479000;-38,42151000
0,00347500;-11,61479000;-38,46764000
0,00350000;-11,61479000;-38,51379000
0,00352500;-11,61479000;-38,54455000
0,00355000;-11,61479000;-38,57531000
0,00357500;-11,61479000;-38,60606000
0,00360000;-11,61479000;-38,65219000
0,00362500;-11,61479000;-38,69833000
0,00365000;-11,61479000;-38,71371000
0,00367500;-11,61479000;-38,75985000
0,00370000;-11,61479000;-38,77523000
0,00372500;-11,61479000;-38,82137000
0,00375000;-11,61479000;-38,85212000
0,00377500;-11,61479000;-38,88288000
0,00380000;-11,61479000;-38,89826000
0,00382500;-11,61479000;-38,94439000
0,00385000;-11,61479000;-38,95977000
0,00387500;-11,61479000;-39,00592000
0,00390000;-11,61479000;-39,02130000
0,00392500;-11,61479000;-39,06743000
0,00395000;-11,61479000;-39,09819000
0,00397500;-11,61479000;-39,12894000
0,00400000;-11,61479000;-39,15970000
0,00402500;-11,61479000;-39,20583000
0,00405000;-11,61479000;-39,22121000
0,00407500;-11,61479000;-39,25198000
0,00410000;-11,61479000;-39,28274000
0,00412500;-11,61479000;-39,32887000
0,00415000;-11,61479000;-39,37500000
0,00417500;-11,61479000;-39,39038000
0,00420000;-11,61479000;-39,40576000
0,00422500;-11,61479000;-39,45189000
0,00425000;-11,61479000;-39,49804000
0,00427500;-11,61479000;-39,52880000
0,00430000;-11,61479000;-39,55956000
0,00432500;-11,61479000;-39,59031000
0,00435000;-11,61479000;-39,63644000
0,00437500;-11,61479000;-39,65182000
0,00440000;-11,61479000;-39,68258000
0,00442500;-11,61479000;-39,69796000
0,00445000;-11,61479000;-39,71334000
0,00447500;-11,61479000;-39,75948000
0,00450000;-11,61479000;-39,80562000
0,00452500;-11,61479000;-39,82100000
0,00455000;-11,61479000;-39,86713000
0,00457500;-11,61479000;-39,91327000
0,00460000;-11,61479000;-39,92864000
0,00462500;-11,61479000;-39,97478000
0,00465000;-11,61479000;-40,00555000
0,00467500;-11,61479000;-40,03630000
0,00470000;-11,61479000;-40,06706000
0,00472500;-11,61479000;-40,09782000
0,00475000;-11,61417000;-40,12857000
0,00477500;-11,61417000;-40,17471000
0,00480000;-11,61417000;-40,22084000
0,00482500;-11,61417000;-40,23623000
0,00485000;-11,61417000;-40,28237000
0,00487500;-11,61417000;-40,29774000
0,00490000;-11,61417000;-40,31312000
0,00492500;-11,61417000;-40,34388000
0,00495000;-11,61417000;-40,35926000
0,00497500;-11,61417000;-40,37463000
0,00500000;-11,61417000;-40,40539000
0,00502500;-11,61417000;-40,42077000
0,00505000;-11,61417000;-40,43615000
0,00507500;-11,61417000;-40,48230000
0,00510000;-11,61417000;-40,49767000
0,00512500;-11,61417000;-40,54381000
0,00515000;-11,61417000;-40,55919000
0,00517500;-11,61417000;-40,58994000
0,00520000;-11,61417000;-40,62070000
0,00522500;-11,61417000;-40,65145000
0,00525000;-11,61417000;-40,68221000
0,00527500;-11,61417000;-40,68221000
0,00530000;-11,61417000;-40,71298000
0,00532500;-11,61417000;-40,72836000
0,00535000;-11,61417000;-40,74374000
0,00537500;-11,61417000;-40,77449000
0,00540000;-11,61417000;-40,78987000
0,00542500;-11,61417000;-40,78987000
