# f,H_in,H_out,G_ideal,G_theo,phi_ideal,phi_theo
1.014379864990051942e+03,5.059299354956470207e-01,2.075046728152405654e-03,-5.806027144551005392e+01,-4.774124991951953234e+01,8.992836765424927137e+01,1.753174373542562492e+01
1.014847158500602404e+03,5.059299364931821863e-01,2.075135646303931467e-03,-5.805626779882893373e+01,-4.774087774420591757e+01,8.992833462863288219e+01,1.753931278790637549e+01
1.015314667278857200e+03,5.059299374916377268e-01,2.075224642715066577e-03,-5.805226414915467359e+01,-4.774050525729894900e+01,8.992830158776553162e+01,1.754688467791542550e+01
1.015782391423984791e+03,5.059299384910145303e-01,2.075313717451615116e-03,-5.804826049648448105e+01,-4.774013245856403387e+01,8.992826853164012846e+01,1.755445940597276078e+01
1.016250331035195927e+03,5.059299394913137071e-01,2.075402870579431524e-03,-5.804425684081562054e+01,-4.773975934776640173e+01,8.992823546024960990e+01,1.756203697259767793e+01
1.016718486211750132e+03,5.059299404925359234e-01,2.075492102164419247e-03,-5.804025318214532092e+01,-4.773938592467115427e+01,8.992820237358688473e+01,1.756961737830889092e+01
1.017186857052952746e+03,5.059299414946820672e-01,2.075581412272533774e-03,-5.803624952047079688e+01,-4.773901218904327948e+01,8.992816927164487595e+01,1.757720062362451685e+01
1.017655443658151853e+03,5.059299424977529158e-01,2.075670800969779597e-03,-5.803224585578929862e+01,-4.773863814064762323e+01,8.992813615441646391e+01,1.758478670906199426e+01
1.018124246126745220e+03,5.059299435017493574e-01,2.075760268322211950e-03,-5.802824218809803369e+01,-4.773826377924890352e+01,8.992810302189461424e+01,1.759237563513816127e+01
1.018593264558172564e+03,5.059299445066721690e-01,2.075849814395935508e-03,-5.802423851739425231e+01,-4.773788910461168200e+01,8.992806987407215047e+01,1.759996740236922363e+01
1.019062499051922146e+03,5.059299455125223499e-01,2.075939439257107853e-03,-5.802023484367515493e+01,-4.773751411650042797e+01,8.992803671094203821e+01,1.760756201127076181e+01
1.019531949707528270e+03,5.059299465193005663e-01,2.076029142971934707e-03,-5.801623116693796334e+01,-4.773713881467944020e+01,8.992800353249712941e+01,1.761515946235774166e+01
1.020001616624568101e+03,5.059299475270080393e-01,2.076118925606672098e-03,-5.801222748717989930e+01,-4.773676319891290376e+01,8.992797033873036128e+01,1.762275975614445755e+01
1.020471499902667460e+03,5.059299485356454351e-01,2.076208787227628531e-03,-5.800822380439817749e+01,-4.773638726896486162e+01,8.992793712963459996e+01,1.763036289314459992e+01
