# frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg, gain
1.231143168889718618e+04,4.949952203680416662e-01,6.851370368348532955e-03,-8.919978300850093689e+00,-7.516184443025880846e+00,1.403793857824212843e+00,8.043146335971533745e+01,-3.717647120780215886e+01
1.241848761662672769e+04,4.818311595918893797e-01,8.438977560062493194e-03,-9.331053011229618832e+00,-7.893667736607408614e+00,1.437385274622210218e+00,8.235610977010543365e+01,-3.513210099892474148e+01
1.252554354435626919e+04,4.714750619289970190e-01,7.396969137529577770e-03,-9.762582824078871013e+00,-8.409388086390773509e+00,1.353194737688097504e+00,7.753234732884050118e+01,-3.608809839071882664e+01
1.263259947208580888e+04,4.693113741917940285e-01,8.833206235754105171e-03,-1.020678940284285829e+01,-8.808875136634899405e+00,1.397914266207959333e+00,8.009458757484350144e+01,-3.450685418996225451e+01
1.273965539981535039e+04,4.714532382035755420e-01,7.803188702730801465e-03,-1.065890776665611206e+01,-9.240009572141657301e+00,1.418898194514454536e+00,8.129687810441078000e+01,-3.562333027146418374e+01
1.284671132754489008e+04,4.808335575709287713e-01,9.381449738382145395e-03,-1.111239108416068078e+01,-9.612685240170215195e+00,1.499705843990465137e+00,8.592681537175872108e+01,-3.419449626976266643e+01
1.295376725527443159e+04,4.947299085228086812e-01,8.880231320210790757e-03,-1.156158181710747357e+01,-1.004528796537138646e+01,1.516293851736087328e+00,8.687723820611319070e+01,-3.491887774570790270e+01
1.306082318300397128e+04,5.102098250959317127e-01,9.612695009684309871e-03,-1.200300900381787983e+01,-1.047337907191347917e+01,1.529629931904399776e+00,8.764133931500560948e+01,-3.449807308515714510e+01
1.316787911073351279e+04,5.230594059428422815e-01,9.112294418460967216e-03,-1.243984487668432770e+01,-1.092501874231278158e+01,1.514826134371545452e+00,8.679314419560688521e+01,-3.517846545723101315e+01
1.327493503846305430e+04,5.337279237174726854e-01,9.698102504026006807e-03,-1.287494858758277694e+01,-1.130223975514250867e+01,1.572708832440268711e+00,9.010957850177476303e+01,-3.481266309708691864e+01
1.338199096619259399e+04,5.379478574917608835e-01,9.756431640969695160e-03,-1.331236934430164354e+01,-1.187065761153075805e+01,1.441711732770885490e+00,8.260399756226451018e+01,-3.482898352367739392e+01
