# Time,Input,Output
0.0,1.0,0.0
0.001,0.9999998750000026,0.0
0.002,0.9999995000000417,0.004999999375000013
0.003,0.9999988750002109,0.009997371875328346
0.004,0.9999980000006666,0.014991992630110484
0.005,0.9999968750016276,0.01998373689970176
0.006,0.999995500003375,0.024972480078740547
0.007,0.9999938750062526,0.02995809769919658
0.008,0.9999920000106667,0.03494046543341431
0.009000000000000001,0.9999898750170859,0.03991945909715113
0.01,0.9999875000260416,0.04489495465261077
0.011,0.9999848750381276,0.04986682821147116
0.012,0.999982000054,0.054834956037907265
0.013000000000000001,0.9999788750743775,0.05979921455160852
0.014,0.9999755001000415,0.06475948033079093
0.015,0.9999718751318357,0.0697156301152039
0.016,0.9999680001706663,0.07466754080913077
0.017,0.9999638752175021,0.07961508948438456
0.018000000000000002,0.9999595002733742,0.08455815338329785
0.019,0.9999548753393765,0.0894966099217063
0.02,0.9999500004166653,0.09443033669192767
0.021,0.999944875506459,0.0993592114657332
0.022,0.9999395006100392,0.10428311219731409
0.023,0.9999338757287494,0.10920191702624202
0.024,0.9999280008639958,0.11411550428042337
0.025,0.9999218760172474,0.11902375247904683
0.026000000000000002,0.9999155011900349,0.12392654033552553
0.027,0.9999088763839525,0.1288237467604314
0.028,0.9999020016006562,0.1337152508644253
0.029,0.9998948768418647,0.13860093196117923
0.03,0.9998875021093592,0.14348066957029157
0.031,0.9998798774049833,0.14835434342019768
0.032,0.9998720027306434,0.15322183345107124
0.033,0.9998638780883079,0.15808301981772194
0.034,0.9998555034800082,0.1629377828924819
0.035,0.9998468789078377,0.16778600326809062
0.036000000000000004,0.9998380043739528,0.17262756176056882
0.037,0.9998288798805719,0.17746233941208744
0.038,0.9998195054299763,0.18229021749382873
0.039,0.9998098810245096,0.18711107750883776
0.04,0.9998000066665778,0.1919248011948753
0.041,0.9997898823586495,0.1967312705272499
0.042,0.9997795081032559,0.20153036772165567
0.043000000000000003,0.9997688839029905,0.20632197523699422
0.044,0.9997580097605092,0.2111059757781926
0.045,0.9997468856785308,0.2158822522990135
0.046,0.9997355116598361,0.22065068800485657
0.047,0.9997238877072687,0.2254111663555533
0.048,0.9997120138237345,0.23016357106815238
0.049,0.9996998900122023,0.23490778611970145
0.05,0.9996875162757026,0.23964369575001365
0.051000000000000004,0.9996748926173291,0.24437118446443348
0.052000000000000005,0.9996620190402377,0.2490901370365936
0.053,0.9996488955476466,0.2538004385111564
0.054,0.9996355221428369,0.25850197420655696
0.055,0.9996218988291519,0.2631946297177293
0.056,0.9996080256099974,0.2678782909188354
0.057,0.9995939024888417,0.2725528439659716
0.058,0.9995795294692156,0.2772181752998801
0.059000000000000004,0.9995649065547122,0.28187417164864115
0.06,0.9995500337489875,0.28652072003036433
0.061,0.9995349110557595,0.29115770775586663
0.062,0.999519538478809,0.29578502243134686
0.063,0.9995039160219791,0.30040255196104315
0.064,0.9994880436891754,0.30501018454989065
0.065,0.9994719214843659,0.30960780870616655
0.066,0.9994555494115813,0.31419531324412275
0.067,0.9994389274749146,0.3187725872866143
0.068,0.9994220556785212,0.32333952026771945
0.069,0.999404934026619,0.32789600193534607
0.07,0.9993875625234886,0.3324419223538294
0.07100000000000001,0.9993699411734727,0.3369771719065301
0.07200000000000001,0.9993520699809768,0.34150164129840704
0.073,0.9993339489504686,0.34601522155859044
0.074,0.9993155780864782,0.35051780404295463
0.075,0.9992969573935987,0.35500928043665503
0.076,0.9992780868764849,0.359489542756683
0.077,0.9992589665398547,0.3639584833543985
0.078,0.999239596388488,0.3684159949180449
0.079,0.9992199764272274,0.3728619704752828
0.08,0.9992001066609779,0.37729630339567166
0.081,0.999179987094707,0.38171888739318705
0.082,0.9991596177334445,0.3861296165286854
0.083,0.9991389985822827,0.3905283852123964
0.084,0.9991181296463766,0.39491508820637955
0.085,0.9990970109309432,0.39928962062698026
0.08600000000000001,0.9990756424412623,0.4036518779472781
0.08700000000000001,0.999054024182676,0.4080017559995208
0.088,0.9990321561605888,0.4123391509775448
0.089,0.9990100383804678,0.41666395943919243
0.09,0.9989876708478425,0.4209760783087241
0.091,0.9989650535683046,0.42527540487919957
0.092,0.9989421865475084,0.4295618368148707
0.093,0.9989190697911708,0.43383527215355155
0.094,0.9988957033050712,0.43809560930897495
0.095,0.9988720870950507,0.44234274707316
0.096,0.9988482211670138,0.4465765846187325
0.097,0.9988241055269267,0.45079702150127854
0.098,0.9987997401808185,0.4550039576616455
0.099,0.9987751251347804,0.45919729342825955
0.1,0.9987502603949663,0.463376929519424
0.101,0.9987251459675922,0.4675427670456034
0.10200000000000001,0.9986997818589368,0.47169470751170783
0.10300000000000001,0.9986741680753413,0.4758326528193524
0.10400000000000001,0.9986483046232089,0.47995650526909683
0.105,0.9986221915090054,0.48406616756272447
0.106,0.9985958287392593,0.48816154280544866
0.107,0.9985692163205613,0.4922425345081305
0.108,0.9985423542595644,0.4963090465895048
0.109,0.9985152425629842,0.5003609833783673
0.11,0.9984878812375985,0.5043982496157728
0.111,0.9984602702902475,0.5084207504571947
0.112,0.9984324097278344,0.5124283914746952
0.113,0.9984042995573239,0.516421078659085
0.114,0.9983759397857438,0.520398718422066
0.115,0.998347330420184,0.5243612175983514
0.116,0.9983184714677966,0.5283084834477758
0.117,0.9982893629357967,0.5322404236574263
0.11800000000000001,0.9982600048314613,0.5361569463437243
0.11900000000000001,0.9982303971621297,0.5400579600544964
0.12,0.9982005399352042,0.5439433737710664
0.121,0.9981704331581488,0.5478130969102935
0.122,0.9981400768384904,0.5516670393266476
0.123,0.9981094709838179,0.555505111314214
0.124,0.9980786156017829,0.5593272236087299
0.125,0.9980475107000991,0.5631332873896
0.126,0.9980161562865429,0.5669232142818836
0.127,0.9979845523689529,0.5706969163582931
0.128,0.99795269895523,0.57445430614117
0.129,0.9979205960533374,0.5781952966044335
0.13,0.9978882436713011,0.58191980117554
0.131,0.9978556418172091,0.5856277337374205
0.132,0.9978227904992117,0.5893190086304068
0.133,0.9977896897255221,0.5929935406541464
0.134,0.9977563395044151,0.5966512450694905
0.135,0.9977227398442284,0.6002920376003917
0.136,0.9976888907533621,0.6039158344357864
0.137,0.9976547922402782,0.6075225522314431
0.138,0.9976204443135014,0.6111121081118333
0.139,0.9975858469816188,0.6146844196719514
0.14,0.9975510002532796,0.6182394049791317
0.14100000000000001,0.9975159041371955,0.6217769825748953
0.14200000000000002,0.9974805586421406,0.6252970714767159
0.14300000000000002,0.9974449637769512,0.6287995911798239
0.14400000000000002,0.9974091195505261,0.6322844616589718
0.145,0.9973730259718263,0.6357516033702104
0.146,0.9973366830498752,0.6392009372526153
0.147,0.9973000907937586,0.6426323847300353
0.148,0.9972632492126244,0.6460458677128189
0.149,0.9972261583156831,0.6494413085995077
0.15,0.9971888181122075,0.6528186302785621
0.151,0.9971512286115325,0.6561777561299942
0.152,0.9971133898230555,0.6595186100270989
0.153,0.9970753017562363,0.6628411163380532
0.154,0.9970369644205967,0.6661451999276258
0.155,0.9969983778257214,0.6694307861587201
0.156,0.9969595419812568,0.6726978008940732
0.157,0.9969204568969118,0.6759461704978098
0.158,0.9968811225824579,0.6791758218370636
0.159,0.9968415390477284,0.6823866822835312
0.16,0.9968017063026194,0.6855786797150376
0.161,0.996761624357089,0.688751742517113
0.162,0.9967212932211578,0.6919057995844913
0.163,0.9966807129049083,0.6950407803226755
0.164,0.9966398834184859,0.6981566146493923
0.165,0.9965988047720977,0.7012532329961463
0.166,0.9965574769760137,0.7043305663096744
0.167,0.9965159000405656,0.7073885460534113
0.168,0.9964740739761475,0.7104271042089438
0.169,0.9964319987932163,0.7134461732774766
0.17,0.9963896745022904,0.7164456862812307
0.171,0.9963471011139513,0.719425576764865
0.17200000000000001,0.996304278638842,0.7223857787969079
0.17300000000000001,0.9962612070876682,0.7253262269710792
0.17400000000000002,0.9962178864711978,0.7282468564077327
0.17500000000000002,0.996174316800261,0.7311476027551667
0.176,0.9961304980857502,0.7340284021910115
0.177,0.99608643033862,0.7368891914235065
0.178,0.9960421135698875,0.7397299076928654
0.179,0.9959975477906318,0.7425504887725642
0.18,0.9959527330119943,0.7453508729706071
0.181,0.9959076692451787,0.7481309991308249
0.182,0.995862356501451,0.7508908066341524
0.183,0.9958167947921394,0.7536302353998381
0.184,0.9957709841286342,0.756349225886721
0.185,0.9957249245223883,0.7590477190943856
0.186,0.9956786159849162,0.7617256565644381
0.187,0.9956320585277956,0.7643829803816504
0.188,0.9955852521626654,0.76701963317517
0.189,0.9955381969012274,0.7696355581196301
0.19,0.9954908927552453,0.7722306989363603
0.191,0.9954433397365452,0.7748049998944739
0.192,0.9953955378570153,0.7773584058120231
0.193,0.9953474871286062,0.7798908620570755
0.194,0.9952991875633305,0.7824023145488135
0.195,0.9952506391732631,0.7848927097586111
0.196,0.995201841970541,0.787361994711111
0.197,0.9951527959673636,0.7898101169852456
0.198,0.9951035011759926,0.7922370247153143
0.199,0.9950539576087513,0.7946426665919382
0.2,0.9950041652780257,0.7970269918631145
0.201,0.9949541241962642,0.7993899503352053
0.202,0.9949038343759766,0.8017314923738916
0.203,0.9948532958297358,0.8040515689051619
0.20400000000000001,0.994802508570176,0.8063501314162114
0.20500000000000002,0.9947514726099944,0.8086271319564187
0.20600000000000002,0.9947001879619498,0.8108825231382566
0.20700000000000002,0.9946486546388634,0.8131162581381912
0.20800000000000002,0.9945968726536185,0.8153282906975479
0.209,0.9945448420191606,0.8175185751234326
0.21,0.9944925627484974,0.8196870662895539
0.211,0.9944400348546988,0.8218337196370773
0.212,0.9943872583508965,0.8239584911754694
0.213,0.9943342332502848,0.826061337483297
0.214,0.9942809595661201,0.8281422157090268
0.215,0.9942274373117206,0.8302010835718576
0.216,0.9941736665004669,0.8322378993623758
0.217,0.9941196471458018,0.8342526219434543
0.218,0.9940653792612301,0.8362452107509188
0.219,0.9940108628603187,0.8382156257942919
0.22,0.9939560979566968,0.8401638276574808
0.221,0.9939010845640557,0.8420897774995328
0.222,0.9938458226961485,0.8439934370552571
0.223,0.9937903123667908,0.8458747686359569
0.224,0.9937345535898603,0.8477337351300074
0.225,0.9936785463792964,0.8495703000035437
0.226,0.9936222907491012,0.8513844273010829
0.227,0.9935657867133385,0.8531760816461231
0.228,0.9935090342861342,0.854945228241788
0.229,0.9934520334816767,0.8566918328713147
0.23,0.9933947843142159,0.8584158618986981
0.231,0.9933372867980641,0.8601172822691572
0.232,0.9932795409475959,0.8617960615098008
0.233,0.9932215467772475,0.86345216773005
0.234,0.9931633043015177,0.865085569622126
0.23500000000000001,0.9931048135349669,0.8666962364616504
0.23600000000000002,0.993046074492218,0.8682841381079998
0.23700000000000002,0.9929870871879556,0.8698492450048612
0.23800000000000002,0.9929278516369265,0.8713915281806317
0.23900000000000002,0.9928683678539398,0.8729109592488404
0.24,0.9928086358538663,0.8744075104086368
0.241,0.992748655651639,0.8758811544450795
0.242,0.9926884272622528,0.8773318647296247
0.243,0.992627950700765,0.8787596152204813
0.244,0.9925672259822949,0.8801643804629
0.245,0.9925062531220232,0.8815461355895948
0.246,0.9924450321351935,0.8829048563210318
0.247,0.9923835630371111,0.8842405189657621
0.248,0.9923218458431429,0.8855531004206885
0.249,0.9922598805687185,0.8868425781714206
0.25,0.992197667229329,0.8881089302924527
0.251,0.9921352058405281,0.8893521354474521
0.252,0.9920724964179307,0.8905721728895699
0.253,0.9920095389772144,0.8917690224615304
0.254,0.9919463335341185,0.8929426645959415
0.255,0.9918828801044445,0.8940930803154501
0.256,0.9918191787040556,0.8952202512329421
0.257,0.9917552293488772,0.896324159551698
0.258,0.9916910320548965,0.8974047880655256
0.259,0.9916265868381631,0.898462120158916
0.26,0.9915618937147881,0.8994961398071766
0.261,0.9914969527009447,0.9005068315764975
0.262,0.9914317638128685,0.9014941806240628
0.263,0.9913663270668565,0.9024581726981618
0.264,0.9913006424792677,0.9033987941381882
0.265,0.9912347100665236,0.9043160318747079
0.266,0.9911685298451072,0.90520987342948
0.267,0.9911021018315633,0.9060803069155465
0.268,0.9910354260424993,0.9069273210371209
0.269,0.9909685024945839,0.907750905089677
0.27,0.9909013312045479,0.9085510489598159
0.271,0.9908339121891845,0.9093277431253544
0.272,0.990766245465348,0.91008097865517
0.273,0.9906983310499554,0.910810747209112
0.274,0.9906301689599851,0.9115170410380236
0.275,0.9905617592124779,0.9121998529835418
0.276,0.990493101824536,0.9128591764780314
0.277,0.9904241968133237,0.9134950055444291
0.278,0.9903550441960673,0.9141073347960882
0.279,0.9902856439900553,0.9146961594366676
0.28,0.9902159962126371,0.9152614752599098
0.281,0.9901461008812252,0.915803278649463
0.28200000000000003,0.9900759580132933,0.9163215665787261
0.28300000000000003,0.9900055676263769,0.9168163366105153
0.28400000000000003,0.9899349297380738,0.917287586896931
0.28500000000000003,0.9898640443660435,0.9177353161790691
0.28600000000000003,0.9897929115280072,0.9181595237868212
0.28700000000000003,0.9897215312417482,0.9185602096384748
0.28800000000000003,0.9896499035251115,0.918937374240536
0.289,0.9895780283960042,0.9192910186873515
0.29,0.9895059058723947,0.9196211446608427
0.291,0.9894335359723141,0.9199277544301054
0.292,0.9893609187138547,0.920210850851122
0.293,0.9892880541151706,0.9204704373663608
0.294,0.9892149421944781,0.9207065180044216
0.295,0.9891415829700554,0.9209190973796133
0.296,0.989067976460242,0.9211081806915544
0.297,0.9889941226834397,0.9212737737247734
0.298,0.9889200216581118,0.9214158828482644
0.299,0.9888456734027836,0.9215345150149767
0.3,0.9887710779360424,0.9216296777614597
0.301,0.9886962352765366,0.9217013792072848
0.302,0.9886211454429773,0.9217496280546023
0.303,0.9885458084541368,0.9217744335876521
0.304,0.9884702243288492,0.9217758056721426
0.305,0.9883943930860107,0.921753754754806
0.306,0.9883183147445792,0.9217082918628661
0.307,0.9882419893235741,0.9216394286033491
