t,x,v,a,driving,energy
0.0,0.0,0.0,1.0,1.0,0.0
0.001,5e-07,0.0009998734375001057,0.999746875000211,0.9999988750002109,4.998739455091389e-07
0.002,1.9996219066408363e-06,0.00199924075192205,0.9992376905624281,0.999995500003375,1.998489789048461e-06
0.003,4.498356599132781e-06,0.0029980959496141656,0.9987225142444435,0.9999898750170859,4.494330131970619e-06
0.004,7.995688965554887e-06,0.00399643304197957,0.9982013511149267,0.999982000054,7.985866391597107e-06
0.005,1.249109790792303e-05,0.004994246045502654,0.9976742062690199,0.9999718751318357,1.2471558836563338e-05
0.006,1.7984056347284412e-05,0.005991528981775532,0.9971410848283043,0.9999595002733742,1.7949856622293475e-05
0.007,2.4474031228838495e-05,0.006988275877524464,0.9966019919407666,0.999944875506459,2.441919782660434e-05
0.008,3.196048352708435e-05,0.007984480764636237,0.9960569327807646,0.9999280008639958,3.18780094854376e-05
0.009000000000000001,4.044286825099437e-05,0.008980137680184519,0.9955059125489936,0.9999088763839525,4.0324707628719634e-05
0.01,4.992063444921432e-05,0.009975240666456175,0.9949489364724523,0.9998875021093592,4.975769731634814e-05
0.011,6.039322521528966e-05,0.010969783770977548,0.994386009804409,0.9998638780883079,6.0175372674305e-05
0.012,7.186007769291819e-05,0.01196376104654071,0.9938171378243669,0.9998380043739528,7.15761169308945e-05
0.013000000000000001,8.432062308122886e-05,0.01295716655122968,0.9932423258380294,0.9998098810245096,8.395830245310623e-05
0.014,9.777428664008682e-05,0.0139499943484466,0.9926615791772665,0.9997795081032559,9.7320290783102e-05
0.015,0.00011222048769542466,0.014942238506937875,0.9920749032000801,0.9997468856785308,0.00011166043267482571
0.016,0.0001276586396445997,0.0159338931008203,0.9914823032905686,0.9997120138237345,0.0001269770681307362
0.017,0.00014408814996177735,0.01692495220960712,0.9908837848588932,0.9996748926173291,0.0001432685264386613
0.018000000000000002,0.0001615084202033408,0.01791540991823408,0.9902793533412417,0.9996355221428369,0.00016053312620877317
0.019,0.00017991884601332634,0.018905260317085427,0.9896690141997956,0.9995939024888416,0.00017876917541068403
0.02,0.00019931881712888488,0.0198944975020199,0.9890527729226927,0.9995500337489875,0.00019797497141066131
0.021,0.0002197077173857695,0.020883115574396628,0.9884306350239936,0.9995039160219791,0.00021814880100896124
0.022,0.00024108492472384873,0.021871108641101072,0.9878026060436462,0.9994555494115813,0.0002392889404772812
0.023,0.0002634498111926459,0.022858470814570864,0.9871686915474499,0.999404934026619,0.00026139365559632886
0.024,0.00028680174295690405,0.023845196212821655,0.9865288971270202,0.9993520699809768,0.00028446120169350837
0.025,0.0003111400803021771,0.0248312789594729,0.9858832283997535,0.9992969573935987,0.0003084898236807216
0.026000000000000002,0.0003364641776404463,0.025816713183773623,0.9852316910087917,0.999239596388488,0.00033347775609228594
0.027,0.000362773383515763,0.026801493020628137,0.9845742906229856,0.999179987094707,0.0003594232231229643
