Zeit;Kanal A;Kanal B;(A-B)/1000
(s);(V);(V);(mA)

0,13600109;5,81908200;0,62010950;5,19897200
0,13666776;5,81908200;0,62010950;5,19897200
0,13733444;5,81908200;0,60962100;5,20946100
0,13800111;5,71327500;0,62010950;5,09316500
0,13866778;5,81908200;0,62010950;5,19897200
0,13933445;5,81908200;0,60962100;5,20946100
0,14000112;5,71327500;0,62010950;5,09316500
0,14066780;5,71327500;0,62010950;5,09316500
0,14133447;5,71327500;0,60962100;5,10365400
0,14200114;5,71327500;0,60962100;5,10365400
0,14266781;5,71327500;0,60962100;5,10365400
0,14333448;5,71327500;0,60962100;5,10365400
0,14400116;5,71327500;0,60962100;5,10365400
0,14466783;5,71327500;0,62010950;5,09316500
0,14533450;5,81908200;0,62010950;5,19897200
0,14600117;5,71327500;0,62010950;5,09316500
0,14666784;5,71327500;0,62010950;5,09316500
0,14733452;5,81908200;0,60962100;5,20946100
0,14800119;5,81908200;0,60962100;5,20946100
0,14866786;5,81908200;0,60962100;5,20946100
0,14933453;5,81908200;0,62010950;5,19897200
0,15000120;5,81908200;0,60962100;5,20946100
0,15066788;5,81908200;0,60962100;5,20946100
0,15133455;5,81908200;0,62010950;5,19897200
0,15200122;5,81908200;0,62010950;5,19897200
0,15266789;5,81908200;0,60962100;5,20946100
0,15333456;5,81908200;0,62010950;5,19897200
0,15400124;5,71327500;0,62010950;5,09316500
0,15466791;5,81908200;0,62010950;5,19897200
0,15533458;5,81908200;0,62010950;5,19897200
0,15600125;5,81908200;0,62010950;5,19897200
0,15666792;5,81908200;0,62010950;5,19897200
0,15733460;5,71327500;0,62010950;5,09316500
0,15800127;5,81908200;0,62010950;5,19897200
0,15866794;5,81908200;0,60962100;5,20946100
0,15933461;5,81908200;0,62010950;5,19897200
0,16000128;5,81908200;0,62010950;5,19897200
0,16066796;5,71327500;0,62010950;5,09316500
0,16133463;5,81908200;0,62010950;5,19897200
0,16200130;5,71327500;0,60962100;5,10365400
0,16266797;5,71327500;0,62010950;5,09316500
0,16333464;5,71327500;0,62010950;5,09316500
0,16400132;5,71327500;0,60962100;5,10365400
0,16466799;5,71327500;0,60962100;5,10365400
0,16533466;5,81908200;0,62010950;5,19897200
0,16600133;5,81908200;0,60962100;5,20946100
0,16666800;5,81908200;0,62010950;5,19897200
0,16733468;5,81908200;0,62010950;5,19897200
0,16800135;5,81908200;0,62010950;5,19897200
0,16866802;5,71327500;0,62010950;5,09316500
0,16933469;5,81908200;0,62010950;5,19897200
0,17000136;5,81908200;0,62010950;5,19897200
0,17066804;5,81908200;0,62010950;5,19897200
0,17133471;5,81908200;0,62010950;5,19897200
0,17200138;5,71327500;0,62010950;5,09316500
0,17266805;5,71327500;0,60962100;5,10365400
0,17333472;5,81908200;0,62010950;5,19897200
0,17400140;5,81908200;0,60962100;5,20946100
0,17466807;5,71327500;0,60962100;5,10365400
0,17533474;5,81908200;0,62010950;5,19897200
0,17600141;5,81908200;0,62010950;5,19897200
0,17666808;5,71327500;0,62010950;5,09316500
0,17733476;5,81908200;0,62010950;5,19897200
0,17800143;5,71327500;0,62010950;5,09316500
0,17866810;5,81908200;0,62010950;5,19897200
0,17933477;5,81908200;0,62010950;5,19897200
0,18000144;5,81908200;0,62010950;5,19897200
0,18066812;5,81908200;0,62010950;5,19897200
0,18133479;5,71327500;0,62010950;5,09316500
0,18200146;5,81908200;0,62010950;5,19897200
0,18266813;5,71327500;0,62010950;5,09316500
0,18333480;5,81908200;0,62010950;5,19897200
0,18400148;5,81908200;0,62010950;5,19897200
0,18466815;5,71327500;0,62010950;5,09316500
0,18533482;5,81908200;0,62010950;5,19897200
0,18600149;5,71327500;0,60962100;5,10365400
0,18666816;5,81908200;0,62010950;5,19897200
0,18733484;5,81908200;0,62010950;5,19897200
0,18800151;5,81908200;0,62010950;5,19897200
0,18866818;5,71327500;0,59910180;5,11417300
0,18933485;5,71327500;0,60962100;5,10365400
0,19000152;5,81908200;0,62010950;5,19897200
0,19066820;5,71327500;0,62010950;5,09316500
0,19133487;5,81908200;0,62010950;5,19897200
0,19200154;5,81908200;0,62010950;5,19897200
0,19266821;5,71327500;0,62010950;5,09316500
0,19333488;5,81908200;0,62010950;5,19897200
0,19400156;5,81908200;0,62010950;5,19897200
0,19466823;5,71327500;0,62010950;5,09316500
0,19533490;5,71327500;0,62010950;5,09316500
0,19600157;5,71327500;0,60962100;5,10365400
0,19666824;5,81908200;0,62010950;5,19897200
0,19733492;5,71327500;0,62010950;5,09316500
0,19800159;5,81908200;0,62010950;5,19897200
0,19866826;5,71327500;0,60962100;5,10365400
0,19933493;5,71327500;0,62010950;5,09316500
0,20000160;5,71327500;0,62010950;5,09316500
0,20066828;5,81908200;0,60962100;5,20946100
0,20133495;5,71327500;0,62010950;5,09316500
0,20200162;5,81908200;0,59910180;5,21998000
0,20266829;5,71327500;0,62010950;5,09316500
0,20333496;5,81908200;0,62010950;5,19897200
0,20400164;5,71327500;0,62010950;5,09316500
0,20466831;5,71327500;0,62010950;5,09316500
0,20533498;5,81908200;0,62010950;5,19897200
0,20600165;5,81908200;0,62010950;5,19897200
0,20666832;5,81908200;0,62010950;5,19897200
0,20733500;5,81908200;0,62010950;5,19897200
0,20800167;5,81908200;0,62010950;5,19897200
0,20866834;5,81908200;0,62010950;5,19897200
0,20933501;5,71327500;0,60962100;5,10365400
0,21000168;5,71327500;0,62010950;5,09316500
0,21066836;5,71327500;0,62010950;5,09316500
0,21133503;5,81908200;0,60962100;5,20946100
0,21200170;5,81908200;0,62010950;5,19897200
