# Time,Message Signal,Carrier Signal,AM Signal,Tuned Signal,Rectified,Envelope
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.329,1.703453048152445,0.9685831611286312,1.6499359382136976,-0.09878620244032689,0.0,0.07599440698914303
0.3295,1.7022526615688975,0.9602936856769427,1.634662482331382,-0.10951147819221897,0.0,0.07580442097167017
0.33,1.7010453440350908,0.9510565162951539,1.617790258958105,-0.12009270043213711,0.0,0.075614909919241
0.3305,1.6998311074667622,0.9408807689542252,1.5993383994856396,-0.13051807996168036,0.0,0.07542587264444289
0.331,1.698609963847936,0.9297764858882518,1.5793276030813044,-0.1407760322748016,0.0,0.07523730796283179
0.3315,1.697381925230807,0.9177546256839809,1.5577801134329543,-0.15085519072478584,0.0,0.0750492146929247
0.332,1.6961470037356206,0.9048270524660187,1.5347196939391707,-0.16074441940354797,0.0,0.0748615916561924
0.3325,1.694905211550553,0.8910065241883678,1.5101716013724085,-0.17043282571836624,0.0,0.07467443767705191
0.333,1.6936565609315921,0.8763066800438628,1.4841625580444697,-0.17990977265157065,0.0,0.07448775158285928
0.3335,1.6924010642024152,0.8607420270039438,1.4567207225052183,-0.18916489068912506,0.0,0.07430153220390213
0.334,1.6911387337542685,0.8443279255020144,1.427875658806845,-0.19818808940447738,0.0,0.07411577837339238
0.3345,1.6898695820458431,0.8270805742745622,1.3976583043675903,-0.20696956868450453,0.0,0.0739304889274589
0.335,1.688593621603155,0.8090169943749469,1.366100936470091,-0.2154998295848463,0.0,0.07374566270514026
0.3355,1.687310865019418,0.790155012375691,1.333237137431056,-0.22376968480240284,0.0,0.07356129854837741
0.336,1.6860213249549219,0.7705132427757888,1.2991017584801487,-0.23177026875326687,0.0,0.07337739530200647
0.3365,1.6847250141369066,0.750111069630458,1.2637308823874236,-0.2394930472448704,0.0,0.07319395181375146
0.337,1.6834219453594361,0.7289686274214113,1.2271617848797503,-0.2469298267316473,0.0,0.07301096693421709
0.3375,1.6821121314832739,0.7071067811865462,1.1894328948879782,-0.25407276314404614,0.0,0.07282843951688155
0.338,1.6807955854357535,0.6845471059286887,1.1505837536677612,-0.2609143702812729,0.0,0.07264636841808934
0.3385,1.6794723202106532,0.6613118653236507,1.1106549728379467,-0.26744752775869807,0.0,0.07246475249704412
0.339,1.6781423488680667,0.6374239897486901,1.0696881913817213,-0.27366548850142824,0.0,0.07228359061580152
0.3395,1.6768056845342738,0.6129070536529756,1.0277260316564627,-0.2795618857761151,0.0,0.07210288163926201
0.34,1.675462340401612,0.5877852522924738,0.9848120544595002,-0.2851307397536589,0.0,0.07192262443516385
0.3405,1.6741123297283458,0.5620833778521299,0.9409907131976073,-0.2903664635960531,0.0,0.07174281787407595
0.341,1.6727556658385354,0.5358267949789947,0.8963073072092166,-0.29526386906121266,0.0,0.07156346082939076
0.3415,1.6713923621219053,0.509041415750371,0.8508079342888915,-0.29981817162023333,0.0,0.07138455217731729
0.342,1.6700224320337136,0.4817536741017135,0.8045394424645206,-0.3040249950821363,0.0,0.071206090796874
0.3425,1.6686458890946163,0.45399049973954675,0.7575493810784052,-0.30788037572176646,0.0,0.07102807556988182
0.343,1.667262746890537,0.42577929156507116,0.7098859512238874,-0.31138076590712804,0.0,0.07085050538095711
0.3435,1.6658730190725306,0.3971478906347809,0.6615979555900496,-0.3145230372230629,0.0,0.07067337911750471
0.34400000000000003,1.6644767193566503,0.36812455268467675,0.6127347477672251,-0.3173044830887963,0.0,0.07049669566971095
0.34450000000000003,1.6630738615238094,0.33873792024529203,0.5633461810668821,-0.319722820867501,0.0,0.07032045393053668
0.34500000000000003,1.6616644594196495,0.30901699437494656,0.5134825569095305,-0.3217761934666518,0.0,0.07014465279571033
0.34550000000000003,1.6602485269543998,0.27899110603922683,0.4631945728350051,-0.3234631704285691,0.0,0.06996929116372105
0.34600000000000003,1.658826078102742,0.24868988716485424,0.4125332701894886,-0.32478274851117056,0.0,0.06979436793581176
0.34650000000000003,1.6573971269036722,0.21814324139654043,0.3615499815440803,-0.32573435175957355,0.0,0.06961988201597223
0.34700000000000003,1.6559616874603618,0.1873813145857244,0.3102962778999171,-0.326317831069808,0.0,0.0694458323109323
0.34750000000000003,1.6545197739400188,0.15643446504022906,0.2588239157347876,-0.32653346324651633,0.0,0.06927221773015498
0.34800000000000003,1.6530714005737472,0.1253332335643044,0.20718478394658127,-0.32638194955712707,0.0,0.06909903718582959
0.34850000000000003,1.6516165816564077,0.09410831331851287,0.1554308507485724,-0.3258644137855985,0.0,0.06892628959286502
0.34900000000000003,1.650155331546475,0.06279051952931387,0.10361411057187035,-0.324982399789426,0.0,0.06875397386888286
0.34950000000000003,1.6486876646658988,0.031410759078127196,0.051786531029900704,-0.3237378685642071,0.0,0.06858208893421065
0.35000000000000003,1.647213595499958,-2.6954609193973537e-15,-4.439999872570138e-15,-0.32213319482064107,0.0,0.06841063371187513
0.35050000000000003,1.6457331385971203,-0.031410759078129034,-0.051693727123367283,-0.3201711630794252,0.0,0.06823960712759544
0.35100000000000003,1.6442463085688976,-0.0627905195293157,-0.10324307994920062,-0.31785496329007973,0.0,0.06806900810977645
0.35150000000000003,1.642753120089702,-0.0941083133185147,-0.15459672533036928,-0.31518818598029663,0.0,0.06789883558950201
0.352,1.6412535878967014,-0.12533323356430268,-0.20570361927010705,-0.3121748169429627,0.0,0.06772908850052825
0.3525,1.6397477267896725,-0.15643446504022737,-0.2565130584412713,-0.3088192314685486,0.0,0.06755976577927693
0.353,1.6382355516308569,-0.18738131458572274,-0.3069747312656566,-0.30512618813108905,0.0,0.06739086636482873
0.3535,1.6367170773448128,-0.21814324139654223,-0.3570387685010726,-0.3011008221364989,0.0,0.06722238919891665
0.354,1.6351923189182684,-0.24868988716485257,-0.4066557932846178,-0.29674863824247893,0.0,0.06705433322591936
0.3545,1.6336612913999737,-0.2789911060392286,-0.45577697058115324,-0.29207550325976017,0.0,0.06688669739285456
0.355,1.6321240099005525,-0.3090169943749449,-0.5043540559866515,-0.2870876381449167,0.0,0.06671948064937243
0.3555,1.6305804895923521,-0.33873792024529037,-0.5523394438370607,-0.2817916096954463,0.0,0.06655268194774899
0.356,1.6290307457092954,-0.36812455268467514,-0.5996862145738171,-0.27619432185827003,0.0,0.06638630024287961
0.3565,1.6274747935467282,-0.39714789063477934,-0.6463481813183561,-0.2703030066632415,0.0,0.06622033449227241
0.357,1.6259126484612705,-0.4257792915650696,-0.6922799356085259,-0.2641252147936781,0.0,0.06605478365604173
0.3575,1.624344325870664,-0.4539904997395452,-0.7374368922511174,-0.2576688058063338,0.0,0.06588964669690162
0.358,1.6227698412536187,-0.4817536741017151,-0.7817753332453877,-0.25094193801362236,0.0,0.06572492258015936
0.3585,1.6211892101496632,-0.5090414157503694,-0.8252524507338077,-0.2439530580412744,0.0,0.06556061027370896
0.359,1.6196024481589872,-0.5358267949789962,-0.867826388937166,-0.236710890074966,0.0,0.0653967087480247
0.3595,1.6180095709422917,-0.5620833778521286,-0.9094562850323166,-0.22922442480979474,0.0,0.06523321697615464
0.36,1.6164105942206315,-0.5877852522924725,-0.9501023089321993,-0.22150290811680004,0.0,0.06507013393371425
0.3605,1.6148055337752614,-0.6129070536529743,-0.9897257019287139,-0.2135558294410249,0.0,0.06490745859887996
0.361,1.61319440544748,-0.6374239897486887,-1.0282888141605966,-0.20539290994589865,0.0,0.06474518995238276
0.3615,1.6115772251384732,-0.6613118653236495,-1.0657551408694348,-0.19702409041898486,0.0,0.06458332697750181
0.362,1.6099540088091584,-0.6845471059286875,-1.1020893574085981,-0.18845951895438162,0.0,0.06442186866005806
0.3625,1.608324772480025,-0.7071067811865476,-1.1372573529709369,-0.17970953842728637,0.0,0.06426081398840791
0.363,1.6066895322309778,-0.7289686274214102,-1.1712262630027634,-0.1707846737764421,0.0,0.06410016195343689
0.3635,1.6050483042011776,-0.7501110696304593,-1.2039645002729,-0.1616956191103665,0.0,0.0639399115485533
0.364,1.6034011045888832,-0.7705132427757877,-1.2354417845670602,-0.15245322465343,0.0,0.06378006176968191
0.3645,1.6017479496512892,-0.79015501237569,-1.2656291709794505,-0.14306848354799256,0.0,0.06362061161525771
0.365,1.6000888557043678,-0.8090169943749459,-1.2944990767747941,-0.13355251852893357,0.0,0.06346156008621957
0.3655,1.598423839122706,-0.8270805742745613,-1.3220253067957566,-0.12391656848701134,0.0,0.06330290618600402
0.366,1.5967529163393457,-0.8443279255020134,-1.3481830773920898,-0.11417197493757233,0.0,0.06314464892053902
0.3665,1.5950761038456203,-0.8607420270039429,-1.3729490388496308,-0.10433016841119129,0.0,0.06298678729823767
0.367,1.5933934181909915,-0.8763066800438637,-1.3963012962986914,-0.09440265478286533,0.0,0.06282932032999208
0.3675,1.591704875982888,-0.891006524188367,-1.4182194290831889,-0.08440100155640579,0.0,0.0626722470291671
0.368,1.5900104938865391,-0.9048270524660195,-1.438684508573397,-0.07433682412067107,0.0,0.06251556641159418
0.3685,1.5883102886248128,-0.9177546256839803,-1.4576791144068797,-0.06422177199426422,0.0,0.0623592774955652
0.369,1.586604276978048,-0.9297764858882512,-1.4751873491439191,-0.054067515075277364,0.0,0.06220337930182628
0.3695,1.5848924757838914,-0.9408807689542247,-1.4911948513253126,-0.043885729912604365,0.0,0.06204787085357172
0.37,1.583174901937129,-0.9510565162951533,-1.505688806922247,-0.03368808601526171,0.0,0.06189275117643779
0.3705,1.5814515723895224,-0.9602936856769423,-1.5186579591695302,-0.02348623221605608,0.0,0.0617380192984967
0.371,1.5797225041496374,-0.9685831611286309,-1.5300926167752924,-0.013291783105816322,0.0,0.06158367425025046
0.3715,1.57798771428268,-0.9759167619387474,-1.5399846605018783,-0.003116305554266411,0.0,0.06142971506462483
0.372,1.5762472199103257,-0.9822872507286884,-1.548327548114452,0.007028694666543786,0.0,0.061276140776963264
0.3725,1.574501038210551,-0.9876883405951378,-1.5551163176955007,0.017131786140512386,0.0,0.061122950425020854
0.373,1.572749186417465,-0.9921147013144775,-1.5603475893251508,0.027181624931924407,0.007181624931924407,0.060988097111288116
0.3735,1.5709916818211371,-0.99556196460308,-1.5640195651289481,0.037166967560732504,0.017166967560732504,0.060878544287411726
0.374,1.5692285417674285,-0.9980267284282714,-1.566132027696414,0.04707668381359088,0.027076683813590883,0.060794039636227176
0.3745,1.567459783657819,-0.9995065603657315,-1.5666863368754402,0.05689976937580623,0.03689976937580623,0.06073430396057612
0.375,1.5656854249492382,-1.0,-1.5656854249492382,0.06662535826963907,0.04662535826963907,0.060699031596348776
0.3755,1.5639054831538894,-0.9995065603657316,-1.5631337902042517,0.07624273508467608,0.056242735084676074,0.06068789085506959
0.376,1.5621199758390794,-0.9980267284282716,-1.559037488899127,0.085741346986297,0.065741346986297,0.06070052449539766
0.3765,1.5603289206270454,-0.9955619646030801,-1.5534041256464648,0.09511081548857976,0.07511081548857976,0.06073655022288062
0.377,1.5585323351947782,-0.9921147013144778,-1.5462428422207228,0.10434094797832218,0.08434094797832217,0.06079556121726922
0.3775,1.5567302372738516,-0.987688340595138,-1.537564304807286,0.11342174897721011,0.0934217489772101,0.06087712668666907
0.378,1.554922644650244,-0.9822872507286887,-1.5273806897092699,0.12234343112952589,0.10234343112952589,0.06098079244777622
0.3785,1.5531095751641653,-0.9759167619387479,-1.5157056675302765,0.13109642590317194,0.11109642590317194,0.06110608153141471
0.379,1.5512910467098786,-0.9685831611286313,-1.5025543858527974,0.13967139399217646,0.11967139399217645,0.061252494812566616
0.3795,1.5494670772355268,-0.9602936856769427,-1.487943450433584,0.14805923540925553,0.12805923540925554,0.06141951166405834
0.38,1.5476376847429512,-0.9510565162951539,-1.4718909049387288,0.15625109925742411,0.13625109925742412,0.061606590633041754
0.3805,1.5458028872875174,-0.9408807689542252,-1.4544162092427408,0.1642383931700808,0.1442383931700808,0.06181317013938435
0.381,1.5439627029779355,-0.9297764858882519,-1.4355402163173516,0.17201279240943226,0.15201279240943227,0.06203866919505947
0.3815,1.542117149976082,-0.917754625683981,-1.4152851477371466,0.17956624861357848,0.1595662486135785,0.06228248814360577
0.382,1.5402662464968198,-0.9048270524660202,-1.393674567830618,0.18689099818304217,0.16689099818304218,0.06254400941870436
0.3825,1.5384100108078187,-0.8910065241883679,-1.370733356506464,0.19397957029800048,0.17397957029800049,0.0628225983209026
0.383,1.5365484612293763,-0.8763066800438646,-1.3464876807864234,0.20082479455795857,0.18082479455795858,0.06311760381149524
0.3835,1.5346816161342343,-0.8607420270039439,-1.3209649650770692,0.20741980823609635,0.18741980823609636,0.06342835932255675
0.384,1.5328094939474015,-0.8443279255020144,-1.294193860214402,0.21375806314101764,0.19375806314101765,0.0637541835821029
0.3845,1.530932113145967,-0.8270805742745623,-1.2662042113161356,0.21983333207913733,0.19983333207913734,0.06409438145334549
0.385,1.5290494922589215,-0.8090169943749469,-1.2370270244778514,0.22563971491145404,0.20563971491145405,0.06444824478699077
0.3855,1.5271616498669736,-0.7901550123756911,-1.2066944323503193,0.2311716441989736,0.2111716441989736,0.06481505328552073
0.386,1.5252686046023651,-0.7705132427757889,-1.175239658636271,0.23642389043157244,0.21642389043157245,0.06519407537838585
0.3865,1.523370375148689,-0.7501110696304605,-1.142696981546139,0.24139156683561674,0.22139156683561675,0.06558456910702894
0.387,1.521466980240703,-0.7289686274214114,-1.109101696253065,0.24607013375618497,0.22607013375618498,0.06598578301865182
0.3875,1.5195584386641472,-0.7071067811865488,-1.074490076388663,0.250455402610276,0.230455402610276,0.06639695706763088
0.388,1.5176447692555555,-0.6845471059286888,-1.0388993346217033,0.25454353940792135,0.23454353940792136,0.0668173235234816
0.3885,1.515725990902073,-0.6613118653236508,-1.002367582362989,0.2583310678386592,0.23833106783865923,0.06724610788426955
0.389,1.5138021225412677,-0.6374239897486902,-0.9649337886402904,0.26181487192136693,0.24181487192136694,0.06768252979436229
0.3895,1.5118731831609429,-0.6129070536529757,-0.9266377381881192,0.2649921982159895,0.24499219821598953,0.06812580396541636
0.39,1.509939191798952,-0.5877852522924739,-0.8875199887978411,0.2678606575962401,0.24786065759624012,0.06857514109949342
0.3905,1.5080001675430084,-0.56208337785213,-0.8476218279741522,0.27041822658288933,0.2504182265828893,0.06902974881320191
0.391,1.5060561295304997,-0.5358267949789978,-0.806985228944802,0.27266324823779403,0.252663248237794,0.06948883256176339
0.3915,1.5041070969482953,-0.5090414157503711,-0.7656528060707409,0.274594432619355,0.254594432619355,0.06995159656190736
0.392,1.5021530890325605,-0.4817536741017167,-0.7236677697046792,0.27621085680062146,0.25621085680062144,0.07041724471250414
0.3925,1.500194125068564,-0.45399049973954686,-0.6810738805462097,0.2775119644517902,0.2575119644517902,0.07088498151185235
0.393,1.4982302243904901,-0.42577929156507127,-0.6379154035423606,0.27849756498937117,0.25849756498937115,0.07135401297054615
0.3935,1.4962614063812447,-0.397147890634781,-0.5942370613825422,0.27916783229480924,0.2591678322948092,0.0718235475188568
0.394,1.4942876904722675,-0.36812455268467686,-0.5500839876373224,0.27952330300586714,0.2595233030058671,0.07229279690757433
0.3945,1.4923090961433374,-0.33873792024529215,-0.5055016795907258,0.2795648743845802,0.2595648743845802,0.07276097710126685
0.395,1.490325642922381,-0.3090169943749467,-0.4605359508157842,0.27929380176609536,0.25929380176609534,0.07322730916292892
0.3955,1.4883373503852821,-0.27899110603923033,-0.41523288354348736,0.2787116955931998,0.2587116955931998,0.07369102012900461
0.396,1.4863442381556842,-0.24868988716485435,-0.3696387808750685,0.2778205180418296,0.2578205180418296,0.07415134387378668
0.3965,1.484346325904801,-0.218143241396544,-0.3238001188879242,0.2766225792433267,0.2566225792433267,0.07460752196221053
0.397,1.4823436333512197,-0.18738131458572455,-0.27776349868513084,0.2751205331096784,0.25512053310967836,0.07505880449007919
