frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
6.999987954754841724e+01,1.555561959945104102e-03,1.052635188719996181e-05,-6.721723862986569986e-03,1.555142082215165145e+00,1.561863806078151562e+00,8.948820426251734261e+01
7.499987094380186647e+01,1.556683375811240963e-03,1.128709250554473210e-05,-7.212777671936908101e-03,1.554342992076025221e+00,1.561555769747962064e+00,8.947055508086077680e+01
7.999986234005532992e+01,1.557883723072500887e-03,1.204968071842633005e-05,-7.706115844997637326e-03,1.553521582736265616e+00,1.561227698581262757e+00,8.945175798762898012e+01
8.499985373630879337e+01,1.559163323336099560e-03,1.281424424351429018e-05,-8.201898341572274806e-03,1.552681206983627327e+00,1.560883105325199471e+00,8.943201424840788150e+01
8.999984513256224261e+01,1.560522519969084016e-03,1.358091171298785132e-05,-8.700286626951391628e-03,1.551824434106398476e+00,1.560524720733350357e+00,8.941148032385240185e+01
9.499983652881570606e+01,1.561961678286339370e-03,1.434981273161280625e-05,-9.201443780313988893e-03,1.550953255574899270e+00,1.560154699355212671e+00,8.939027966055550678e+01
9.999982792506915530e+01,1.563481185777987640e-03,1.512107793668685177e-05,-9.705534586965469321e-03,1.550069228996112658e+00,1.559774763583078094e+00,8.936851094432614673e+01
1.049998193213226187e+02,1.565081452312421743e-03,1.589483905897413942e-05,-1.021272565139728049e-02,1.549173580898238312e+00,1.559386306549635615e+00,8.934625399578771976e+01
1.099998107175760822e+02,1.566762910368038088e-03,1.667122898500016448e-05,-1.072318550549219811e-02,1.548267281452089694e+00,1.558990466957581589e+00,8.932357405779885084e+01
1.149998021138295314e+02,1.568526015274915872e-03,1.745038182056671115e-05,-1.123708470660706067e-02,1.547351099684642906e+00,1.558588184391250353e+00,8.930052496457636835e+01
1.199997935100829949e+02,1.570371245487890309e-03,1.823243295550166154e-05,-1.175459595708733089e-02,1.546425644842168268e+00,1.558180240799255323e+00,8.927715151847564812e+01
1.249997849063364583e+02,1.572299102852544282e-03,1.901751912949572250e-05,-1.227589420623470887e-02,1.545491397816334045e+00,1.557767292022568917e+00,8.925349129641642776e+01
1.299997763025899076e+02,1.574310112866047009e-03,1.980577849881764757e-05,-1.280115677425868598e-02,1.544548735270266926e+00,1.557349892044525674e+00,8.922957603930569803e+01
1.349997676988433568e+02,1.576404825012075583e-03,2.059735070498426864e-05,-1.333056345633871868e-02,1.543597948399751729e+00,1.556928511856090491e+00,8.920543273293793618e+01
1.399997590950968345e+02,1.578583813050783106e-03,2.139237694398996918e-05,-1.386429664458689592e-02,1.542639257628843907e+00,1.556503554273430234e+00,8.918108445697941988e+01
1.449997504913502837e+02,1.580847675351115767e-03,2.219100003722153283e-05,-1.440254145411466215e-02,1.541672824239529671e+00,1.556075365693644352e+00,8.915655105852198403e+01
1.499997418876037329e+02,1.583197035232850004e-03,2.299336450361626013e-05,-1.494548583706069474e-02,1.540698759661470296e+00,1.555644245498530420e+00,8.913184969087910758e+01
1.549997332838572106e+02,1.585632541325552106e-03,2.379961663330107155e-05,-1.549332070524762905e-02,1.539717132931827104e+00,1.555210453637074552e+00,8.910699524803055738e+01
1.599997246801106598e+02,1.588154867941133936e-03,2.460990456274386929e-05,-1.604624006126431635e-02,1.538727976725962288e+00,1.554774216787227381e+00,8.908200071766623296e+01
1.649997160763641091e+02,1.590764715448949587e-03,2.542437835113883630e-05,-1.660444113155787327e-02,1.537731292265153815e+00,1.554335733396711383e+00,8.905687747000308718e+01
1.699997074726175867e+02,1.593462810688725051e-03,2.624319005882495660e-05,-1.716812449025763992e-02,1.536727053345775529e+00,1.553895177836033259e+00,8.903163549573520186e+01
1.749996988688710360e+02,1.596249907389655706e-03,2.706649382714458653e-05,-1.773749419785234857e-02,1.535715209637801504e+00,1.553452703835653592e+00,8.900628360296917663e+01
1.799996902651244852e+02,1.599126786604465784e-03,2.789444596013531010e-05,-1.831275794271739962e-02,1.534695689412699515e+00,1.553008447355416211e+00,8.898082958163024614e+01
1.849996816613779629e+02,1.602094257155173979e-03,2.872720500778787707e-05,-1.889412717648145806e-02,1.533668401807691151e+00,1.552562528984172907e+00,8.895528034095065095e+01
1.899996730576314121e+02,1.605153156100115261e-03,2.956493185138444376e-05,-1.948181725934231001e-02,1.532633238703772216e+00,1.552115055963114498e+00,8.892964202539803864e+01
1.949996644538848614e+02,1.608304349232509301e-03,3.040778979095772668e-05,-2.007604760386871162e-02,1.531590076292662861e+00,1.551666123896532135e+00,8.890392011269477734e+01
1.999996558501383106e+02,1.611548731563183486e-03,3.125594463423940619e-05,-2.067704183989086536e-02,1.530538776366938691e+00,1.551215818206829855e+00,8.887811949718411597e+01
2.049996472463917883e+02,1.614887227856693329e-03,3.210956478829753787e-05,-2.128502795298914743e-02,1.529479187422600805e+00,1.550764215375589616e+00,8.885224456093789058e+01
2.099996386426452375e+02,1.618320793165522542e-03,3.296882135302942003e-05,-2.190023844584490162e-02,1.528411145562793116e+00,1.550311384008638216e+00,8.882629923478043565e+01
2.149996300388986867e+02,1.621850413383836911e-03,3.383388821691437227e-05,-2.252291050544108497e-02,1.527334475244914058e+00,1.549857385750355032e+00,8.880028705067451256e+01
2.199996214351521644e+02,1.625477105833009412e-03,3.470494215539701206e-05,-2.315328616424430427e-02,1.526248989912185605e+00,1.549402276076429441e+00,8.877421118714300974e+01
2.249996128314056136e+02,1.629201919838893465e-03,3.558216293107652764e-05,-2.379161246951215503e-02,1.525154492506967996e+00,1.548946104976479887e+00,8.874807450838005707e+01
2.299996042276590629e+02,1.633025937369310182e-03,3.646573339732582438e-05,-2.443814165469756355e-02,1.524050775897962673e+00,1.548488917552660604e+00,8.872187959854875317e+01
2.349995956239125405e+02,1.636950273657742597e-03,3.735583960379702036e-05,-2.509313132464957574e-02,1.522937623212467173e+00,1.548030754537116804e+00,8.869562879142910106e+01
2.399995870201659898e+02,1.640976077857953094e-03,3.825267090483774017e-05,-2.575684462974132949e-02,1.521814808118571394e+00,1.547571652748312321e+00,8.866932419656370712e+01
2.449995784164194390e+02,1.645104533724151561e-03,3.915642007079629249e-05,-2.642955045768310973e-02,1.520682095031532510e+00,1.547111645489215315e+00,8.864296772207205777e+01
2.499995698126729167e+02,1.649336860325971215e-03,4.006728340256974379e-05,-2.711152361944049738e-02,1.519539239279146914e+00,1.546650762898587494e+00,8.861656109477803511e+01
2.549995612089263659e+02,1.653674312735378552e-03,4.098546084801444136e-05,-2.780304504294654061e-02,1.518385987216511079e+00,1.546189032259457585e+00,8.859010587788401381e+01
2.599995526051798151e+02,1.658118182793372111e-03,4.191115612274283199e-05,-2.850440198956247229e-02,1.517222076285466237e+00,1.545726478275028182e+00,8.856360348677924321e+01
2.649995440014332644e+02,1.662669799875659713e-03,4.284457683360405378e-05,-2.921588823951983341e-02,1.516047235070399735e+00,1.545263123309920106e+00,8.853705520286212050e+01
2.699995353976867136e+02,1.667330531677465580e-03,4.378593460542604528e-05,-2.993780431561261085e-02,1.514861183290831415e+00,1.544798987606443852e+00,8.851046218593160120e+01
2.749995267939402197e+02,1.672101785028032002e-03,4.473544521126767776e-05,-3.067045769315876469e-02,1.513663631782857566e+00,1.544334089476016247e+00,8.848382548515456847e+01
2.799995181901936689e+02,1.676985006720492196e-03,4.569332870602166183e-05,-3.141416302343832956e-02,1.512454282448278065e+00,1.543868445471716200e+00,8.845714604895260891e+01
2.849995095864471182e+02,1.681981684393196990e-03,4.665980956438160488e-05,-3.216924236215883831e-02,1.511232828177962784e+00,1.543402070540121906e+00,8.843042473370155676e+01
2.899995009827005674e+02,1.687093347395908884e-03,4.763511682154337226e-05,-3.293602539826395031e-02,1.509998952761737012e+00,1.542934978160001247e+00,8.840366231167791966e+01
2.949994923789540167e+02,1.692321567727801939e-03,4.861948421901159730e-05,-3.371484969564113310e-02,1.508752330768119876e+00,1.542467180463761300e+00,8.837685947801742259e+01
2.999994837752074659e+02,1.697667960947981704e-03,4.961315035299914219e-05,-3.450606093219901055e-02,1.507492627418336673e+00,1.541998688350535440e+00,8.835001685719441866e+01
3.049994751714609720e+02,1.703134187174168120e-03,5.061635882870738659e-05,-3.531001315932221635e-02,1.506219498424482550e+00,1.541529511583805023e+00,8.832313500861516786e+01
3.099994665677144212e+02,1.708721952050624602e-03,5.162935841722485095e-05,-3.612706904527659968e-02,1.504932589836848855e+00,1.541059658882125483e+00,8.829621443181611085e+01
3.149994579639678705e+02,1.714433007788969572e-03,5.265240321820675873e-05,-3.695760015572480128e-02,1.503631537844871691e+00,1.540589138000596714e+00,8.826925557113173682e+01
3.199994493602213197e+02,1.720269154222081901e-03,5.368575282664942691e-05,-3.780198720215822983e-02,1.502315968602106144e+00,1.540117955804264360e+00,8.824225881990020071e+01
3.249994407564747689e+02,1.726232239862805036e-03,5.472967250368483753e-05,-3.866062033438192463e-02,1.500985497999556051e+00,1.539646118333938052e+00,8.821522452423437244e+01
3.299994321527282182e+02,1.732324163040300158e-03,5.578443335362852140e-05,-3.953389941075871605e-02,1.499639731456836822e+00,1.539173630867595399e+00,8.818815298654010348e+01
3.349994235489816674e+02,1.738546873018538639e-03,5.685031250469008005e-05,-4.042223429550393515e-02,1.498278263678724853e+00,1.538700497974229142e+00,8.816104446860140342e+01
3.399994149452351735e+02,1.744902371186546992e-03,5.792759329599188057e-05,-4.132604515632973263e-02,1.496900678407809826e+00,1.538226723564139142e+00,8.813389919446194654e+01
3.449994063414886227e+02,1.751392712251792971e-03,5.901656546915244481e-05,-4.224576275600185754e-02,1.495506548177297557e+00,1.537752310933300004e+00,8.810671735296716633e+01
3.499993977377420720e+02,1.758020005472997385e-03,6.011752536549948387e-05,-4.318182877234041928e-02,1.494095434033645420e+00,1.537277262805985867e+00,8.807949910020647621e+01
3.549993891339955212e+02,1.764786415930228152e-03,6.123077612912998069e-05,-4.413469611156308620e-02,1.492666885258747023e+00,1.536801581370309755e+00,8.805224456154951440e+01
3.599993805302489704e+02,1.771694165828561693e-03,6.235662791581578928e-05,-4.510482924467264926e-02,1.491220439069401049e+00,1.536325268314073345e+00,8.802495383370018089e+01
3.649993719265024197e+02,1.778745535832488385e-03,6.349539810778602315e-05,-4.609270451589068951e-02,1.489755620338608866e+00,1.535848324854499403e+00,8.799762698640023473e+01
3.699993633227559258e+02,1.785942866424128188e-03,6.464741153433551919e-05,-4.709881050143157472e-02,1.488271941265896237e+00,1.535370751767327180e+00,8.797026406409622723e+01
3.749993547190093750e+02,1.793288559323539611e-03,6.581300069965859438e-05,-4.812364835301181920e-02,1.486768901059047465e+00,1.534892549412059326e+00,8.794286508738616703e+01
3.799993461152628242e+02,1.800785078894715473e-03,6.699250601556875945e-05,-4.916773214862740771e-02,1.485245985607585251e+00,1.534413717756212714e+00,8.791543005440888692e+01
3.849993375115162735e+02,1.808434953661819692e-03,6.818627604345129506e-05,-5.023158926030257820e-02,1.483702667135438524e+00,1.533934256395741214e+00,8.788795894201427927e+01
3.899993289077697227e+02,1.816240777779189360e-03,6.939466774020775191e-05,-5.131576071525421889e-02,1.482138403859568854e+00,1.533454164574823197e+00,8.786045170689692441e+01
3.949993203040231720e+02,1.824205212605943668e-03,7.061804671371287479e-05,-5.242080159572762993e-02,1.480552639608651688e+00,1.532973441204379395e+00,8.783290828665718664e+01
3.999993117002766212e+02,1.832330988272696821e-03,7.185678748388765324e-05,-5.354728139746110088e-02,1.478944803479173897e+00,1.532492084876634797e+00,8.780532860063550515e+01
4.049993030965301273e+02,1.840620905308350047e-03,7.311127375209706622e-05,-5.469578444028095482e-02,1.477314309440397322e+00,1.532010093880677992e+00,8.777771255080386936e+01
4.099992944927835765e+02,1.849077836304107748e-03,7.438189867810662684e-05,-5.586691026446261726e-02,1.475660555950694341e+00,1.531527466215156563e+00,8.775006002249324411e+01
4.149992858890370258e+02,1.857704727583382167e-03,7.566906516368974848e-05,-5.706127404982235668e-02,1.473982925550626044e+00,1.531044199600448019e+00,8.772237088509086789e+01
4.199992772852904750e+02,1.866504600973029971e-03,7.697318614668116838e-05,-5.827950701940604050e-02,1.472280784469687021e+00,1.530560291489092783e+00,8.769464499263807511e+01
4.249992686815439242e+02,1.875480555553597816e-03,7.829468490097551265e-05,-5.952225687343190574e-02,1.470553482201651274e+00,1.530075739075083652e+00,8.766688218436246416e+01
4.299992600777973735e+02,1.884635769482724890e-03,7.963399534630308794e-05,-6.079018822219459106e-02,1.468800351080280731e+00,1.529590539302475127e+00,8.763908228517129828e+01
4.349992514740508796e+02,1.893973501830234236e-03,8.099156236549864862e-05,-6.208398303052875544e-02,1.467020705842783768e+00,1.529104688873313078e+00,8.761124510610568450e+01
4.399992428703043288e+02,1.903497094499166827e-03,8.236784213260306474e-05,-6.340434105802178477e-02,1.465213843195305898e+00,1.528618184253327739e+00,8.758337044466691168e+01
4.449992342665577780e+02,1.913209974135166112e-03,8.376330244784388696e-05,-6.475198031384094000e-02,1.463379041364340827e+00,1.528131021678182044e+00,8.755545808517433670e+01
4.499992256628112273e+02,1.923115654092785341e-03,8.517842308264501189e-05,-6.612763753889859542e-02,1.461515559619453342e+00,1.527643197158352395e+00,8.752750779904511091e+01
4.549992170590646765e+02,1.933217736459867577e-03,8.661369613483501718e-05,-6.753206865749934729e-02,1.459622637825233271e+00,1.527154706482733326e+00,8.749951934500063544e+01
4.599992084553181257e+02,1.943519914100669830e-03,8.806962639267629440e-05,-6.896604926214430775e-02,1.457699495960358416e+00,1.526665545222502862e+00,8.747149246928813682e+01
4.649991998515716318e+02,1.954025972758050619e-03,8.954673170964561860e-05,-7.043037510346633612e-02,1.455745333630176663e+00,1.526175708733642722e+00,8.744342690582493560e+01
4.699991912478250811e+02,1.964739793156276837e-03,9.104554338753926277e-05,-7.192586257544635042e-02,1.453759329583135695e+00,1.525685192158582115e+00,8.741532237629274960e+01
4.749991826440785303e+02,1.975665353188722773e-03,9.256660657193836945e-05,-7.345334921451185384e-02,1.451740641213285832e+00,1.525193990427797353e+00,8.738717859022926859e+01
4.799991740403319795e+02,1.986806730116454089e-03,9.411048065687490261e-05,-7.501369420642919894e-02,1.449688404054153557e+00,1.524702098260582561e+00,8.735899524507232172e+01
4.849991654365854288e+02,1.998168102816450051e-03,9.567773970069416896e-05,-7.660777889952381792e-02,1.447601731265494296e+00,1.524209510165018600e+00,8.733077202615811530e+01
4.899991568328388780e+02,2.009753754057753711e-03,9.726897285237204327e-05,-7.823650731628342681e-02,1.445479713121621712e+00,1.523716220437905333e+00,8.730250860671736746e+01
4.949991482290923273e+02,2.021568072821771245e-03,9.888478478917331436e-05,-7.990080667297050354e-02,1.443321416490317421e+00,1.523222223163288147e+00,8.727420464779083886e+01
4.999991396253458333e+02,2.033615556661730068e-03,1.005257961656484683e-04,-8.160162791201341914e-02,1.441125884299140125e+00,1.522727512211152767e+00,8.724585979815458359e+01
5.049991310215992826e+02,2.045900814085872300e-03,1.021926440735352552e-04,-8.333994623210884412e-02,1.438892135003675188e+00,1.522232081235783685e+00,8.721747369422587326e+01
5.099991224178527318e+02,2.058428566986226799e-03,1.038859825137352863e-04,-8.511676161766344728e-02,1.436619162055271293e+00,1.521735923672934643e+00,8.718904595990113648e+01
5.149991138141061811e+02,2.071203653094671852e-03,1.056064828797092050e-04,-8.693309937933230147e-02,1.434305933357370666e+00,1.521239032736702690e+00,8.716057620637673153e+01
5.199991052103596303e+02,2.084231028467126417e-03,1.073548344525577001e-04,-8.879001069737686713e-02,1.431951390719148787e+00,1.520741401416525251e+00,8.713206403197705185e+01
5.249990966066130795e+02,2.097515770008463558e-03,1.091317449086715393e-04,-9.068857316888363773e-02,1.429554449304295760e+00,1.520243022473178884e+00,8.710350902192510603e+01
5.299990880028665288e+02,2.111063078021591186e-03,1.109379408391836453e-04,-9.262989134107450784e-02,1.427113997093368614e+00,1.519743888434442969e+00,8.707491074809422571e+01
5.349990793991199780e+02,2.124878278773640640e-03,1.127741682812485836e-04,-9.461509727083569632e-02,1.424628894319535100e+00,1.519243991590370824e+00,8.704626876873697938e+01
5.399990707953734272e+02,2.138966827101337464e-03,1.146411932622909522e-04,-9.664535106536546738e-02,1.422097972922716558e+00,1.518743323988082317e+00,8.701758262818691492e+01
5.449990621916269902e+02,2.153334309029503180e-03,1.165398023562505623e-04,-9.872184143520940092e-02,1.419520035991486795e+00,1.518241877426696362e+00,8.698885185656814656e+01
5.499990535878804394e+02,2.167986444429676439e-03,1.184708032533109210e-04,-1.008457862320834425e-01,1.416893857218749719e+00,1.517739643450832787e+00,8.696007596942308737e+01
5.549990449841338886e+02,2.182929089645158603e-03,1.204350253393910483e-04,-1.030184330020583461e-01,1.414218180342717845e+00,1.517236613344776330e+00,8.693125446737803941e+01
5.599990363803873379e+02,2.198168240212617069e-03,1.224333202925694290e-04,-1.052410595234280627e-01,1.411491718602217560e+00,1.516732778125646108e+00,8.690238683575182677e+01
5.649990277766407871e+02,2.213710033503354414e-03,1.244665626871338906e-04,-1.075149743440935030e-01,1.408713154192453354e+00,1.516228128536546427e+00,8.687347254416340547e+01
5.699990191728942364e+02,2.229560751461336521e-03,1.265356506148263309e-04,-1.098415173267695832e-01,1.405881137712444273e+00,1.515722655039213995e+00,8.684451104611054006e+01
5.749990105691476856e+02,2.245726823270217162e-03,1.286415063145161959e-04,-1.122220601593458406e-01,1.402994287646907035e+00,1.515216347806252362e+00,8.681550177852489014e+01
5.799990019654011348e+02,2.262214828073675407e-03,1.307850768170960485e-04,-1.146580069009047742e-01,1.400051189812769659e+00,1.514709196713674322e+00,8.678644416134471840e+01
5.849989933616545841e+02,2.279031497684446978e-03,1.329673346021832301e-04,-1.171507944792020139e-01,1.397050396852792309e+00,1.514201191331993712e+00,8.675733759700449355e+01
5.899989847579080333e+02,2.296183719254172532e-03,1.351892782652885201e-04,-1.197018932128987717e-01,1.393990427705450674e+00,1.513692320918349710e+00,8.672818146998361044e+01
5.949989761541614826e+02,2.313678537973011626e-03,1.374519331992114237e-04,-1.223128072972244351e-01,1.390869767110131994e+00,1.513182574407356373e+00,8.669897514628218005e+01
5.999989675504149318e+02,2.331523159723281752e-03,1.397563522856591894e-04,-1.249850753027210160e-01,1.387686865099484024e+00,1.512671940402205095e+00,8.666971797291114399e+01
6.049989589466683810e+02,2.349724953744098972e-03,1.421036166002875704e-04,-1.277202706513390629e-01,1.384440136514313968e+00,1.512160407165653586e+00,8.664040927737607944e+01
6.099989503429219440e+02,2.368291455216906503e-03,1.444948361260555748e-04,-1.305200020742589007e-01,1.381127960535925236e+00,1.511647962610183749e+00,8.661104836711319876e+01
6.149989417391753932e+02,2.387230367869972499e-03,1.469311504805565296e-04,-1.333859140647869201e-01,1.377748680223848998e+00,1.511134594288636057e+00,8.658163452895280443e+01
6.199989331354288424e+02,2.406549566510282276e-03,1.494137296520610619e-04,-1.363196873154435829e-01,1.374300602068806665e+00,1.510620289384250636e+00,8.655216702854863797e+01
6.249989245316822917e+02,2.426257099530475681e-03,1.519437747469507623e-04,-1.393230391409635560e-01,1.370781995559940070e+00,1.510105034700903293e+00,8.652264510981848389e+01
6.299989159279357409e+02,2.446361191333021236e-03,1.545225187451449117e-04,-1.423977238668019396e-01,1.367191092786022466e+00,1.509588816652824850e+00,8.649306799435510129e+01
6.349989073241891901e+02,2.466870244724638037e-03,1.571512272665459824e-04,-1.455455332200465135e-01,1.363526088034338501e+00,1.509071621254384876e+00,8.646343488084090723e+01
6.399988987204426394e+02,2.487792843223180905e-03,1.598311993449564846e-04,-1.487682966910508497e-01,1.359785137418782375e+00,1.508553434109833224e+00,8.643374494446015888e+01
