# Time,Input,Output
0.0,0.0,0.0
1e-06,0.0006286326485795726,0.0
2e-06,0.001257893366770568,2.095442161931909e-06
3e-06,0.0018877819042857908,6.280736763240053e-06
4e-06,0.0025182980093424933,1.2549615262006832e-05
4.9999999999999996e-06,0.003149441428658748,2.089513464421273e-05
6e-06,0.003781211907449817,3.130968198131739e-05
7e-06,0.0044136091894245175,4.378497919594148e-05
8e-06,0.005046633016781589,5.83120880333672e-05
9e-06,0.005680283130206055,7.488141523651392e-05
9.999999999999999e-06,0.006314559268865581,9.348271792198623e-05
1.1e-05,0.0069494611704068385,0.00011410510915473139
1.2e-05,0.007584988570951859,0.00013673706371878665
1.3e-05,0.008221141205094384,0.00016136642408153887
1.4e-05,0.00885791880589622,0.0001879804065488632
1.4999999999999999e-05,0.009495321104883596,0.00021656560760845294
1.6e-05,0.010133347832043496,0.0002471080104585991
1.7e-05,0.010771998715820012,0.000279592991719625
1.8e-05,0.011411273483110695,0.00031400532832512925
1.8999999999999998e-05,0.01205117185926288,0.0003503292045901424
1.9999999999999998e-05,0.012691693568070046,0.0003885482194532494
2.1e-05,0.013332838331768133,0.00042864539388968553
2.2e-05,0.013974605871031894,0.00047060317849236395
2.3e-05,0.014616995904971211,0.0005144034612177484
2.4e-05,0.015260008151127444,0.0005600275752934402
2.4999999999999998e-05,0.01590364232546974,0.0006074563072843026
2.6e-05,0.0165478981423914,0.0006566699053139083
2.7e-05,0.017192775314706144,0.0007076480874380497
2.8e-05,0.017838273553644486,0.0007603700501670137
2.9e-05,0.01848439256885002,0.0008148144771332865
2.9999999999999997e-05,0.019131132068375776,0.0008709595479013125
3.1e-05,0.019778491758680506,0.0009287829469158972
3.2e-05,0.020426471344625,0.0009882618725858103
3.2999999999999996e-05,0.021075070529468422,0.0010493730464991103
3.4e-05,0.02172428901486461,0.0011120927227666773
3.5e-05,0.02237412650085837,0.0011763966974904178
3.6e-05,0.02302458268588182,0.0012422603183525613
3.7e-05,0.02367565726675064,0.0013096584943224586
3.7999999999999995e-05,0.024327349938660457,0.0013785657054772448
3.9e-05,0.02497966039518306,0.001448956012932722
3.9999999999999996e-05,0.02563258832826275,0.0015208030688807783
4.1e-05,0.026286133428212653,0.0015940801267296468
4.2e-05,0.026940295383710948,0.0016687600513432754
4.2999999999999995e-05,0.02759507388179725,0.001744815329376072
4.4e-05,0.028250468607868836,0.001822218079699255
4.4999999999999996e-05,0.028906479245676957,0.0019009400639150326
4.6e-05,0.029563105477323142,0.0019809526969548135
4.7e-05,0.03022034698325547,0.00206222705775763
4.8e-05,0.030878203442264857,0.0021447339000249597
4.9e-05,0.03153667453148134,0.002228443663048088
4.9999999999999996e-05,0.03219575992637038,0.0023133264826041776
5.1e-05,0.032855459300729105,0.0023993522019171757
5.2e-05,0.033515772326682604,0.0024864903826796875
5.3e-05,0.034176698674680255,0.0025747103161319427
5.4e-05,0.034838238013491875,0.002663981034193971
5.4999999999999995e-05,0.035500390010204164,0.002754271320647101
5.6e-05,0.03616315433021683,0.0028455497223608787
5.6999999999999996e-05,0.036826530637238925,0.0029377845605615327
5.8e-05,0.03749051859328514,0.0030309439421380706
5.9e-05,0.03815511785867198,0.003124995770982129
5.9999999999999995e-05,0.038820328092014154,0.003219907759357669
6.1e-05,0.039486148950220734,0.003315647439296645
6.2e-05,0.04015258008849148,0.003412182174016747
6.3e-05,0.04081962116031305,0.0035094791693573465
6.4e-05,0.041487271817455304,0.003607505485229763
6.5e-05,0.04215553170996758,0.0037062280470780023
6.599999999999999e-05,0.04282440048617486,0.0038056136573460953
6.7e-05,0.04349387779267414,0.0039056290069482045
6.8e-05,0.04416396327433058,0.004006240686737654
6.9e-05,0.044834656574273817,0.0041074151989710815
7e-05,0.04550595733389422,0.004209118968763885
7.099999999999999e-05,0.0461778651928391,0.004311318355533191
7.2e-05,0.046850379789009,0.004413979664424572
7.3e-05,0.04752350075855389,0.00451706915771874
7.4e-05,0.048197227735869444,0.004620553066214504
7.5e-05,0.048871560353593316,0.004724397600584262
