t,x,y,ux,uy
0.0,0.0,0.0,0.0,1.0
0.001,0.0,0.001,0.0011480502970952692,0.9972283614024662
0.002,1.1480502970952693e-06,0.0019972283614024663,0.0022951648843683625,0.9944576580709528
0.003,3.4432151814636318e-06,0.002991686019473419,0.003441337787348543,0.9916878966145756
0.004,6.884552968812176e-06,0.003983373916087995,0.004586562987639271,0.9889190836992701
0.005,1.1471115956451447e-05,0.004972292999787265,0.0057308344226040565,0.986151226048331
0.006,1.7201950379055503e-05,0.005958444225835596,0.006874145985051101,0.9833843304429576
0.007,2.4076096364106606e-05,0.006941828556278553,0.008016491522916766,0.9806184037228031
0.008,3.2092587887023375e-05,0.007922446960001356,0.009157864838947885,0.9778534527865305
0.009000000000000001,4.125045272597126e-05,0.008900300412787887,0.010298259690382958,0.9750894845923722
0.010000000000000002,5.1548712416354217e-05,0.009875389897380259,0.011437669788632272,0.9723265061586958
0.011000000000000003,6.298638220498649e-05,0.010847716403538954,0.012576088798956952,0.9695645245645744
0.012000000000000004,7.556247100394344e-05,0.01181728092810353,0.013713510340147023,0.9668035469503627
0.013000000000000005,8.927598134409046e-05,0.012784084475053891,0.01484992798419847,0.964043580518278
0.014000000000000005,0.00010412590932828893,0.01374812805557217,0.015985335255989375,0.961284632532986
0.015000000000000006,0.00012011124458427832,0.014709412688105156,0.01711972563295515,0.9585267103221935
0.016000000000000007,0.00013723097021723347,0.01566793939842735,0.018253092544762917,0.9557698212772446
0.017000000000000008,0.0001554840627619964,0.016623709219704595,0.019385429372985073,0.9530139728537236
0.01800000000000001,0.00017486949213498147,0.01757672319255832,0.020516729450772077,0.9502591725720623
0.01900000000000001,0.00019538622158575355,0.01852698236513038,0.021646986062524524,0.9475054280181536
0.02000000000000001,0.00021703320764827807,0.019474487793148535,0.022776192443564543,0.9447527468439703
0.02100000000000001,0.0002398094000918426,0.020419240539992504,0.023904341779806566,0.9420011367681888
0.022000000000000013,0.0002637137418716492,0.021361241676760692,0.025031427207427518,0.9392506055768193
0.023000000000000013,0.0002887451690790767,0.022300492282337513,0.0261574418125365,0.9365011611238407
0.024000000000000014,0.0003149026108916132,0.023236993443461352,0.02728237863084398,0.9337528113318415
0.025000000000000015,0.0003421849895224572,0.024170746254793193,0.028406230647330607,0.931005564192666
0.026000000000000016,0.00037059122016978776,0.02510175181898586,0.029528990795915637,0.9282594277680665
0.027000000000000017,0.0004001202109657034,0.02603001124675393,0.03065065195912509,0.9255144101903605
0.028000000000000018,0.0004307708629248285,0.026955525656944288,0.03177120696775968,0.9227705196630945
0.02900000000000002,0.00046254206989258817,0.027878296176607382,0.032890648600562566,0.9200277644617124
0.03000000000000002,0.0004954327184931507,0.028798323941069095,0.034008969583887,0.9172861529342301
0.03100000000000002,0.0005294416880770377,0.029715610094003326,0.035126162591363974,0.9145456935019161
0.03200000000000002,0.0005645678506684017,0.03063015578750524,0.036242220243569864,0.9118063946599771
0.03300000000000002,0.0006008100709119715,0.03154196218216522,0.037357135107694235,0.9090682649782502
0.03400000000000002,0.0006381672060196658,0.032451030447143474,0.0384708996972078,0.9063313131018997
0.035000000000000024,0.0006766381057168735,0.033357361760245376,0.039583506471530645,0.9035955477521209
0.036000000000000025,0.0007162216121884042,0.0342609573079975,0.04069494783570081,0.9008609777268487
0.037000000000000026,0.000756916560024105,0.035161818285724344,0.04180521614004331,0.8981276119014725
0.03800000000000003,0.0007987217761641483,0.03605994589762582,0.04291430367983964,0.895395459229557
0.03900000000000003,0.000841636079843988,0.036955341356855374,0.04402220269499787,0.8926645287435679
0.04000000000000003,0.0008856582825389858,0.037848005885598945,0.04512890536972349,0.8899348295556049
0.04100000000000003,0.0009307871879087093,0.03873794071515455,0.04623440383219097,0.8872063708581386
0.04200000000000003,0.0009770215917409002,0.03962514708601269,0.0473386901542162,0.8844791619247553
0.04300000000000003,0.0010243602818951164,0.04050962624793744,0.04844175635092995,0.8817532121109058
0.04400000000000003,0.0010728020382460464,0.041391379460048346,0.04954359438045234,0.8790285308546613
0.04500000000000003,0.0011223456326264988,0.04227040799090301,0.05064419614356855,0.8763051276774737
0.046000000000000034,0.0011729898287700673,0.04314671311858048,0.05174355348340574,0.8735830121849437
0.047000000000000035,0.001224733382253473,0.04402029613076543,0.05284165818511142,0.8708621940675927
0.048000000000000036,0.0012775750404385843,0.04489115832483302,0.053938501975533286,0.8681426831016414
0.04900000000000004,0.0013315135424141176,0.04575930100793466,0.055034076522900696,0.8654244891497945
0.05000000000000004,0.0013865476189370183,0.046624725497084456,0.056128373436507846,0.8627076221620305
0.05100000000000004,0.001442675992373526,0.04748743311924648,0.05722138426639884,0.859992092176397
0.05200000000000004,0.0014998973766399248,0.04834742521142288,0.05831310050305471,0.8572779093198134
0.05300000000000004,0.0015582104771429796,0.04920470312074269,0.059403513577082546,0.8545650838088767
0.05400000000000004,0.0016176139907200621,0.05005926820455157,0.0604926148589069,0.8518536259506754
0.05500000000000004,0.001678106605578969,0.05091112183050224,0.061580395658463495,0.8491435461436073
0.05600000000000004,0.0017396870012374326,0.051760265376645846,0.06266684722489552,0.8464348548782045
0.057000000000000044,0.0018023538484623282,0.05260670023152405,0.06375196074625247,0.8437275627379622
0.058000000000000045,0.0018661058092085806,0.05345042779426201,0.06483572734919195,0.8410216804001749
0.059000000000000045,0.0019309415365577726,0.05429144947466219,0.0659181380986842,0.8383172186367764
0.060000000000000046,0.0019968596746564567,0.055129766693298964,0.06699918399771995,0.8356141883151867
0.06100000000000005,0.002063858858654177,0.05596538088161415,0.06807885598702132,0.8329126003991637
