t,x,y,ux,uy
0.0,0.0,0.0,0.0,1.0
0.01,0.0,0.01,0.004782304582520858,0.9912176954174792
0.02,4.7823045825208583e-05,0.01991217695417479,0.009543357755885898,0.9824566036078985
0.03,0.00014325662338406756,0.02973674299025378,0.014282788306463474,0.9737171032893067
0.04,0.0002860845064487023,0.039473914023146844,0.0190002214949148,0.9649995775853499
0.05,0.00047608672139785033,0.049123909799000345,0.023695279171930685,0.9563044139923116
0.060000000000000005,0.0007130395131171572,0.05868695393892346,0.02836757990244983,0.9476320043426595
0.07,0.0009967153121416554,0.06816327398235006,0.03301673909858289,0.9389827447650372
0.08,0.0013268827031274843,0.07755310143000044,0.03764236916146071,0.9303570356406361
0.09,0.0017033063947420914,0.0868566717864068,0.042244079632218594,0.921755281555887
0.09999999999999999,0.002125747191064277,0.09607422460196567,0.04682147735232083,0.9131778912514076
0.10999999999999999,0.0025939619645874855,0.10520600351447974,0.051374166633420995,0.9046252775671428
0.11999999999999998,0.0031077036309216954,0.11425225629015118,0.05590174943694396,0.8960978573836367
0.12999999999999998,0.003666721125291135,0.12321323486398754,0.06040382556356463,0.8875960515593688
0.13999999999999999,0.004270759380926781,0.13208919537958122,0.0648799928527464,0.8791202848640913
0.15,0.004919559309454246,0.14088039822822213,0.06932984739248935,0.8706709859080979
0.16,0.005612857783379139,0.1495871080873031,0.07375298373942335,0.8622485870673542
0.17,0.006350387620773373,0.15820959395797665,0.07814899514936613,0.853853524404418
0.18000000000000002,0.007131877572267034,0.16674812920202084,0.08251747381844855,0.8454862375850701
0.19000000000000003,0.00795705231045152,0.17520299157787153,0.0868580111348916,0.8371471697905778
0.20000000000000004,0.008825632421800435,0.1835744632757773,0.09117019794149929,0.8288367676255027
0.21000000000000005,0.009737334401215427,0.19186283095203233,0.0954536248089106,0.8205554810209652
0.22000000000000006,0.010691870649304533,0.20006838576224198,0.09970788231963068,0.812303763133266
0.23000000000000007,0.01168894947250084,0.20819142339357463,0.10393256136283724,0.8040820702377649
0.24000000000000007,0.012728275086129212,0.2162322440959523,0.10812725343993246,0.7958908616179038
0.25000000000000006,0.013809547620528537,0.22419115271213133,0.11229155098078294,0.7877305994492593
0.26000000000000006,0.014932463130336367,0.23206845870662393,0.11642504767056151,0.7796017486784981
0.2700000000000001,0.01609671360704198,0.23986447619340892,0.12052733878707393,0.7715047768971015
0.2800000000000001,0.01730198699491272,0.24757952396237995,0.12459802154842158,0.7634401542097176
0.2900000000000001,0.018547967210396935,0.25521392550447713,0.12863669547081696,0.7554083530969878
0.3000000000000001,0.019834334165105105,0.262768009035447,0.13264296273633394,0.7474098482726901
0.3100000000000001,0.021160763792468444,0.2702421075181739,0.13661642857033704,0.7394451165350248
0.3200000000000001,0.022526928078171814,0.27763655868352416,0.14055670162829606,0.7315146366118687
0.3300000000000001,0.023932495094454775,0.28495170504964284,0.14446339439165168,0.723618888999805
0.34000000000000014,0.02537712903837129,0.2921878939396409,0.14833612357235662,0.7157583557967347
0.35000000000000014,0.026860490274094855,0.29934547749760826,0.1521745105256733,0.7079335205278642
0.36000000000000015,0.028382235379351587,0.3064248127028869,0.15597818167076494,0.7001448679648554
0.37000000000000016,0.029942017196059236,0.3134262613825355,0.15974676891857156,0.6923928839379215
0.38000000000000017,0.03153948488524495,0.3203501902219147,0.16347991010641486,0.6846780551406416
0.3900000000000002,0.0331742839863091,0.3271969707733211,0.167177249438729,0.6770008689272676
0.4000000000000002,0.03484605648069639,0.3339669794625938,0.17083843793326522,0.6693618131022914
0.4100000000000002,0.03655444086002904,0.3406605975936167,0.17446313387206863,0.6617613757020409
0.4200000000000002,0.03829907219874973,0.34727821135063713,0.17805100325647616,0.6542000447680741
0.4300000000000002,0.04007958223131449,0.35382021179831785,0.18160172026533417,0.6466783081121452
0.4400000000000002,0.04189559943396783,0.3602869948794393,0.185114967715584,0.6391966530725207
0.45000000000000023,0.043746749111123674,0.36667896141016454,0.18859043752431381,0.631755566261435
0.46000000000000024,0.04563265348636681,0.37299651707277887,0.19202783117132555,0.624355533303485
0.47000000000000025,0.04755293179808007,0.3792400724058137,0.19542686016121694,0.6169970385647792
0.48000000000000026,0.04950720039969224,0.3854100427914615,0.1987872464839313,0.6096805648726753
0.49000000000000027,0.05149507286453155,0.3915068484401883,0.2021087230726815,0.6024065932259627
0.5000000000000002,0.05351616009525837,0.3975309143724479,0.20539103425810995,0.5951756024953717
0.5100000000000002,0.05557007043783947,0.40348267039740165,0.20863393621750592,0.5879880691143224
0.5200000000000002,0.05765640980001453,0.40936255108854486,0.21183719741786042,0.5808444667598595
0.5300000000000002,0.05977478177419314,0.41517099575614347,0.21500059905150457,0.5737452660237572
0.5400000000000003,0.06192478776470819,0.42090844841638103,0.21812393546304398,0.5666909340738225
0.5500000000000003,0.06410602711933863,0.42657535775711924,0.22120701456627384,0.5596819343054684
0.5600000000000003,0.06631809726500137,0.4321721771001739,0.22424965824973542,0.5527187259836824
0.5700000000000003,0.06856059384749873,0.4376993643600107,0.22725170276955614,0.5458017638755692
0.5800000000000003,0.07083311087519428,0.4431573819987664,0.230212999128202,0.5389314978737028
0.5900000000000003,0.0731352408664763,0.44854669697750343,0.233133413437764,0.5321083726105879
0.6000000000000003,0.07546657500085394,0.45386778070360934,0.23601282726639894,0.5253328270645945
0.6100000000000003,0.07782670327351793,0.4591211089742553,0.23885113796655147,0.5186052941577964
0.6200000000000003,0.08021521465318344,0.46430716191583327,0.24164825898359685,0.5119262003462164
