# frequency,input_amplitude,output_amplitude
1.800000000000000000e+02,5.133498061503443538e-02,4.452530252255176846e-02
1.850000000000000000e+02,5.102943059097647671e-02,4.420593535381376477e-02
1.900000000000000000e+02,5.041825627823756650e-02,4.373632804437350974e-02
1.950000000000000000e+02,4.968169514286688293e-02,4.318072569319127141e-02
2.000000000000000000e+02,4.906450072526138961e-02,4.263052045586390032e-02
2.050000000000000000e+02,4.879695007620749730e-02,4.217611845662961462e-02
2.100000000000000000e+02,4.899516536582616821e-02,4.187410453700377011e-02
2.150000000000000000e+02,4.959158502011843522e-02,4.172305603429173754e-02
2.200000000000000000e+02,5.034609134758068205e-02,4.166137205560573736e-02
2.250000000000000000e+02,5.094087090074773949e-02,4.159124862623055779e-02
2.300000000000000000e+02,5.111325151555626278e-02,4.141967047359469689e-02
2.350000000000000000e+02,5.077226791993885019e-02,4.109904603049956140e-02
2.400000000000000000e+02,5.005874925305520834e-02,4.065014303320449440e-02
2.450000000000000000e+02,4.931504786332473883e-02,4.015562290306483317e-02
2.500000000000000000e+02,4.893973932123275861e-02,3.972231856083981161e-02
2.550000000000000000e+02,4.916086725125861506e-02,3.942560215640406041e-02
2.600000000000000000e+02,4.986648211183896534e-02,3.926506101327430914e-02
2.650000000000000000e+02,5.064501205690810637e-02,3.916178676759949490e-02
2.700000000000000000e+02,5.102604439158752586e-02,3.900391871946583267e-02
2.750000000000000000e+02,5.076223875473014763e-02,3.871453188673838058e-02
2.800000000000000000e+02,4.999869178980176354e-02,3.830079434865385490e-02
2.850000000000000000e+02,4.923202730203832950e-02,3.785262166094214425e-02
2.900000000000000000e+02,4.901473841959502059e-02,3.748547389302907956e-02
2.950000000000000000e+02,4.953036055871526400e-02,3.725868571076382946e-02
3.000000000000000000e+02,5.040022541528189209e-02,3.712852998501044166e-02
3.050000000000000000e+02,5.095628353671025068e-02,3.697884063114653674e-02
3.100000000000000000e+02,5.075381103777903274e-02,3.671056862048190095e-02
3.150000000000000000e+02,4.993034280349560594e-02,3.632136252367397511e-02
3.200000000000000000e+02,4.916101145794270211e-02,3.591091028079198416e-02
3.250000000000000000e+02,4.913922526094207516e-02,3.559998824092432818e-02
3.300000000000000000e+02,4.990826647808369737e-02,3.542314642483061771e-02
3.350000000000000000e+02,5.075975705988153286e-02,3.529347911968321039e-02
3.400000000000000000e+02,5.088969969352636485e-02,3.508171035656543896e-02
3.450000000000000000e+02,5.015239742053780730e-02,3.473947621997069968e-02
3.500000000000000000e+02,4.925502707246370848e-02,3.434928739777769191e-02
3.550000000000000000e+02,4.913899969279331842e-02,3.404590692047631401e-02
3.600000000000000000e+02,4.995423199622155835e-02,3.387620009747208810e-02
3.650000000000000000e+02,5.081695920338864109e-02,3.374485619694911342e-02
3.700000000000000000e+02,5.077215396363785049e-02,3.351645506773748284e-02
3.750000000000000000e+02,4.984504108961425317e-02,3.316711956635159247e-02
3.800000000000000000e+02,4.909546520014984594e-02,3.281557716588909962e-02
3.850000000000000000e+02,4.945280832264978971e-02,3.258755041798112179e-02
3.900000000000000000e+02,5.049126193867591039e-02,3.246134851513946679e-02
3.950000000000000000e+02,5.091023887093640288e-02,3.229051908601492105e-02
4.000000000000000000e+02,5.016348888604219708e-02,3.198775547459836027e-02
4.050000000000000000e+02,4.919512174157202045e-02,3.164000436786346127e-02
4.100000000000000000e+02,4.932738543958697236e-02,3.139888652224507443e-02
4.150000000000000000e+02,5.039848722734156100e-02,3.127463335268140798e-02
4.200000000000000000e+02,5.090748915928554330e-02,3.111700288063012215e-02
4.250000000000000000e+02,5.012045678650695751e-02,3.082558446244910641e-02
4.300000000000000000e+02,4.915138043179454602e-02,3.049687459993013702e-02
4.350000000000000000e+02,4.947208697006817701e-02,3.028796949853663698e-02
4.400000000000000000e+02,5.060759801426860383e-02,3.017882138724847438e-02
4.450000000000000000e+02,5.079818752771399909e-02,2.999784159573088207e-02
4.500000000000000000e+02,4.972536812756953029e-02,2.968877132458496923e-02
4.550000000000000000e+02,4.909766263041123041e-02,2.940454085518584559e-02
4.600000000000000000e+02,4.998194833093710931e-02,2.926341941847079506e-02
4.650000000000000000e+02,5.089547950379851027e-02,2.914860671852196120e-02
4.700000000000000000e+02,5.028466715521814207e-02,2.890104483543937813e-02
4.750000000000000000e+02,4.917453735944363191e-02,2.859366968659987282e-02
4.800000000000000000e+02,4.954856614404497955e-02,2.841048649229547390e-02
4.850000000000000000e+02,5.074462589989034433e-02,2.831808990166854306e-02
4.900000000000000000e+02,5.057810360701785884e-02,2.812023471594943952e-02
4.950000000000000000e+02,4.933276207078687858e-02,2.781834567502852740e-02
5.000000000000000000e+02,4.936858792559883913e-02,2.761511374795606530e-02
5.050000000000000000e+02,5.063616334743056835e-02,2.753019518180525524e-02
5.100000000000000000e+02,5.065856168451478986e-02,2.735570451113296386e-02
5.150000000000000000e+02,4.937157832748206854e-02,2.706310437293631133e-02
5.200000000000000000e+02,4.937039531534703068e-02,2.686631324856119524e-02
5.250000000000000000e+02,5.067659364937516370e-02,2.679000691396109593e-02
5.300000000000000000e+02,5.057429066255385991e-02,2.661203958330492225e-02
5.350000000000000000e+02,4.925817653927581918e-02,2.632624648535506276e-02
5.400000000000000000e+02,4.955492486027374133e-02,2.616228149456831589e-02
5.450000000000000000e+02,5.083046786425998026e-02,2.609197280035059630e-02
5.500000000000000000e+02,5.027561269142371420e-02,2.588391357963784264e-02
5.550000000000000000e+02,4.910478914113729915e-02,2.561608158734399177e-02
5.600000000000000000e+02,4.999346259591675584e-02,2.550814942686524880e-02
5.650000000000000000e+02,5.089876825467481991e-02,2.541860543426764651e-02
5.700000000000000000e+02,4.971274617046912703e-02,2.516530138925486895e-02
5.750000000000000000e+02,4.921589467775613208e-02,2.495496188184664899e-02
5.800000000000000000e+02,5.061766236972294053e-02,2.489906852865514039e-02
5.850000000000000000e+02,5.052227884209765929e-02,2.473974517493768982e-02
5.900000000000000000e+02,4.914807780361396539e-02,2.447390678682755116e-02
5.950000000000000000e+02,4.991720193139971562e-02,2.436811624843574289e-02
6.000000000000000000e+02,5.089879266793567031e-02,2.429368196298788488e-02
6.050000000000000000e+02,4.959628609722552262e-02,2.404442469865663776e-02
6.100000000000000000e+02,4.934974659526848023e-02,2.386650350982916918e-02
6.150000000000000000e+02,5.081485380707772420e-02,2.382792716570835898e-02
6.200000000000000000e+02,5.013389301182453323e-02,2.363386992633761258e-02
6.250000000000000000e+02,4.910535534449369383e-02,2.340470570096059300e-02
6.300000000000000000e+02,5.051255755243030249e-02,2.336184090012788719e-02
6.350000000000000000e+02,5.052429277030569266e-02,2.322538098928951175e-02
6.400000000000000000e+02,4.909954960379052380e-02,2.297402513307261751e-02
6.450000000000000000e+02,5.020613130252434692e-02,2.291084638477056123e-02
6.500000000000000000e+02,5.073664720608228595e-02,2.281718290660600390e-02
6.550000000000000000e+02,4.918131431619746780e-02,2.256244865551412446e-02
6.600000000000000000e+02,4.999925079795247002e-02,2.248140797194001644e-02
6.650000000000000000e+02,5.082594536786901041e-02,2.241338268635086756e-02
6.700000000000000000e+02,4.924260818793729094e-02,2.216173268068748897e-02
6.750000000000000000e+02,4.991990671016716119e-02,2.207452699790660167e-02
6.800000000000000000e+02,5.084435983680023891e-02,2.201750853684592349e-02
6.850000000000000000e+02,4.923521290383107291e-02,2.176805242741389201e-02
6.900000000000000000e+02,4.997122837192015388e-02,2.168975740848663736e-02
6.950000000000000000e+02,5.080416616666553337e-02,2.162991729407022501e-02
7.000000000000000000e+02,4.916123622912838692e-02,2.138116506226365315e-02
