# Time,Input,Output
0.00021999999999999998,1.0,0.3655619763702782
0.00022099999999999998,1.0,0.3668727987331495
0.000222,1.0,0.3681809127853537
0.000223,1.0,0.36948632412257404
0.000224,1.0,0.37078903832893234
0.000225,1.0,0.37208906097701305
0.000226,1.0,0.37338639762788695
0.000227,1.0,0.3746810538311351
0.00022799999999999999,1.0,0.3759730351248724
0.00022899999999999998,1.0,0.3772623470357714
0.00022999999999999998,1.0,0.3785489950790859
0.00023099999999999998,1.0,0.37983298475867455
0.000232,1.0,0.38111432156702435
0.000233,1.0,0.3823930109852743
0.000234,1.0,0.38366905848323857
0.000235,1.0,0.3849424695194302
0.000236,1.0,0.3862132495410842
0.000237,1.0,0.3874814039841811
0.00023799999999999998,1.0,0.38874693827347
0.00023899999999999998,1.0,0.39000985782249176
0.00023999999999999998,1.0,0.39127016803360226
0.00024099999999999998,1.0,0.3925278742979956
0.000242,1.0,0.39378298199572703
0.000243,1.0,0.3950354964957358
0.000244,1.0,0.39628542315586857
0.000245,1.0,0.3975327673229019
0.00024599999999999996,1.0,0.3987775343325653
0.000247,1.0,0.4000197295095641
0.000248,1.0,0.40125935816760216
0.000249,1.0,0.40249642560940463
0.00025,1.0,0.4037309371267405
0.000251,1.0,0.40496289800044555
0.000252,1.0,0.4061923135004446
0.00025299999999999997,1.0,0.4074191888857742
0.000254,1.0,0.40864352940460524
0.00025499999999999996,1.0,0.40986534029426513
0.000256,1.0,0.41108462678126045
0.000257,1.0,0.4123013940812991
0.000258,1.0,0.41351564739931296
0.000259,1.0,0.41472739192947966
0.00026,1.0,0.4159366328552452
0.000261,1.0,0.41714337534934587
0.00026199999999999997,1.0,0.4183476245738307
0.000263,1.0,0.41954938568008304
0.00026399999999999997,1.0,0.4207486638088432
0.000265,1.0,0.4219454640902298
0.000266,1.0,0.42313979164376236
0.000267,1.0,0.42433165157838265
0.000268,1.0,0.4255210489924769
0.000269,1.0,0.4267079889738974
0.00027,1.0,0.42789247659998436
0.000271,1.0,0.4290745169375877
0.000272,1.0,0.4302541150430885
0.00027299999999999997,1.0,0.431431275962421
0.000274,1.0,0.4326060047310936
0.00027499999999999996,1.0,0.43377830637421116
0.000276,1.0,0.4349481859064958
0.000277,1.0,0.4361156483323088
0.000278,1.0,0.43728069864567176
0.000279,1.0,0.4384433418302881
0.00028,1.0,0.43960358285956436
0.000281,1.0,0.4407614266966313
0.00028199999999999997,1.0,0.44191687829436554
0.000283,1.0,0.4430699425954102
0.00028399999999999996,1.0,0.4442206245321965
0.000285,1.0,0.4453689290269647
0.000286,1.0,0.44651486099178495
0.000287,1.0,0.44765842532857875
0.000288,1.0,0.4487996269291395
0.000289,1.0,0.44993847067515363
0.00029,1.0,0.45107496143822146
0.00029099999999999997,1.0,0.452209104079878
0.000292,1.0,0.45334090345161376
0.00029299999999999997,1.0,0.4544703643948955
0.000294,1.0,0.455597491741187
0.00029499999999999996,1.0,0.45672229031196965
0.000296,1.0,0.4578447649187631
