time,input_v,output_v
1.759999999999999954e-04,8.799999999999998934e-01,1.818260428129767613e-06
1.779999999999999898e-04,8.899999999999999023e-01,1.961857610719206337e-06
1.800000000000000113e-04,9.000000000000001332e-01,2.114353423444810623e-06
1.820000000000000057e-04,9.099999999999999201e-01,2.276147790549632096e-06
1.840000000000000001e-04,9.199999999999999289e-01,2.447651654015271628e-06
1.859999999999999945e-04,9.299999999999999378e-01,2.629287068292294619e-06
1.879999999999999890e-04,9.399999999999998357e-01,2.821487292743756832e-06
1.900000000000000105e-04,9.499999999999999556e-01,3.024696881822862056e-06
1.920000000000000049e-04,9.599999999999999645e-01,3.239371773005892227e-06
1.939999999999999993e-04,9.699999999999999734e-01,3.465979372501669731e-06
1.959999999999999937e-04,9.799999999999998712e-01,3.704998638758891154e-06
1.979999999999999881e-04,9.899999999999998801e-01,3.956920163792749730e-06
2.000000000000000096e-04,1.000000000000000000e+00,4.222246252352317911e-06
2.020000000000000040e-04,1.010000000000000009e+00,4.501490998950198778e-06
2.039999999999999984e-04,1.020000000000000018e+00,4.795180362775986336e-06
2.059999999999999928e-04,1.030000000000000027e+00,5.103852240515091672e-06
2.079999999999999872e-04,1.040000000000000036e+00,5.428056537094475467e-06
2.100000000000000087e-04,1.050000000000000044e+00,5.768355234376846375e-06
2.120000000000000031e-04,1.060000000000000053e+00,6.125322457824839068e-06
2.139999999999999975e-04,1.070000000000000062e+00,6.499544541156672177e-06
2.159999999999999919e-04,1.080000000000000071e+00,6.891620089014738093e-06
2.180000000000000134e-04,1.090000000000000080e+00,7.302160037668538465e-06
2.200000000000000078e-04,1.100000000000000089e+00,7.731787713773316550e-06
2.220000000000000022e-04,1.110000000000000098e+00,8.181138891205680830e-06
2.239999999999999966e-04,1.120000000000000107e+00,8.650861845997444847e-06
2.259999999999999910e-04,1.129999999999999893e+00,9.141617409388830270e-06
2.280000000000000126e-04,1.140000000000000124e+00,9.654079019022107397e-06
2.300000000000000070e-04,1.150000000000000133e+00,1.018893276829664644e-05
2.320000000000000014e-04,1.159999999999999920e+00,1.074687745390628526e-05
2.339999999999999958e-04,1.169999999999999929e+00,1.132862462157979458e-05
2.359999999999999902e-04,1.179999999999999938e+00,1.193489861004514909e-05
2.380000000000000117e-04,1.190000000000000169e+00,1.256643659323818879e-05
2.400000000000000061e-04,1.199999999999999956e+00,1.322398862077616567e-05
2.420000000000000005e-04,1.209999999999999964e+00,1.390831765671653650e-05
2.439999999999999949e-04,1.219999999999999973e+00,1.462019961662126785e-05
2.460000000000000164e-04,1.230000000000000204e+00,1.536042340294680274e-05
2.480000000000000108e-04,1.239999999999999991e+00,1.612979093877970238e-05
2.500000000000000052e-04,1.250000000000000000e+00,1.692911719993785147e-05
2.519999999999999996e-04,1.260000000000000009e+00,1.775923024545704931e-05
2.539999999999999940e-04,1.270000000000000018e+00,1.862097124648256333e-05
2.559999999999999884e-04,1.280000000000000027e+00,1.951519451358525048e-05
2.579999999999999828e-04,1.289999999999999813e+00,2.044276752252154687e-05
2.599999999999999772e-04,1.299999999999999822e+00,2.140457093845667553e-05
2.620000000000000258e-04,1.310000000000000053e+00,2.240149863867011326e-05
2.640000000000000202e-04,1.320000000000000062e+00,2.343445773376237173e-05
2.660000000000000146e-04,1.330000000000000071e+00,2.450436858738190348e-05
2.680000000000000090e-04,1.340000000000000080e+00,2.561216483449087623e-05
2.700000000000000035e-04,1.350000000000000089e+00,2.675879339818839232e-05
2.719999999999999979e-04,1.360000000000000098e+00,2.794521450510957145e-05
2.739999999999999923e-04,1.369999999999999885e+00,2.917240169941882975e-05
