# frequency(Hz) , input_amplitude(V) , output_amplitude(V)
4.099999999999999645e+00,1.570796327117978831e-05,9.827851198005131073e-06
4.200000000000000178e+00,2.439023547716774598e-02,1.503578466160991785e-02
4.299999999999999822e+00,1.570796327117962568e-05,9.541968727455256525e-06
4.399999999999999467e+00,2.325580511675045398e-02,1.392182932058752716e-02
4.500000000000000000e+00,1.570796327116677789e-05,9.267708556205561687e-06
4.599999999999999645e+00,2.222221297403838280e-02,1.292319261537082549e-02
4.700000000000000178e+00,1.570796327117782320e-05,9.004847246170423266e-06
4.799999999999999822e+00,2.127658608506922261e-02,1.202479278855866571e-02
4.900000000000000355e+00,1.570796327117660008e-05,8.753082818040981391e-06
5.000000000000000000e+00,2.040815319428259181e-02,1.121392431216982483e-02
5.099999999999999645e+00,1.570796327117873460e-05,8.512057980605912982e-06
5.200000000000000178e+00,1.960783265483339102e-02,1.047981781369080982e-02
5.299999999999999822e+00,1.570796327117759958e-05,8.281378543177331231e-06
5.400000000000000355e+00,1.886791363449493580e-02,9.813294368184774519e-03
5.500000000000000000e+00,1.570796327117568867e-05,8.060627840293183239e-06
5.599999999999999645e+00,1.818180687663683778e-02,9.206491037672653865e-03
5.700000000000000178e+00,1.570796327118601570e-05,7.849377895433126633e-06
5.799999999999999822e+00,1.754384793257699263e-02,8.652640911293148218e-03
5.900000000000000355e+00,1.570796327118060146e-05,7.647197945613831948e-06
6.000000000000000000e+00,1.694914041447149675e-02,8.145895330123817391e-03
6.099999999999999645e+00,1.570796327117575305e-05,7.453660849430951792e-06
6.200000000000000178e+00,1.639343008370189661e-02,7.681179112006757820e-03
6.299999999999999822e+00,1.570796327118091995e-05,7.268347811243969463e-06
6.400000000000000355e+00,1.587300292242668429e-02,7.254071839427773775e-03
6.500000000000000000e+00,1.570796327116740469e-05,7.090851776195604188e-06
6.599999999999999645e+00,1.538460202269253084e-02,6.860709910136648763e-03
6.700000000000000178e+00,1.570796327118202448e-05,6.920779784032132427e-06
6.799999999999999822e+00,1.492535936107785600e-02,6.497705257816719683e-03
6.900000000000000355e+00,1.570796327118420982e-05,6.757754513545265150e-06
7.000000000000000000e+00,1.449273943861574716e-02,6.162077552164196489e-03
7.099999999999999645e+00,1.570796327116904455e-05,6.601415203659552585e-06
7.200000000000000178e+00,1.408449244636373471e-02,5.851197369187963009e-03
7.299999999999999822e+00,1.570796327117901921e-05,6.451418098875826963e-06
7.400000000000000355e+00,1.369861512978401419e-02,5.562738342703481276e-03
7.500000000000000000e+00,1.570796327114917993e-05,6.307436536182929821e-06
7.599999999999999645e+00,1.333331791482278948e-02,5.294636708839656376e-03
7.700000000000000178e+00,1.570796327120393214e-05,6.169160765983478973e-06
7.799999999999999822e+00,1.298699715719811056e-02,5.045056966981371731e-03
7.900000000000000355e+00,1.570796327117881592e-05,6.036297578890481101e-06
8.000000000000000000e+00,1.265821160698567954e-02,4.812362624748056823e-03
8.099999999999999645e+00,1.570796327117992384e-05,5.908569795546822738e-06
