# x, U
70, 66.300
80, 40.430
90, 5.960
100, 29.100
110, 56.310
120, 72.030
130, 72.900
140, 60.630
150, 35.530
160, 5.210
172, 36.580
180, 56.880
190, 71.660
200, 72.530
210, 60.140
220, 35.690
230, 5.310
242, 36.890


