# Time,Velocity,Height,Radius
0.0,8.16519,0.008165190000000001,0.002003563927011205
0.001,8.675514375,0.016840704375,0.002007378590736789
0.002,8.7074096484375,0.0255481140234375,0.002011236659267151
0.003,8.709403103027343,0.03425751712646484,0.0020151254533541324
0.004,8.709527693939208,0.042967044820404046,0.0020190445557188136
0.005,8.7095354808712,0.05167658030127525,0.0020229943287684653
0.006,8.70953596755445,0.0603861162688297,0.002026975191667531
0.007,8.709535997972152,0.06909565226680185,0.0020309875750038416
0.008,8.709535999873259,0.07780518826667511,0.0020350319181365734
0.009000000000000001,8.709535999992077,0.08651472426666719,0.002039108669238983
0.01,8.709535999999504,0.0952242602666667,0.002043218285517638
0.011,8.709535999999968,0.10393379626666666,0.0020473612334497983
0.012,8.709535999999998,0.11264333226666666,0.0020515379890292374
0.013000000000000001,8.709536,0.12135286826666666,0.002055749038020181
0.014,8.709535999999998,0.13006240426666665,0.0020599948762196445
0.015,8.709536,0.13877194026666664,0.002064276009728486
0.016,8.709535999999998,0.14748147626666663,0.002068592955231537
0.017,8.709536,0.15619101226666662,0.002072946240287159
0.018000000000000002,8.709535999999998,0.1649005482666666,0.0020773364036266186
0.019,8.709536,0.1736100842666666,0.0020817639954636654
0.02,8.709535999999998,0.1823196202666666,0.002086229577814738
0.021,8.709536,0.19102915626666658,0.0020907337248302345
0.022,8.709535999999998,0.19973869226666657,0.0020952770231372937
0.023,8.709536,0.20844822826666656,0.002099860072194581
0.024,8.709535999999998,0.21715776426666655,0.002104483484659567
0.025,8.709536,0.22586730026666654,0.002109147886768835
0.026000000000000002,8.709535999999998,0.23457683626666653,0.002113853918731959
0.027,8.709536,0.24328637226666652,0.0021186022351395483
0.028,8.709535999999998,0.2519959082666665,0.0021233935053860493
0.029,8.709536,0.26070544426666653,0.0021282284141079513
0.03,8.709535999999998,0.26941498026666655,0.0021331076616380707
0.031,8.709536,0.27812451626666657,0.002138031964476614
0.032,8.709535999999998,0.2868340522666666,0.0021430020557797556
0.033,8.709536,0.2955435882666666,0.0021480186858665266
0.034,8.709535999999998,0.3042531242666666,0.002153082622744812
0.035,8.709536,0.31296266026666664,0.0021581946526573396
0.036000000000000004,8.709535999999998,0.32167219626666665,0.002163355580648553
0.037,8.709536,0.3303817322666667,0.002168566231153332
0.038,8.709535999999998,0.3390912682666667,0.0021738274486085706
0.039,8.709536,0.3478008042666667,0.0021791400980886626
0.04,8.709535999999998,0.3565103402666667,0.0021845050659660276
0.041,8.709536,0.36521987626666674,0.002189923260597843
0.042,8.709535999999998,0.37392941226666676,0.0021953956130402403
0.043000000000000003,8.709536,0.3826389482666668,0.0022009230777912665
0.044,8.709535999999998,0.3913484842666668,0.0022065066335640055
0.045,8.709536,0.4000580202666668,0.0022121472840913262
0.046,8.709535999999998,0.40876755626666683,0.0022178460589637942
0.047,8.709536,0.41747709226666685,0.0022236040145023933
0.048,8.709535999999998,0.42618662826666687,0.0022294222346677887
0.049,8.709536,0.4348961642666669,0.0022353018320079494
0.05,8.709535999999998,0.4436057002666669,0.0022412439486460844
0.051000000000000004,8.709536,0.4523152362666669,0.002247249757310931
0.052000000000000005,8.709535999999998,0.46102477226666694,0.002253320462411585
0.053,8.709536,0.46973430826666696,0.002259457301159152
0.054,8.709535999999998,0.478443844266667,0.0022656615447376968
0.055,8.709536,0.487153380266667,0.0022719344995270523
0.056,8.709535999999998,0.495862916266667,0.002278277508380257
0.057,8.709536,0.504572452266667,0.002284691951958546
0.058,8.709535999999998,0.513281988266667,0.0022911792501269807
0.059000000000000004,8.709536,0.5219915242666671,0.0022977408634140407
0.06,8.709535999999998,0.5307010602666671,0.002304378294538674
0.061,8.709536,0.5394105962666671,0.0023110930900085416
0.062,8.709535999999998,0.5481201322666671,0.0023178868417934404
0.063,8.709536,0.5568296682666671,0.0023247611890781328
0.064,8.709535999999998,0.5655392042666672,0.002331717820099102
0.065,8.709536,0.5742487402666672,0.0023387584740700443
0.066,8.709535999999998,0.5829582762666672,0.002345884943201247
0.067,8.709536,0.5916678122666672,0.002353099074818316
0.068,8.709535999999998,0.6003773482666672,0.002360402773586138
0.069,8.709536,0.6090868842666672,0.0023677980038443245
0.07,8.709535999999998,0.6177964202666673,0.0023752867920608395
0.07100000000000001,8.709536,0.6265059562666673,0.00238287122941099
0.07200000000000001,8.709535999999998,0.6352154922666673,0.0023905534744894435
0.073,8.709536,0.6439250282666673,0.0023983357561635213
0.074,8.709535999999998,0.6526345642666673,0.002406220376576567
0.075,8.709536,0.6613441002666673,0.002414209714310886
0.076,8.709535999999998,0.6700536362666674,0.0024223062277203976
0.077,8.709536,0.6787631722666674,0.0024305124584439435
0.078,8.709535999999998,0.6874727082666674,0.0024388310351109942
0.079,8.709536,0.6961822442666674,0.002447264677252391
0.08,8.709535999999998,0.7048917802666674,0.0024558161994297435
0.081,8.709536,0.7136013162666675,0.002464488515598147
0.082,8.709535999999998,0.7223108522666675,0.002473284643718054
0.083,8.709536,0.7310203882666675,0.002482207710633363
0.084,8.709535999999998,0.7397299242666675,0.0024912609572341894
0.085,8.709536,0.7484394602666675,0.002500447743924255
0.08600000000000001,8.709535999999998,0.7571489962666675,0.0025097715564144835
0.08700000000000001,8.709536,0.7658585322666676,0.002519236011866175
0.088,8.709535999999998,0.7745680682666676,0.0025288448654090918
0.089,8.709536,0.7832776042666676,0.002538602017061944
0.09,8.709535999999998,0.7919871402666676,0.00254851151908512
0.091,8.709536,0.8006966762666676,0.0025585775837981026
0.092,8.709535999999998,0.8094062122666676,0.002568804591896857
0.093,8.709536,0.8181157482666677,0.0025791971013096357
0.094,8.709535999999998,0.8268252842666677,0.002589759856633086
0.095,8.709536,0.8355348202666677,0.002600497799194387
0.096,8.709535999999998,0.8442443562666677,0.00261141607778935
0.097,8.709536,0.8529538922666677,0.002622520060151108
0.098,8.709535999999998,0.8616634282666678,0.0026338153452091706
0.099,8.709536,0.8703729642666678,0.0026453077762043815
0.1,8.709535999999998,0.8790825002666678,0.0026570034547316822
0.101,8.709536,0.8877920362666678,0.002668908755789671
0.10200000000000001,8.709535999999998,0.8965015722666678,0.002681030343923843
0.10300000000000001,8.709536,0.9052111082666678,0.0026933751905591995
0.10400000000000001,8.709535999999998,0.9139206442666679,0.002705950592627746
0.105,8.709536,0.9226301802666679,0.0027187641926073804
0.106,8.709535999999998,0.9313397162666679,0.002731824000101012
0.107,8.709536,0.9400492522666679,0.002745138415098527
0.108,8.709535999999998,0.9487587882666679,0.0027587162530797794
0.109,8.709536,0.957468324266668,0.002772566772134233
0.11,8.709535999999998,0.966177860266668,0.0027866997022925753
0.111,8.709536,0.974887396266668,0.0028011252772878943
0.112,8.709535999999998,0.983596932266668,0.002815854268989151
0.113,8.709536,0.992306468266668,0.0028308980247782373
0.114,8.709535999999998,1.001016004266668,0.0028462685081743063
0.115,8.709536,1.009725540266668,0.002861978343045949
