# winkel, spannung
15, 2.23
20, 2.15
25, 2.04
30, 1.90
35, 1.73
40, 1.62
45, 1.40
50, 1.25
55, 1.10
60, 1.01
65, 0.81
70, 0.69
75, 0.60
80, 0.34
