# winkel, spannung
15, 0.74
20, 0.63
25, 0.48
30, 0.33
35, 0.30
40, 0.26
45, 0.24
50, 0.22
55, 0.21
60, 0.19
65, 0.17
70, 0.15
75, 0.14
80, 0.13
