# winkel, spannung
15, 1.69
20, 1.60
25, 1.49
30, 1.35
35, 1.26
40, 1.18
45, 1.04
50, 0.87
55, 0.72
60, 0.63
65, 0.50
70, 0.40
75, 0.28
80, 0.22
