frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
0.000000000000000000e+00,1.078866961234352211e-02,9.457750393437827641e-02,-3.141592653589793116e+00,-3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.089997995272269649e-02,1.016565683690037920e-02,2.418150783881826971e-02,-3.164449823728971101e+00,-5.376435138369360267e+00,-2.211985314640389166e+00,-1.267374228738117665e+02
2.179995990544539297e-02,9.946031813855494425e-03,2.052761053189168169e-02,-3.174745175980231426e+00,-7.616644401864115288e+00,1.841286081295703481e+00,1.054979213344259961e+02
3.269993985816808946e-02,9.798217779908734507e-03,1.451293891948666516e-02,-3.168687714292335311e+00,-9.747274443079382067e+00,-2.954014216074611343e-01,-1.692525472027216438e+01
4.359991981089078594e-02,9.880428732044513676e-03,8.486546018203564717e-03,-3.148303757155030524e+00,-1.190004744496703992e+01,-2.468558380632423610e+00,-1.414379766918868881e+02
5.449989976361348243e-02,1.007601414608971097e-02,5.453329208189795947e-03,-3.144427540639407770e+00,-1.377104231640751841e+01,1.939755838591061377e+00,1.111398228371275536e+02
6.539987971633617891e-02,1.032366754450178212e-02,3.908208456979993597e-03,-3.152667189418787874e+00,-1.485660461971330015e+01,8.624331840646612957e-01,4.941378155893437452e+01
7.629985966905887540e-02,1.034447325061570166e-02,2.187540766243084578e-03,-3.168152840547707072e+00,-1.616279083859090449e+01,-4.282673836840275583e-01,-2.453791358820467394e+01
8.719983962178157189e-02,1.047912118544119288e-02,2.270192665170419049e-03,-3.177234255467810797e+00,-1.318366800719031140e+01,2.559936862636672306e+00,1.466735780490424759e+02
9.809981957450426837e-02,1.064949977061761810e-02,3.929755273913043342e-03,-3.174329281941449477e+00,-1.436420848351315627e+01,1.376491412787465229e+00,7.886714848872179573e+01
1.089997995272269649e-01,1.092918203358354649e-02,2.510715577003175443e-03,-3.176804106684637308e+00,-1.447832481265620430e+01,1.264849908387607247e+00,7.247056146811871713e+01
1.198997794799496613e-01,1.143476184898681303e-02,2.552580318601626892e-03,-3.188520405418044490e+00,-1.418016659895389964e+01,1.574724420823317539e+00,9.022506320935906388e+01
1.307997594326723578e-01,1.129407876167616044e-02,2.378218389984664439e-03,-3.253978626135044294e+00,-1.394581328979703372e+01,1.874535950697182152e+00,1.074029985204919058e+02
1.416997393853950404e-01,1.123183572123933292e-02,1.692828055626644087e-03,-3.251772093600054703e+00,-1.410272710220487369e+01,1.715415605754353479e+00,9.828607432060198335e+01
