frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
1.313062613947128421e+00,1.353254261187608436e-02,4.220598829735305868e-02,-2.125549344517285277e+01,-1.997493067635856079e+01,1.280562768814291097e+00,7.337084205464583420e+01
1.335317912488605208e+00,1.495762155922617485e-02,4.509410033949767804e-02,-2.236900492188929945e+01,-2.110617873941814082e+01,1.262826182471161962e+00,7.235461051421515322e+01
1.357573211030081772e+00,1.516797310741966817e-02,4.546561579463150038e-02,-2.340641725880630375e+01,-2.222074600778423914e+01,1.185671251022064387e+00,6.793395857356068746e+01
1.379828509571558559e+00,1.434919596563707239e-02,4.547558216071505288e-02,-2.448259700403056627e+01,-2.335194587343505646e+01,1.130651130595510256e+00,6.478153788481759534e+01
1.402083808113035346e+00,1.333755411420656928e-02,4.816702750047736903e-02,-2.568436447127506028e+01,-2.454175434939740796e+01,1.142610121877654539e+00,6.546673761251821588e+01
1.424339106654512133e+00,1.353929391836651563e-02,5.015579438588024103e-02,-2.700533633696858971e+01,-2.584389030226382289e+01,1.161446034704769481e+00,6.654595592078823074e+01
1.446594405195988919e+00,1.478661637214636650e-02,5.347018846278559639e-02,-2.831288981699846374e+01,-2.710755267153271220e+01,1.205337145465755988e+00,6.906073132553399319e+01
1.468849703737465706e+00,1.531947237851130454e-02,5.376726662894128900e-02,-2.950024282310287305e+01,-2.837458874169664114e+01,1.125654081406231244e+00,6.449522805625264255e+01
1.491105002278942493e+00,1.472046718596919587e-02,5.638393054370775120e-02,-3.071483810081794275e+01,-2.967655517720857006e+01,1.038282923609373354e+00,5.948922946332115202e+01
1.513360300820419058e+00,1.362053895386328151e-02,5.874962754053095898e-02,-3.209014618118857953e+01,-3.102802725958929386e+01,1.062118921599283228e+00,6.085493154862530218e+01
1.535615599361895844e+00,1.402293653439106239e-02,6.089367274197121649e-02,-3.358294876368012893e+01,-3.246351195352261243e+01,1.119436810157516060e+00,6.413900465361322745e+01
1.557870897903372631e+00,1.514576270094151848e-02,6.390694773702795817e-02,-3.498664668814084422e+01,-3.390645446293733301e+01,1.080192225203510104e+00,6.189045556700608586e+01
1.580126196444849418e+00,1.544755968646277684e-02,6.555699567908269965e-02,-3.631383411207688994e+01,-3.531376335424061352e+01,1.000070757836276414e+00,5.729983363846844213e+01
1.602381494986326205e+00,1.444734283175803068e-02,6.983042558367992536e-02,-3.773627759515869684e+01,-3.678393316309404781e+01,9.523444320646498040e-01,5.456531660008778317e+01
1.624636793527802991e+00,1.397365142395422775e-02,7.220255145052874302e-02,-3.933173282003556892e+01,-3.831530463512198992e+01,1.016428184913573896e+00,5.823704517369060341e+01
1.646892092069279556e+00,1.526107865577367578e-02,7.541133027563097502e-02,-4.092036378902068350e+01,-3.992420682869163073e+01,9.961569603290598707e-01,5.707558955943611068e+01
1.669147390610756343e+00,1.578799675815164075e-02,7.929934631679669277e-02,-4.238974287447361888e+01,-4.148679047528403885e+01,9.029523991895768154e-01,5.173536157477468578e+01
