Time,Channel A,Channel B
(ms),(V),(V)

2.75142498,0.14551230,0.34348580
2.77190498,0.18182930,0.34348580
2.79238498,0.20001830,0.29877620
2.81286498,0.23639640,0.34348580
2.83334498,0.25458540,0.34348580
2.85382498,0.29090240,0.29877620
2.87430498,0.30909140,0.29877620
2.89478498,0.32728050,0.29877620
2.91526498,0.36359750,0.29877620
2.93574498,0.36359750,0.25406660
2.95622498,0.38178660,0.25406660
2.97670498,0.39997560,0.20935700
2.99718498,0.41816460,0.20935700
3.01766498,0.43635370,0.20935700
3.03814498,0.43635370,0.16464740
3.05862498,0.45448160,0.11993770
3.07910498,0.45448160,0.16464740
3.09958498,0.47267070,0.11993770
3.12006498,0.47267070,0.11993770
3.14054498,0.47267070,0.07522812
3.16102498,0.47267070,0.03051851
3.18150498,0.47267070,0.03051851
3.20198498,0.45448160,0.03051851
3.22246497,0.43635370,-0.01419111
3.24294497,0.43635370,-0.05890072
3.26342497,0.41816460,-0.05890072
3.28390497,0.39997560,-0.05890072
3.30438497,0.36359750,-0.14847250
3.32486497,0.36359750,-0.14847250
3.34534497,0.32728050,-0.19318220
3.36582497,0.29090240,-0.23789180
3.38630497,0.27271340,-0.23789180
3.40678497,0.23639640,-0.28260140
3.42726497,0.20001830,-0.32731100
3.44774497,0.18182930,-0.32731100
3.46822497,0.14551230,-0.37202060
3.48870497,0.10913420,-0.37202060
3.50918497,0.07281716,-0.37202060
3.52966497,0.03643910,-0.37202060
3.55014497,-0.01800592,-0.32731100
3.57062497,-0.05438399,-0.41688280
3.59110497,-0.07257301,-0.41688280
3.61158497,-0.10889000,-0.37202060
3.63206497,-0.16345710,-0.37202060
3.65254497,-0.19977420,-0.37202060
3.67302497,-0.21796320,-0.37202060
3.69350497,-0.25434120,-0.37202060
3.71398497,-0.29065830,-0.37202060
3.73446497,-0.32703640,-0.32731100
3.75494497,-0.34522540,-0.32731100
3.77542497,-0.36335340,-0.32731100
3.79590497,-0.39973140,-0.32731100
3.81638497,-0.41792050,-0.28260140
3.83686497,-0.43610950,-0.23789180
3.85734497,-0.43610950,-0.23789180
3.87782497,-0.47242650,-0.19318220
3.89830497,-0.47242650,-0.14847250
3.91878497,-0.49061550,-0.14847250
3.93926497,-0.49061550,-0.14847250
3.95974497,-0.49061550,-0.10361030
3.98022497,-0.49061550,-0.05890072
4.00070497,-0.49061550,-0.01419111
4.02118497,-0.49061550,0.03051851
4.04166497,-0.47242650,0.03051851
4.06214497,-0.47242650,0.07522812
4.08262497,-0.45423750,0.11993770
4.10310497,-0.43610950,0.16464740
4.12358497,-0.39973140,0.16464740
4.14406497,-0.36335340,0.20935700
4.16454497,-0.34522540,0.25406660
4.18502497,-0.32703640,0.29877620
4.20550497,-0.29065830,0.34348580
4.22598497,-0.23615220,0.34348580
4.24646497,-0.19977420,0.34348580
4.26694497,-0.16345710,0.38834800
4.28742497,-0.12707910,0.43305760
4.30790497,-0.07257301,0.47776730
4.32838497,-0.03619495,0.47776730
4.34886497,0.01825007,0.52247690
4.36934497,0.05462813,0.52247690
4.38982497,0.10913420,0.52247690
4.41030497,0.14551230,0.52247690
4.43078497,0.18182930,0.52247690
4.45126497,0.21820730,0.52247690
4.47174497,0.25458540,0.52247690
4.49222497,0.29090240,0.47776730
4.51270497,0.32728050,0.43305760
4.53318497,0.34546950,0.38834800
4.55366497,0.38178660,0.38834800
4.57414497,0.39997560,0.34348580
4.59462497,0.43635370,0.34348580
4.61510497,0.43635370,0.29877620
4.63558497,0.45448160,0.25406660
4.65606497,0.47267070,0.20935700
4.67654497,0.47267070,0.16464740
4.69702497,0.47267070,0.11993770
4.71750497,0.47267070,0.11993770
4.73798497,0.47267070,0.03051851
4.75846497,0.45448160,-0.01419111
4.77894497,0.43635370,-0.05890072
4.79942497,0.41816460,-0.05890072
4.81990497,0.39997560,-0.10361030
4.84038497,0.38178660,-0.14847250
4.86086496,0.36359750,-0.19318220
4.88134496,0.32728050,-0.23789180
4.90182496,0.29090240,-0.28260140
4.92230496,0.25458540,-0.32731100
4.94278496,0.21820730,-0.32731100
4.96326496,0.18182930,-0.37202060
4.98374496,0.14551230,-0.41688280
5.00422496,0.09094515,-0.41688280
5.02470496,0.05462813,-0.46159250
5.04518496,0.00012207,-0.41688280
5.06566496,-0.03619495,-0.46159250
5.08614496,-0.07257301,-0.46159250
5.10662496,-0.12707910,-0.50630210
5.12710496,-0.18158510,-0.46159250
5.14758496,-0.21796320,-0.50630210
5.16806496,-0.27246930,-0.50630210
5.18854496,-0.30884730,-0.50630210
5.20902496,-0.34522540,-0.50630210
5.22950496,-0.38154240,-0.46159250
5.24998496,-0.41792050,-0.41688280
5.27046496,-0.43610950,-0.41688280
5.29094496,-0.45423750,-0.37202060
5.31142496,-0.47242650,-0.32731100
5.33190496,-0.49061550,-0.32731100
5.35238496,-0.49061550,-0.23789180
5.37286496,-0.49061550,-0.14847250
5.39334496,-0.49061550,-0.14847250
5.41382496,-0.49061550,-0.05890072
5.43430496,-0.47242650,0.03051851
5.45478496,-0.45423750,0.07522812
5.47526496,-0.43610950,0.16464740
5.49574496,-0.39973140,0.20935700
5.51622496,-0.36335340,0.25406660
5.53670496,-0.34522540,0.29877620
5.55718496,-0.29065830,0.38834800
5.57766496,-0.25434120,0.38834800
5.59814496,-0.19977420,0.47776730
5.61862496,-0.14526810,0.52247690
5.63910496,-0.10889000,0.52247690
5.65958496,-0.07257301,0.56718650
5.68006496,0.00012207,0.56718650
5.70054496,0.03643910,0.56718650
5.72102496,0.09094515,0.56718650
5.74150496,0.14551230,0.56718650
5.76198496,0.18182930,0.56718650
5.78246496,0.21820730,0.56718650
5.80294496,0.25458540,0.56718650
5.82342496,0.30909140,0.52247690
5.84390496,0.34546950,0.52247690
5.86438496,0.38178660,0.47776730
5.88486496,0.39997560,0.43305760
5.90534496,0.43635370,0.38834800
5.92582496,0.43635370,0.34348580
5.94630496,0.45448160,0.29877620
5.96678496,0.47267070,0.25406660
5.98726496,0.47267070,0.20935700
6.00774496,0.47267070,0.16464740
6.02822496,0.47267070,0.07522812
6.04870496,0.47267070,0.03051851
6.06918496,0.43635370,-0.01419111
6.08966496,0.41816460,-0.10361030
6.11014496,0.39997560,-0.14847250
6.13062496,0.36359750,-0.19318220
6.15110496,0.30909140,-0.28260140
6.17158496,0.27271340,-0.32731100
6.19206496,0.21820730,-0.37202060
6.21254496,0.18182930,-0.41688280
6.23302496,0.10913420,-0.50630210
6.25350496,0.05462813,-0.55101170
6.27398496,0.00012207,-0.59572130
6.29446496,-0.05438399,-0.59572130
6.31494496,-0.10889000,-0.64043090
6.33542496,-0.16345710,-0.68529310
6.35590496,-0.21796320,-0.64043090
6.37638496,-0.27246930,-0.64043090
6.39686496,-0.32703640,-0.64043090
6.41734496,-0.34522540,-0.59572130
6.43782496,-0.39973140,-0.55101170
6.45830496,-0.41792050,-0.55101170
6.47878496,-0.43610950,-0.50630210
6.49926495,-0.47242650,-0.41688280
6.51974495,-0.49061550,-0.37202060
6.54022495,-0.49061550,-0.32731100
6.56070495,-0.50880460,-0.19318220
6.58118495,-0.49061550,-0.14847250
6.60166495,-0.49061550,-0.05890072
6.62214495,-0.47242650,0.03051851
6.64262495,-0.43610950,0.07522812
6.66310495,-0.41792050,0.16464740
6.68358495,-0.38154240,0.25406660
6.70406495,-0.34522540,0.34348580
6.72454495,-0.29065830,0.38834800
6.74502495,-0.25434120,0.47776730
6.76550495,-0.19977420,0.52247690
6.78598495,-0.14526810,0.56718650
6.80646495,-0.09070101,0.56718650
6.82694495,-0.03619495,0.65675830
6.84742495,0.01825007,0.65675830
6.86790495,0.07281716,0.70146790
6.88838495,0.12732320,0.70146790
6.90886495,0.18182930,0.70146790
6.92934495,0.23639640,0.70146790
6.94982495,0.29090240,0.65675830
6.97030495,0.32728050,0.65675830
6.99078495,0.36359750,0.61189610
7.01126495,0.39997560,0.56718650
7.03174495,0.41816460,0.52247690
7.05222495,0.45448160,0.47776730
7.07270495,0.47267070,0.38834800
7.09318495,0.47267070,0.29877620
7.11366495,0.49085970,0.25406660
7.13414495,0.47267070,0.16464740
7.15462495,0.45448160,0.11993770
7.17510495,0.43635370,0.03051851
7.19558495,0.39997560,-0.05890072
7.21606495,0.36359750,-0.14847250
7.23654495,0.32728050,-0.23789180
7.25702495,0.29090240,-0.32731100
7.27750495,0.23639640,-0.41688280
7.29798495,0.18182930,-0.50630210
7.31846495,0.12732320,-0.55101170
7.33894495,0.07281716,-0.59572130
7.35942495,0.00012207,-0.68529310
7.37990495,-0.07257301,-0.73000280
7.40038495,-0.14526810,-0.73000280
7.42086495,-0.19977420,-0.73000280
7.44134495,-0.25434120,-0.73000280
7.46182495,-0.29065830,-0.73000280
7.48230495,-0.34522540,-0.73000280
7.50278495,-0.39973140,-0.68529310
7.52326495,-0.43610950,-0.64043090
7.54374495,-0.45423750,-0.55101170
7.56422495,-0.49061550,-0.50630210
7.58470495,-0.50880460,-0.41688280
7.60518495,-0.50880460,-0.32731100
7.62566495,-0.49061550,-0.23789180
7.64614495,-0.47242650,-0.14847250
7.66662495,-0.47242650,-0.01419111
7.68710495,-0.43610950,0.07522812
7.70758495,-0.39973140,0.16464740
7.72806495,-0.36335340,0.25406660
7.74854495,-0.32703640,0.34348580
7.76902495,-0.29065830,0.47776730
7.78950495,-0.21796320,0.52247690
7.80998495,-0.18158510,0.56718650
7.83046495,-0.10889000,0.65675830
7.85094495,-0.03619495,0.70146790
7.87142495,0.01825007,0.74617760
7.89190495,0.09094515,0.74617760
7.91238495,0.14551230,0.79088720
7.93286495,0.21820730,0.74617760
7.95334495,0.25458540,0.74617760
7.97382495,0.30909140,0.74617760
7.99430495,0.36359750,0.70146790
8.01478495,0.38178660,0.65675830
8.03526495,0.41816460,0.61189610
8.05574495,0.45448160,0.52247690
8.07622495,0.47267070,0.47776730
8.09670495,0.47267070,0.38834800
8.11718495,0.47267070,0.29877620
