frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
0.000000000000000000e+00,9.705552088661563437e-03,3.252888215686275397e-02,-3.141592653589793116e+00,-0.000000000000000000e+00,-3.141592653589793116e+00,-1.800000000000000000e+02
2.081335251491901392e-02,1.092940588286895123e-02,1.380181940257774924e-03,-9.709500085206199116e-02,-2.273968036214893129e-01,-1.303018027694259340e-01,-7.465743361634167741e+00
4.162670502983802784e-02,1.129119077976813677e-02,3.498242758311917531e-03,-2.065241267975990169e-01,1.438376763624430420e-02,2.209078944338439543e-01,1.265709001218078811e+01
6.244005754475703829e-02,1.103738906455156710e-02,2.862490590398255545e-03,-2.500975940369874473e-01,-3.824339613679460063e-03,2.462732544233064425e-01,1.411041808540699094e+01
8.325341005967605568e-02,1.136923615988445595e-02,3.427170984944127776e-03,-2.784874413242233171e-01,1.097412218186245847e-02,2.894615635060867054e-01,1.658492592015682021e+01
1.040667625745950731e-01,1.181219922631388843e-02,3.825063452948339934e-03,-3.567297622178411398e-01,3.348724043434447850e-01,6.916021665612870351e-01,3.962588524606553619e+01
1.248801150895140766e-01,1.247457014856726172e-02,4.767939649253810121e-03,-4.368824642130999525e-01,4.841866664054100822e-01,9.210691306185099236e-01,5.277337382422456358e+01
1.456934676044331078e-01,1.313679725146118388e-02,3.550581637350383544e-03,-5.494375450159850738e-01,3.099893419895924374e-01,8.594268870055776777e-01,4.924153342548629553e+01
1.665068201193521114e-01,1.357534039089597702e-02,5.115969543032049607e-03,-6.084498823296621284e-01,4.339447204237287248e-01,1.042394602753391464e+00,5.972481132498535317e+01
1.873201726342711149e-01,1.531437795425364366e-02,5.720708071035500962e-03,-7.151713277833899873e-01,6.328424314969971487e-01,1.348013759280386248e+00,7.723549913233023290e+01
2.081335251491901461e-01,1.637174767148823901e-02,6.247806729307758995e-03,-8.194479619965007178e-01,3.282733061013231590e-01,1.147721268097823932e+00,6.575958471940816708e+01
2.289468776641091496e-01,1.769758936723320880e-02,7.803125204004854841e-03,-9.691409985890607759e-01,2.109222640386179126e-01,1.180063262627678133e+00,6.761264450700400630e+01
2.497602301790281532e-01,1.814280996884670011e-02,8.635559194154464324e-03,-1.168718709629417152e+00,3.024624350012973251e-01,1.471181144630713478e+00,8.429247048656543484e+01
2.705735826939471567e-01,1.861523445318294043e-02,1.004549654767775482e-02,-1.226153507171408252e+00,1.370627910036293362e-01,1.363216298175037533e+00,7.810654044887724012e+01
