frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
0.000000000000000000e+00,4.045245226479094423e-03,1.058504624627380070e-01,-0.000000000000000000e+00,-3.141592653589793116e+00,-3.141592653589793116e+00,-1.800000000000000000e+02
1.091926496396669784e-02,4.790644797849743022e-03,1.991259632231463447e-02,1.065331207777631128e-01,-5.379603453906610433e+00,7.970487324952131303e-01,4.566752843822746399e+01
2.183852992793339567e-02,5.199363169224403836e-03,1.186108181758862602e-02,2.190958432891638163e-01,-7.626920856191580000e+00,-1.562831392301157418e+00,-8.954364286941057571e+01
3.275779489190009525e-02,5.938959346835244284e-03,5.899746847374747610e-03,1.202668200647594998e-01,-9.135861446716891265e+00,-2.972942959602064672e+00,-1.703370843183303123e+02
4.367705985586679135e-02,5.810226229309298045e-03,5.933177607529051788e-03,8.158345220263635289e-02,-9.766082575992754755e+00,2.718704586163780412e+00,1.557702985300456930e+02
5.459632481983348745e-02,5.736214969622119471e-03,5.497142711873788216e-03,6.244740332031850638e-02,-1.140819526865586298e+01,1.095727942382988651e+00,6.278058659309908762e+01
6.551558978380019049e-02,5.470673900436076945e-03,1.446236779741783994e-03,4.162807435525789357e-02,-1.213572859978223129e+01,3.890139402216846731e-01,2.228885694645703097e+01
7.643485474776688660e-02,4.558570386375513685e-03,5.078135186606645181e-03,1.324976634956898103e-01,-9.426934258066783201e+00,3.006938692796700785e+00,1.722848963518357550e+02
8.735411971173358270e-02,5.119375856448787551e-03,4.978498649622744091e-03,3.122317486988008817e-01,-9.709241587398331319e+00,2.544897278262038043e+00,1.458118733387450447e+02
9.827338467570027880e-02,5.669899273612125090e-03,2.507453614425929605e-03,3.568799156773799774e-01,-1.057863399047097275e+01,1.630856708210819628e+00,9.344120637107835137e+01
1.091926496396669749e-01,6.225895671308584629e-03,1.747594009924328820e-03,3.722022962439557880e-01,-9.933342035026171857e+00,2.260826283089043542e+00,1.295358042332512696e+02
1.201119146036336710e-01,6.964507270619702851e-03,3.879884409112696088e-03,3.407702363774767207e-01,-9.652826317080169360e+00,2.572774060901527271e+00,1.474090953303913238e+02
1.310311795676003810e-01,6.807623858919027542e-03,2.240092486685612769e-03,2.169896350517033223e-01,-1.023259733380818304e+01,2.116783645499285882e+00,1.212827690294257081e+02
1.419504445315670771e-01,6.434157295429784179e-03,2.299120129511694321e-03,2.483913345976647424e-01,-9.852922664165845390e+00,2.465056615595661693e+00,1.412373403344339522e+02
1.528697094955337732e-01,6.419857069279895356e-03,2.254102993770129137e-03,2.942106805276565318e-01,-9.990156575020730401e+00,2.282003358810787752e+00,1.307491612945361794e+02
1.637889744595004693e-01,6.530914835346846893e-03,2.517174620855622616e-03,3.565896297413378990e-01,-1.044094063796759642e+01,1.768840346650235817e+00,1.013470864955160096e+02
1.747082394234671654e-01,7.067235569068044260e-03,2.928717235351539858e-03,4.076367870999174081e-01,-1.007787568456519800e+01,2.080858142694057555e+00,1.192243893418007019e+02
1.856275043874338615e-01,7.525982436886786801e-03,3.362711988973622612e-03,4.031850118754128909e-01,-1.026680359397442999e+01,1.896382008509328809e+00,1.086546854321267119e+02
1.965467693514005576e-01,7.743437547178288506e-03,3.003302940726028988e-03,3.984696164517895767e-01,-1.017899039106291603e+01,1.988910606844467743e+00,1.139561836009913804e+02
2.074660343153672537e-01,7.900080013594098366e-03,2.930435000102270954e-03,4.154441190571359632e-01,-1.027097178215239026e+01,1.879954713149646794e+00,1.077134707392020800e+02
2.183852992793339498e-01,8.133376295471091491e-03,3.843845949088449138e-03,4.698447054216138841e-01,-1.020612184779939469e+01,1.890404061138163172e+00,1.083121742776075962e+02
2.293045642433006459e-01,9.536438341615448983e-03,3.825903842856440314e-03,5.057246261007435351e-01,-1.030621541979762412e+01,1.754430568460805251e+00,1.005214670215419801e+02
2.402238292072673420e-01,1.017732773832117493e-02,3.837838363063852953e-03,4.506662867232492653e-01,-1.033345127974989097e+01,1.782253047886031894e+00,1.021155776681970337e+02
2.511430941712340381e-01,1.064820313555704841e-02,4.068884020724373649e-03,4.099938604411241805e-01,-1.052773509244013006e+01,1.628641661477918667e+00,9.331429354185888769e+01
