frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
2.514839151345292789e-01,4.225442588550535825e-03,4.988581069160930200e-03,-2.357867871872485477e+00,-3.821907014592077489e-01,1.975677170413278061e+00,1.131979635450295518e+02
2.629150021860988118e-01,4.238502178851747543e-03,4.181841594894234945e-03,-2.381449460493461956e+00,-3.749359817411273554e-01,2.006513478752334212e+00,1.149647538686215285e+02
2.743460892376683447e-01,3.925948816462257462e-03,4.899752692602600546e-03,-2.376004670172895850e+00,-3.935235899184624797e-01,1.982481080254433259e+00,1.135877988631152675e+02
2.857771762892378220e-01,4.060714910539447650e-03,4.866097128629357817e-03,-2.247842381019019786e+00,-4.347834590082519934e-01,1.813058922010767571e+00,1.038806242397556616e+02
2.972082633408073549e-01,4.559165768332889071e-03,4.910840128493649398e-03,-2.201913599395578736e+00,-4.325600079132785325e-01,1.769353591482300203e+00,1.013764932582502070e+02
3.086393503923768877e-01,5.043744541393813639e-03,5.329277769088192757e-03,-2.212874126744645675e+00,-4.438850256157883534e-01,1.768989101128856767e+00,1.013556094993246575e+02
3.200704374439463651e-01,5.649288078811820490e-03,5.880476584516637281e-03,-2.290759101047233681e+00,-4.647916332673108775e-01,1.825967467779922471e+00,1.046202294319796806e+02
3.315015244955158980e-01,4.994759975262008829e-03,5.584633118132418216e-03,-2.359007715292238849e+00,-4.966074941463566872e-01,1.862400221145882329e+00,1.067076724358902311e+02
3.429326115470854308e-01,5.033190319720266641e-03,5.567654681751658605e-03,-2.267298523573881841e+00,-5.224870226902312842e-01,1.744811500883650668e+00,9.997033504651989233e+01
3.543636985986549082e-01,5.360184755543413032e-03,5.908176021726027453e-03,-2.198166575394899347e+00,-4.810474136620675467e-01,1.717119161732831634e+00,9.838368088833306047e+01
3.657947856502244410e-01,5.910957771686758434e-03,6.094784791478401707e-03,-2.155794611480260414e+00,-4.321376997982340207e-01,1.723656911682026616e+00,9.875826636793379976e+01
3.772258727017939739e-01,6.754074273352324818e-03,7.029912111596609697e-03,-2.222202814526032633e+00,-5.485998760916624972e-01,1.673602938434369802e+00,9.589038495298234466e+01
3.886569597533634512e-01,6.838760001258764945e-03,6.861743641979784446e-03,-2.245567383084766888e+00,-5.727004214563874429e-01,1.672866961628379556e+00,9.584821658817958223e+01
4.000880468049329841e-01,7.012690758776141120e-03,7.173303677452583411e-03,-2.246997087355742106e+00,-5.697237275857723882e-01,1.677273359769969607e+00,9.610068460454698425e+01
4.115191338565025170e-01,7.196508371556871973e-03,7.684340661571472525e-03,-2.230429273427706249e+00,-5.305415070532806254e-01,1.699887766374425624e+00,9.739639465917508687e+01
4.229502209080719943e-01,7.623372839449745614e-03,8.320473279788140678e-03,-2.172970621405466485e+00,-5.320170868190289282e-01,1.640953534586437668e+00,9.401971190887763896e+01
4.343813079596415272e-01,8.529588410514984259e-03,9.059410750194538814e-03,-2.183419094404770888e+00,-6.114043139439063745e-01,1.572014780460864625e+00,9.006981225259221446e+01
4.458123950112110601e-01,9.209557883310065876e-03,9.351382725910762153e-03,-2.223872150593011021e+00,-7.110603352464140992e-01,1.512811815346597699e+00,8.667773221688446483e+01
4.572434820627805374e-01,9.711014366672928583e-03,9.452894345954282462e-03,-2.258857480622131320e+00,-7.222284880170928290e-01,1.536628992605039157e+00,8.804235595370812462e+01
4.686745691143500703e-01,9.950959903093858916e-03,9.479337517556437817e-03,-2.284735191043709257e+00,-7.400331967826023760e-01,1.544701994261107103e+00,8.850490487660295003e+01
4.801056561659196031e-01,1.053636970941425159e-02,1.027015936827797328e-02,-2.241066184957188234e+00,-6.890685050955321911e-01,1.551997679861655932e+00,8.892291687016876267e+01
4.915367432174890805e-01,1.175399077857576871e-02,1.161921259256889875e-02,-2.248836846329149264e+00,-7.288374569565574390e-01,1.519999389372591603e+00,8.708954987351177124e+01
5.029678302690585578e-01,1.278754963985251347e-02,1.249883197300077214e-02,-2.292755551468971031e+00,-8.063908412553093541e-01,1.486364710213661455e+00,8.516242471242844658e+01
5.143989173206281462e-01,1.373662188495015229e-02,1.305257408797699629e-02,-2.342825932996732252e+00,-8.625090986195746989e-01,1.480316834377157775e+00,8.481590695197763807e+01
5.258300043721976236e-01,1.416095226097481563e-02,1.353753456791873325e-02,-2.378888539113136691e+00,-9.118479374307898455e-01,1.467040601682346956e+00,8.405523485073138090e+01
5.372610914237671009e-01,1.525388935353673425e-02,1.418017752442275563e-02,-2.374836909023930964e+00,-9.237864323258841992e-01,1.451050476698046765e+00,8.313906817524429016e+01
5.486921784753366893e-01,1.683790100442251331e-02,1.590322358215164739e-02,-2.408915548115738492e+00,-9.763624592835399296e-01,1.432553088832198673e+00,8.207924591851468676e+01
5.601232655269061667e-01,1.838828258323350548e-02,1.699904879572001690e-02,-2.463844123880735815e+00,-1.014038438871758707e+00,1.449805685008977552e+00,8.306774686508765626e+01
5.715543525784756440e-01,1.965229031586098601e-02,1.854338196900984573e-02,-2.535080937419033287e+00,-1.084656242202605592e+00,1.450424695216427695e+00,8.310321353745007400e+01
5.829854396300452324e-01,2.081936018318688783e-02,1.988696680114543716e-02,-2.570516846136905453e+00,-1.126656000452907147e+00,1.443860845683998084e+00,8.272713266188293346e+01
