# Ohne Kolben T0
# Schwingungsanzahl, Dauer, Periodendauer
6, 6.28, 6.28/6
6, 6.19, 6.19/6
8, 8.22, 8.22/8
7, 7.47, 7.47/7
7, 7.44, 7.44/7
4, 4.19, 4.19/4
6, 6.44, 6.44/6
6, 6.47, 6.47/6
