frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
9.499983652881570606e+01,1.561961678286339370e-03,9.566765864926498488e-06,-9.201443780313988893e-03,1.553597140679184641e+00,1.562798584459498707e+00,8.954176311854860160e+01
9.999982792506915530e+01,1.563481185777987640e-03,1.008097900593516640e-05,-9.705534586965469321e-03,1.552888185581979608e+00,1.562593720168944822e+00,8.953002525932691924e+01
1.049998193213226187e+02,1.565081452312421743e-03,1.059686007180817428e-05,-1.021272565139728049e-02,1.552166011195511119e+00,1.562378736846908422e+00,8.951770762230853506e+01
1.099998107175760822e+02,1.566762910368038088e-03,1.111449786545473667e-05,-1.072318550549219811e-02,1.551431815441205897e+00,1.562155000946697792e+00,8.950488849950090753e+01
1.149998021138295314e+02,1.568526015274915872e-03,1.163398200612462572e-05,-1.123708470660706067e-02,1.550686555954279955e+00,1.561923640660887180e+00,8.949163253157701092e+01
1.199997935100829949e+02,1.570371245487890309e-03,1.215540297262553711e-05,-1.175459595708733089e-02,1.549930999602922466e+00,1.561685595560009965e+00,8.947799355196298166e+01
1.249997849063364583e+02,1.572299102852544282e-03,1.267885214722734535e-05,-1.227589420623470887e-02,1.549165760111212986e+00,1.561441654317447414e+00,8.946401674831497530e+01
1.299997763025899076e+02,1.574310112866047009e-03,1.320442186022453937e-05,-1.280115677425868598e-02,1.548391326954936753e+00,1.561192483729194613e+00,8.944974032522929974e+01
1.349997676988433568e+02,1.576404825012075583e-03,1.373220543580751200e-05,-1.333056345633871868e-02,1.547608087828111323e+00,1.560938651284450307e+00,8.943519679744196083e+01
1.399997590950968345e+02,1.578583813050783106e-03,1.426229723834004069e-05,-1.386429664458689592e-02,1.546816346255377672e+00,1.560680642899964665e+00,8.942041400593194567e+01
1.449997504913502837e+02,1.580847675351115767e-03,1.479479271974360996e-05,-1.440254145411466215e-02,1.546016335531170460e+00,1.560418876985285364e+00,8.940541592380043312e+01
1.499997418876037329e+02,1.583197035232850004e-03,1.532978846776631912e-05,-1.494548583706069474e-02,1.545208229857617965e+00,1.560153715694678755e+00,8.939022330095843927e+01
1.549997332838572106e+02,1.585632541325552106e-03,1.586738225522754483e-05,-1.549332070524762905e-02,1.544392153296292092e+00,1.559885474001539984e+00,8.937485418405213977e+01
1.599997246801106598e+02,1.588154867941133936e-03,1.640767309025236166e-05,-1.604624006126431635e-02,1.543568187010028847e+00,1.559614427071292830e+00,8.935932433889900040e+01
1.649997160763641091e+02,1.590764715448949587e-03,1.695076126740385999e-05,-1.660444113155787327e-02,1.542736375162344631e+00,1.559340816293902865e+00,8.934364759612526541e+01
1.699997074726175867e+02,1.593462810688725051e-03,1.749674842010963191e-05,-1.716812449025763992e-02,1.541896729761330409e+00,1.559064854251588139e+00,8.932783613579482562e+01
1.749996988688710360e+02,1.596249907389655706e-03,1.804573757411878960e-05,-1.773749419785234857e-02,1.541049234637215548e+00,1.558786728835068081e+00,8.931190072325290430e+01
1.799996902651244852e+02,1.599126786604465784e-03,1.859783320211060641e-05,-1.831275794271739962e-02,1.540193848731276294e+00,1.558506606673993655e+00,8.929585090567525185e+01
1.849996816613779629e+02,1.602094257155173979e-03,1.915314127945404182e-05,-1.889412717648145806e-02,1.539330508834170441e+00,1.558224636010651754e+00,8.927969517671925814e+01
1.899996730576314121e+02,1.605153156100115261e-03,1.971176934127019626e-05,-1.948181725934231001e-02,1.538459131860894002e+00,1.557940949120236729e+00,8.926344111519529179e+01
1.949996644538848614e+02,1.608304349232509301e-03,2.027382654097291634e-05,-2.007604760386871162e-02,1.537579616754613632e+00,1.557655664358482461e+00,8.924709550238736711e+01
1.999996558501383106e+02,1.611548731563183486e-03,2.083942370977544451e-05,-2.067704183989086536e-02,1.536691846062929745e+00,1.557368887902821131e+00,8.923066442181425373e+01
2.049996472463917883e+02,1.614887227856693329e-03,2.140867341802491847e-05,-2.128502795298914743e-02,1.535795687284776667e+00,1.557080715237765922e+00,8.921415334433555699e+01
2.099996386426452375e+02,1.618320793165522542e-03,2.198169003776407552e-05,-2.190023844584490162e-02,1.534890993982834795e+00,1.556791232428679672e+00,8.919756720113332449e+01
2.149996300388986867e+02,1.621850413383836911e-03,2.255858980681320496e-05,-2.252291050544108497e-02,1.533977606712369379e+00,1.556500517217810575e+00,8.918091044651026778e+01
2.199996214351521644e+02,1.625477105833009412e-03,2.313949089459838422e-05,-2.315328616424430427e-02,1.533055353806223930e+00,1.556208639970468433e+00,8.916418711210167203e+01
2.249996128314056136e+02,1.629201919838893465e-03,2.372451346923505849e-05,-2.379161246951215503e-02,1.532124052025866545e+00,1.555915664495378881e+00,8.914740085387819590e+01
2.299996042276590629e+02,1.633025937369310182e-03,2.431377976685488549e-05,-2.443814165469756355e-02,1.531183507103050623e+00,1.555621648757747888e+00,8.913055499300151041e+01
2.349995956239125405e+02,1.636950273657742597e-03,2.490741416222410552e-05,-2.509313132464957574e-02,1.530233514176871701e+00,1.555326645501521332e+00,8.911365255147711650e+01
2.399995870201659898e+02,1.640976077857953094e-03,2.550554324130762759e-05,-2.575684462974132949e-02,1.529273858163788358e+00,1.555030702793529951e+00,8.909669628333153923e+01
2.449995784164194390e+02,1.645104533724151561e-03,2.610829587578043068e-05,-2.642955045768310973e-02,1.528304314043525514e+00,1.554733864501208096e+00,8.907968870198362765e+01
2.499995698126729167e+02,1.649336860325971215e-03,2.671580329970097258e-05,-2.711152361944049738e-02,1.527324647093268206e+00,1.554436170712708787e+00,8.906263210431535526e+01
